Identifier	Size1	Size2	Size3	Size4	Size7	Size12	Size14	Level1	Level2	Level3	Level4	Level7	Level12	Level14
100008	7497	7539	7607	7546	7624	10200	10173	0.947568	0.952877	0.961472	0.953762	0.96362	0.832105	0.829902
1000389	10158	10169	10174	182559	182216	182993	182279	0.828679	0.829576	0.829984	0.95131	0.949522	0.953571	0.949851
1001036	183044	4339	4377	4424	4382	4441	4164	0.953837	0.959455	0.967858	0.978251	0.968964	0.98201	0.953094
100241	4201	4248	4205	4265	7954	7997	8067	0.961563	0.972321	0.962478	0.976212	0.964561	0.969775	0.978264
100411	8003	8084	4118	4158	4204	4162	4221	0.970503	0.980326	0.90518	0.913973	0.924084	0.914852	0.927821
1005438	268698	264861	265402	264956	265417	7482	7520	0.844997	0.83293	0.834632	0.833229	0.834679	0.954208	0.959054
1005647	7583	7526	7601	29817	29549	29717	29589	0.967089	0.959819	0.969384	0.741141	0.73448	0.738655	0.735474
1005834	29737	5904	5948	6008	5954	6025	7555	0.739153	0.9542	0.961312	0.971009	0.962281	0.973756	0.954378
100585	7599	7669	7605	7686	7321	7370	7441	0.959936	0.968779	0.960694	0.970926	0.966022	0.972488	0.981856
100797	7377	7459	4085	4132	4186	4138	4203	0.973412	0.984232	0.926761	0.937423	0.949674	0.938785	0.953531
1012395	4215	4260	4310	4265	4327	4224	4268	0.929039	0.938958	0.949979	0.94006	0.953726	0.92815	0.937818
1012606	4319	4273	4335	4127	4173	4226	4178	0.949024	0.938917	0.95254	0.927085	0.937419	0.949325	0.938542
1012819	4242	185048	181346	180103	181322	180003	240283	0.952919	0.758765	0.743586	0.738489	0.743487	0.738079	0.941276
1013028	239143	239912	239204	239965	219018	212601	207269	0.936811	0.939823	0.937049	0.940031	0.765966	0.743524	0.724876
1013222	212094	206989	40601	40322	40160	40307	40183	0.74175	0.723897	0.883639	0.877567	0.874041	0.87724	0.874542
1013417	7945	7985	8049	7991	8066	12080	12067	0.965113	0.969972	0.977747	0.970701	0.979812	0.782297	0.781455
1013611	12165	12078	12182	14658	14715	14823	14728	0.787801	0.782167	0.788902	0.963198	0.966944	0.974041	0.967798
1013805	14842	4797	4838	4891	4842	4908	7870	0.975289	0.94371	0.951776	0.962203	0.952563	0.965547	0.965379
