Total bytes: 51534 (50.3 KB), 1.854 bpb, 1.853 bps w/ no header, Normalized Dissimilarity Rate: 0.927229
Total bytes: 51495 (50.3 KB), 1.853 bpb, 1.851 bps w/ no header, Normalized Dissimilarity Rate: 0.926527
Total bytes: 51471 (50.3 KB), 1.852 bpb, 1.85 bps w/ no header, Normalized Dissimilarity Rate: 0.926096
Total bytes: 51515 (50.3 KB), 1.854 bpb, 1.851 bps w/ no header, Normalized Dissimilarity Rate: 0.926887
Total bytes: 51577 (50.4 KB), 1.856 bpb, 1.853 bps w/ no header, Normalized Dissimilarity Rate: 0.928003
Total bytes: 51545 (50.3 KB), 1.855 bpb, 1.851 bps w/ no header, Normalized Dissimilarity Rate: 0.927427
Total bytes: 51517 (50.3 KB), 1.854 bpb, 1.849 bps w/ no header, Normalized Dissimilarity Rate: 0.926923
Total bytes: 270612 (264.3 KB), 1.699 bpb, 1.699 bps w/ no header, Normalized Dissimilarity Rate: 0.849507
Total bytes: 273014 (266.6 KB), 1.714 bpb, 1.714 bps w/ no header, Normalized Dissimilarity Rate: 0.857048
Total bytes: 270532 (264.2 KB), 1.699 bpb, 1.698 bps w/ no header, Normalized Dissimilarity Rate: 0.849256
Total bytes: 269201 (262.9 KB), 1.69 bpb, 1.69 bps w/ no header, Normalized Dissimilarity Rate: 0.845078
Total bytes: 268321 (262.0 KB), 1.685 bpb, 1.684 bps w/ no header, Normalized Dissimilarity Rate: 0.842315
Total bytes: 268215 (261.9 KB), 1.684 bpb, 1.683 bps w/ no header, Normalized Dissimilarity Rate: 0.841983
Total bytes: 85191 (83.2 KB), 1.799 bpb, 1.798 bps w/ no header, Normalized Dissimilarity Rate: 0.89961
Total bytes: 85422 (83.4 KB), 1.804 bpb, 1.803 bps w/ no header, Normalized Dissimilarity Rate: 0.902049
Total bytes: 85097 (83.1 KB), 1.797 bpb, 1.796 bps w/ no header, Normalized Dissimilarity Rate: 0.898617
Total bytes: 85079 (83.1 KB), 1.797 bpb, 1.796 bps w/ no header, Normalized Dissimilarity Rate: 0.898427
Total bytes: 85071 (83.1 KB), 1.797 bpb, 1.795 bps w/ no header, Normalized Dissimilarity Rate: 0.898342
Total bytes: 84918 (82.9 KB), 1.793 bpb, 1.791 bps w/ no header, Normalized Dissimilarity Rate: 0.896727
Total bytes: 201825 (197.1 KB), 1.922 bpb, 1.921 bps w/ no header, Normalized Dissimilarity Rate: 0.960933
Total bytes: 201986 (197.3 KB), 1.923 bpb, 1.923 bps w/ no header, Normalized Dissimilarity Rate: 0.9617
Total bytes: 201664 (196.9 KB), 1.92 bpb, 1.92 bps w/ no header, Normalized Dissimilarity Rate: 0.960166
Total bytes: 201602 (196.9 KB), 1.92 bpb, 1.919 bps w/ no header, Normalized Dissimilarity Rate: 0.959871
Total bytes: 201700 (197.0 KB), 1.921 bpb, 1.92 bps w/ no header, Normalized Dissimilarity Rate: 0.960338
Total bytes: 201616 (196.9 KB), 1.92 bpb, 1.919 bps w/ no header, Normalized Dissimilarity Rate: 0.959938
Total bytes: 146468 (143.0 KB), 1.803 bpb, 1.802 bps w/ no header, Normalized Dissimilarity Rate: 0.901412
Total bytes: 146435 (143.0 KB), 1.802 bpb, 1.802 bps w/ no header, Normalized Dissimilarity Rate: 0.901209
Total bytes: 146420 (143.0 KB), 1.802 bpb, 1.801 bps w/ no header, Normalized Dissimilarity Rate: 0.901117
Total bytes: 146435 (143.0 KB), 1.802 bpb, 1.802 bps w/ no header, Normalized Dissimilarity Rate: 0.901209
Total bytes: 146477 (143.0 KB), 1.803 bpb, 1.802 bps w/ no header, Normalized Dissimilarity Rate: 0.901468
Total bytes: 146486 (143.1 KB), 1.803 bpb, 1.802 bps w/ no header, Normalized Dissimilarity Rate: 0.901523
Total bytes: 139880 (136.6 KB), 1.839 bpb, 1.839 bps w/ no header, Normalized Dissimilarity Rate: 0.919717
Total bytes: 139887 (136.6 KB), 1.84 bpb, 1.839 bps w/ no header, Normalized Dissimilarity Rate: 0.919763
Total bytes: 139779 (136.5 KB), 1.838 bpb, 1.837 bps w/ no header, Normalized Dissimilarity Rate: 0.919053
Total bytes: 139745 (136.5 KB), 1.838 bpb, 1.837 bps w/ no header, Normalized Dissimilarity Rate: 0.918829
Total bytes: 139797 (136.5 KB), 1.838 bpb, 1.837 bps w/ no header, Normalized Dissimilarity Rate: 0.919171
Total bytes: 139753 (136.5 KB), 1.838 bpb, 1.836 bps w/ no header, Normalized Dissimilarity Rate: 0.918882
Total bytes: 76685 (74.9 KB), 1.883 bpb, 1.881 bps w/ no header, Normalized Dissimilarity Rate: 0.94127
Total bytes: 76628 (74.8 KB), 1.881 bpb, 1.88 bps w/ no header, Normalized Dissimilarity Rate: 0.94057
