Total bytes: 1017595 (993.7 KB), 1.916 bpb, 1.916 bps w/ no header, Normalized Dissimilarity Rate: 0.957906
Total bytes: 1014269 (990.5 KB), 1.91 bpb, 1.909 bps w/ no header, Normalized Dissimilarity Rate: 0.954775
Total bytes: 1011427 (987.7 KB), 1.904 bpb, 1.904 bps w/ no header, Normalized Dissimilarity Rate: 0.9521
Total bytes: 1007224 (983.6 KB), 1.896 bpb, 1.896 bps w/ no header, Normalized Dissimilarity Rate: 0.948143
Total bytes: 1004302 (980.8 KB), 1.891 bpb, 1.891 bps w/ no header, Normalized Dissimilarity Rate: 0.945393
Total bytes: 1118613 (1.1 MB), 1.928 bpb, 1.928 bps w/ no header, Normalized Dissimilarity Rate: 0.963978
Total bytes: 1104391 (1.1 MB), 1.903 bpb, 1.903 bps w/ no header, Normalized Dissimilarity Rate: 0.951722
Total bytes: 1101139 (1.1 MB), 1.898 bpb, 1.898 bps w/ no header, Normalized Dissimilarity Rate: 0.94892
Total bytes: 1094335 (1.0 MB), 1.886 bpb, 1.886 bps w/ no header, Normalized Dissimilarity Rate: 0.943056
Total bytes: 1090290 (1.0 MB), 1.879 bpb, 1.879 bps w/ no header, Normalized Dissimilarity Rate: 0.939571
Total bytes: 574930 (561.5 KB), 1.857 bpb, 1.857 bps w/ no header, Normalized Dissimilarity Rate: 0.928496
Total bytes: 568914 (555.6 KB), 1.838 bpb, 1.837 bps w/ no header, Normalized Dissimilarity Rate: 0.918781
Total bytes: 566581 (553.3 KB), 1.83 bpb, 1.83 bps w/ no header, Normalized Dissimilarity Rate: 0.915013
Total bytes: 562655 (549.5 KB), 1.817 bpb, 1.817 bps w/ no header, Normalized Dissimilarity Rate: 0.908672
Total bytes: 560903 (547.8 KB), 1.812 bpb, 1.811 bps w/ no header, Normalized Dissimilarity Rate: 0.905843
Total bytes: 166667 (162.8 KB), 1.774 bpb, 1.773 bps w/ no header, Normalized Dissimilarity Rate: 0.886858
Total bytes: 164892 (161.0 KB), 1.755 bpb, 1.754 bps w/ no header, Normalized Dissimilarity Rate: 0.877413
Total bytes: 164647 (160.8 KB), 1.752 bpb, 1.752 bps w/ no header, Normalized Dissimilarity Rate: 0.876109
Total bytes: 163813 (160.0 KB), 1.743 bpb, 1.743 bps w/ no header, Normalized Dissimilarity Rate: 0.871671
Total bytes: 163388 (159.6 KB), 1.739 bpb, 1.738 bps w/ no header, Normalized Dissimilarity Rate: 0.86941
Total bytes: 1108835 (1.1 MB), 1.887 bpb, 1.887 bps w/ no header, Normalized Dissimilarity Rate: 0.943339
Total bytes: 1099008 (1.0 MB), 1.87 bpb, 1.87 bps w/ no header, Normalized Dissimilarity Rate: 0.934979
Total bytes: 1095232 (1.0 MB), 1.864 bpb, 1.863 bps w/ no header, Normalized Dissimilarity Rate: 0.931766
Total bytes: 1090264 (1.0 MB), 1.855 bpb, 1.855 bps w/ no header, Normalized Dissimilarity Rate: 0.92754
Total bytes: 1087126 (1.0 MB), 1.85 bpb, 1.85 bps w/ no header, Normalized Dissimilarity Rate: 0.92487
Total bytes: 261036 (254.9 KB), 1.933 bpb, 1.932 bps w/ no header, Normalized Dissimilarity Rate: 0.966413
Total bytes: 259585 (253.5 KB), 1.922 bpb, 1.922 bps w/ no header, Normalized Dissimilarity Rate: 0.961042
Total bytes: 259334 (253.3 KB), 1.92 bpb, 1.92 bps w/ no header, Normalized Dissimilarity Rate: 0.960112
Total bytes: 259095 (253.0 KB), 1.918 bpb, 1.918 bps w/ no header, Normalized Dissimilarity Rate: 0.959227
Total bytes: 258973 (252.9 KB), 1.918 bpb, 1.917 bps w/ no header, Normalized Dissimilarity Rate: 0.958776
Total bytes: 642139 (627.1 KB), 1.881 bpb, 1.88 bps w/ no header, Normalized Dissimilarity Rate: 0.940261
Total bytes: 644655 (629.5 KB), 1.888 bpb, 1.888 bps w/ no header, Normalized Dissimilarity Rate: 0.943945
Total bytes: 636629 (621.7 KB), 1.864 bpb, 1.864 bps w/ no header, Normalized Dissimilarity Rate: 0.932193
Total bytes: 629827 (615.1 KB), 1.844 bpb, 1.844 bps w/ no header, Normalized Dissimilarity Rate: 0.922233
Total bytes: 625964 (611.3 KB), 1.833 bpb, 1.833 bps w/ no header, Normalized Dissimilarity Rate: 0.916576
Total bytes: 970201 (947.5 KB), 1.924 bpb, 1.924 bps w/ no header, Normalized Dissimilarity Rate: 0.96216
Total bytes: 963349 (940.8 KB), 1.911 bpb, 1.911 bps w/ no header, Normalized Dissimilarity Rate: 0.955365
Total bytes: 959756 (937.3 KB), 1.904 bpb, 1.903 bps w/ no header, Normalized Dissimilarity Rate: 0.951802
Total bytes: 954886 (932.5 KB), 1.894 bpb, 1.894 bps w/ no header, Normalized Dissimilarity Rate: 0.946972
