Total bytes: 704138 (687.6 KB), 1.88 bpb, 1.88 bps w/ no header, Normalized Dissimilarity Rate: 0.940157
Total bytes: 705421 (688.9 KB), 1.884 bpb, 1.884 bps w/ no header, Normalized Dissimilarity Rate: 0.94187
Total bytes: 700842 (684.4 KB), 1.872 bpb, 1.871 bps w/ no header, Normalized Dissimilarity Rate: 0.935756
Total bytes: 698792 (682.4 KB), 1.866 bpb, 1.866 bps w/ no header, Normalized Dissimilarity Rate: 0.933019
Total bytes: 697805 (681.5 KB), 1.863 bpb, 1.863 bps w/ no header, Normalized Dissimilarity Rate: 0.931701
Total bytes: 698402 (682.0 KB), 1.865 bpb, 1.865 bps w/ no header, Normalized Dissimilarity Rate: 0.932498
Total bytes: 698227 (681.9 KB), 1.865 bpb, 1.864 bps w/ no header, Normalized Dissimilarity Rate: 0.932264
Total bytes: 499027 (487.3 KB), 1.96 bpb, 1.96 bps w/ no header, Normalized Dissimilarity Rate: 0.979985
Total bytes: 498074 (486.4 KB), 1.956 bpb, 1.956 bps w/ no header, Normalized Dissimilarity Rate: 0.978113
Total bytes: 495628 (484.0 KB), 1.947 bpb, 1.946 bps w/ no header, Normalized Dissimilarity Rate: 0.97331
Total bytes: 494626 (483.0 KB), 1.943 bpb, 1.942 bps w/ no header, Normalized Dissimilarity Rate: 0.971342
Total bytes: 494331 (482.7 KB), 1.942 bpb, 1.941 bps w/ no header, Normalized Dissimilarity Rate: 0.970763
Total bytes: 494891 (483.3 KB), 1.944 bpb, 1.943 bps w/ no header, Normalized Dissimilarity Rate: 0.971862
Total bytes: 494934 (483.3 KB), 1.944 bpb, 1.943 bps w/ no header, Normalized Dissimilarity Rate: 0.971947
Total bytes: 482570 (471.3 KB), 1.95 bpb, 1.95 bps w/ no header, Normalized Dissimilarity Rate: 0.975169
Total bytes: 481346 (470.1 KB), 1.945 bpb, 1.945 bps w/ no header, Normalized Dissimilarity Rate: 0.972696
Total bytes: 480632 (469.4 KB), 1.943 bpb, 1.942 bps w/ no header, Normalized Dissimilarity Rate: 0.971253
Total bytes: 480052 (468.8 KB), 1.94 bpb, 1.94 bps w/ no header, Normalized Dissimilarity Rate: 0.970081
Total bytes: 479879 (468.6 KB), 1.939 bpb, 1.939 bps w/ no header, Normalized Dissimilarity Rate: 0.969731
Total bytes: 480208 (469.0 KB), 1.941 bpb, 1.94 bps w/ no header, Normalized Dissimilarity Rate: 0.970396
Total bytes: 480135 (468.9 KB), 1.94 bpb, 1.94 bps w/ no header, Normalized Dissimilarity Rate: 0.970249
Total bytes: 347406 (339.3 KB), 1.935 bpb, 1.935 bps w/ no header, Normalized Dissimilarity Rate: 0.967678
Total bytes: 347408 (339.3 KB), 1.935 bpb, 1.935 bps w/ no header, Normalized Dissimilarity Rate: 0.967684
Total bytes: 345164 (337.1 KB), 1.923 bpb, 1.923 bps w/ no header, Normalized Dissimilarity Rate: 0.961433
Total bytes: 344118 (336.1 KB), 1.917 bpb, 1.917 bps w/ no header, Normalized Dissimilarity Rate: 0.95852
Total bytes: 343594 (335.5 KB), 1.914 bpb, 1.914 bps w/ no header, Normalized Dissimilarity Rate: 0.95706
Total bytes: 344155 (336.1 KB), 1.917 bpb, 1.917 bps w/ no header, Normalized Dissimilarity Rate: 0.958623
Total bytes: 344114 (336.0 KB), 1.917 bpb, 1.916 bps w/ no header, Normalized Dissimilarity Rate: 0.958509
Total bytes: 502883 (491.1 KB), 1.919 bpb, 1.919 bps w/ no header, Normalized Dissimilarity Rate: 0.959473
Total bytes: 503006 (491.2 KB), 1.919 bpb, 1.919 bps w/ no header, Normalized Dissimilarity Rate: 0.959708
Total bytes: 500399 (488.7 KB), 1.909 bpb, 1.909 bps w/ no header, Normalized Dissimilarity Rate: 0.954734
Total bytes: 498838 (487.1 KB), 1.904 bpb, 1.903 bps w/ no header, Normalized Dissimilarity Rate: 0.951756
Total bytes: 498048 (486.4 KB), 1.9 bpb, 1.9 bps w/ no header, Normalized Dissimilarity Rate: 0.950248
Total bytes: 498585 (486.9 KB), 1.903 bpb, 1.902 bps w/ no header, Normalized Dissimilarity Rate: 0.951273
Total bytes: 498528 (486.8 KB), 1.902 bpb, 1.902 bps w/ no header, Normalized Dissimilarity Rate: 0.951164
Total bytes: 474934 (463.8 KB), 1.981 bpb, 1.981 bps w/ no header, Normalized Dissimilarity Rate: 0.990534
Total bytes: 473999 (462.9 KB), 1.977 bpb, 1.977 bps w/ no header, Normalized Dissimilarity Rate: 0.988584
Total bytes: 472699 (461.6 KB), 1.972 bpb, 1.971 bps w/ no header, Normalized Dissimilarity Rate: 0.985873
Total bytes: 472451 (461.4 KB), 1.971 bpb, 1.97 bps w/ no header, Normalized Dissimilarity Rate: 0.985355
Total bytes: 472443 (461.4 KB), 1.971 bpb, 1.97 bps w/ no header, Normalized Dissimilarity Rate: 0.985339
Total bytes: 472730 (461.7 KB), 1.972 bpb, 1.971 bps w/ no header, Normalized Dissimilarity Rate: 0.985937
Total bytes: 472727 (461.6 KB), 1.972 bpb, 1.971 bps w/ no header, Normalized Dissimilarity Rate: 0.985931
Total bytes: 707642 (691.1 KB), 1.97 bpb, 1.97 bps w/ no header, Normalized Dissimilarity Rate: 0.985156
Total bytes: 705752 (689.2 KB), 1.965 bpb, 1.965 bps w/ no header, Normalized Dissimilarity Rate: 0.982524
Total bytes: 705820 (689.3 KB), 1.965 bpb, 1.965 bps w/ no header, Normalized Dissimilarity Rate: 0.982619
Total bytes: 705306 (688.8 KB), 1.964 bpb, 1.964 bps w/ no header, Normalized Dissimilarity Rate: 0.981904
Total bytes: 705343 (688.8 KB), 1.964 bpb, 1.964 bps w/ no header, Normalized Dissimilarity Rate: 0.981955
Total bytes: 705343 (688.8 KB), 1.964 bpb, 1.964 bps w/ no header, Normalized Dissimilarity Rate: 0.981955
Total bytes: 349722 (341.5 KB), 1.984 bpb, 1.984 bps w/ no header, Normalized Dissimilarity Rate: 0.992205
Total bytes: 348985 (340.8 KB), 1.98 bpb, 1.98 bps w/ no header, Normalized Dissimilarity Rate: 0.990114
Total bytes: 349037 (340.9 KB), 1.981 bpb, 1.98 bps w/ no header, Normalized Dissimilarity Rate: 0.990262
Total bytes: 348983 (340.8 KB), 1.98 bpb, 1.98 bps w/ no header, Normalized Dissimilarity Rate: 0.990108
Total bytes: 349029 (340.8 KB), 1.98 bpb, 1.98 bps w/ no header, Normalized Dissimilarity Rate: 0.990239
Total bytes: 349060 (340.9 KB), 1.981 bpb, 1.98 bps w/ no header, Normalized Dissimilarity Rate: 0.990327
Total bytes: 349067 (340.9 KB), 1.981 bpb, 1.98 bps w/ no header, Normalized Dissimilarity Rate: 0.990347
Total bytes: 467565 (456.6 KB), 1.946 bpb, 1.945 bps w/ no header, Normalized Dissimilarity Rate: 0.972759
Total bytes: 466555 (455.6 KB), 1.941 bpb, 1.941 bps w/ no header, Normalized Dissimilarity Rate: 0.970657
Total bytes: 466260 (455.3 KB), 1.94 bpb, 1.94 bps w/ no header, Normalized Dissimilarity Rate: 0.970044
