Total bytes: 419981 (410.1 KB), 1.938 bpb, 1.938 bps w/ no header, Normalized Dissimilarity Rate: 0.968862
Total bytes: 419526 (409.7 KB), 1.936 bpb, 1.935 bps w/ no header, Normalized Dissimilarity Rate: 0.967812
Total bytes: 417499 (407.7 KB), 1.926 bpb, 1.926 bps w/ no header, Normalized Dissimilarity Rate: 0.963136
Total bytes: 415920 (406.2 KB), 1.919 bpb, 1.919 bps w/ no header, Normalized Dissimilarity Rate: 0.959493
Total bytes: 415184 (405.5 KB), 1.916 bpb, 1.915 bps w/ no header, Normalized Dissimilarity Rate: 0.957796
Total bytes: 167729 (163.8 KB), 1.914 bpb, 1.914 bps w/ no header, Normalized Dissimilarity Rate: 0.957122
Total bytes: 167534 (163.6 KB), 1.912 bpb, 1.911 bps w/ no header, Normalized Dissimilarity Rate: 0.95601
Total bytes: 167250 (163.3 KB), 1.909 bpb, 1.908 bps w/ no header, Normalized Dissimilarity Rate: 0.954389
Total bytes: 167218 (163.3 KB), 1.908 bpb, 1.908 bps w/ no header, Normalized Dissimilarity Rate: 0.954206
Total bytes: 167216 (163.3 KB), 1.908 bpb, 1.907 bps w/ no header, Normalized Dissimilarity Rate: 0.954195
Total bytes: 800300 (781.5 KB), 1.578 bpb, 1.578 bps w/ no header, Normalized Dissimilarity Rate: 0.789031
Total bytes: 828210 (808.8 KB), 1.633 bpb, 1.633 bps w/ no header, Normalized Dissimilarity Rate: 0.816548
Total bytes: 791586 (773.0 KB), 1.561 bpb, 1.561 bps w/ no header, Normalized Dissimilarity Rate: 0.78044
Total bytes: 772069 (754.0 KB), 1.522 bpb, 1.522 bps w/ no header, Normalized Dissimilarity Rate: 0.761197
Total bytes: 760696 (742.9 KB), 1.5 bpb, 1.5 bps w/ no header, Normalized Dissimilarity Rate: 0.749985
Total bytes: 360784 (352.3 KB), 1.882 bpb, 1.881 bps w/ no header, Normalized Dissimilarity Rate: 0.940845
Total bytes: 362554 (354.1 KB), 1.891 bpb, 1.891 bps w/ no header, Normalized Dissimilarity Rate: 0.94546
Total bytes: 358208 (349.8 KB), 1.868 bpb, 1.868 bps w/ no header, Normalized Dissimilarity Rate: 0.934127
Total bytes: 355927 (347.6 KB), 1.856 bpb, 1.856 bps w/ no header, Normalized Dissimilarity Rate: 0.928179
Total bytes: 354531 (346.2 KB), 1.849 bpb, 1.849 bps w/ no header, Normalized Dissimilarity Rate: 0.924538
Total bytes: 4107653 (3.9 MB), 1.898 bpb, 1.898 bps w/ no header, Normalized Dissimilarity Rate: 0.949191
Total bytes: 4145008 (4.0 MB), 1.916 bpb, 1.916 bps w/ no header, Normalized Dissimilarity Rate: 0.957823
Total bytes: 4101075 (3.9 MB), 1.895 bpb, 1.895 bps w/ no header, Normalized Dissimilarity Rate: 0.947671
Total bytes: 4048731 (3.9 MB), 1.871 bpb, 1.871 bps w/ no header, Normalized Dissimilarity Rate: 0.935576
Total bytes: 3968111 (3.8 MB), 1.834 bpb, 1.834 bps w/ no header, Normalized Dissimilarity Rate: 0.916946
Total bytes: 1205595 (1.1 MB), 1.735 bpb, 1.735 bps w/ no header, Normalized Dissimilarity Rate: 0.867671
Total bytes: 1273089 (1.2 MB), 1.832 bpb, 1.832 bps w/ no header, Normalized Dissimilarity Rate: 0.916247
Total bytes: 1202075 (1.1 MB), 1.73 bpb, 1.73 bps w/ no header, Normalized Dissimilarity Rate: 0.865138
Total bytes: 1149124 (1.1 MB), 1.654 bpb, 1.654 bps w/ no header, Normalized Dissimilarity Rate: 0.827029
Total bytes: 1107878 (1.1 MB), 1.595 bpb, 1.595 bps w/ no header, Normalized Dissimilarity Rate: 0.797344
Total bytes: 398664 (389.3 KB), 1.923 bpb, 1.923 bps w/ no header, Normalized Dissimilarity Rate: 0.961455
Total bytes: 398383 (389.0 KB), 1.922 bpb, 1.921 bps w/ no header, Normalized Dissimilarity Rate: 0.960777
Total bytes: 397520 (388.2 KB), 1.917 bpb, 1.917 bps w/ no header, Normalized Dissimilarity Rate: 0.958696
Total bytes: 396848 (387.5 KB), 1.914 bpb, 1.914 bps w/ no header, Normalized Dissimilarity Rate: 0.957075
Total bytes: 396545 (387.3 KB), 1.913 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.956344
Total bytes: 1291270 (1.2 MB), 1.912 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.956089
Total bytes: 1294792 (1.2 MB), 1.917 bpb, 1.917 bps w/ no header, Normalized Dissimilarity Rate: 0.958697
Total bytes: 1285838 (1.2 MB), 1.904 bpb, 1.904 bps w/ no header, Normalized Dissimilarity Rate: 0.952067
Total bytes: 1275378 (1.2 MB), 1.889 bpb, 1.889 bps w/ no header, Normalized Dissimilarity Rate: 0.944322
Total bytes: 1265155 (1.2 MB), 1.874 bpb, 1.873 bps w/ no header, Normalized Dissimilarity Rate: 0.936753
Total bytes: 331162 (323.4 KB), 1.885 bpb, 1.885 bps w/ no header, Normalized Dissimilarity Rate: 0.942534
Total bytes: 332101 (324.3 KB), 1.89 bpb, 1.89 bps w/ no header, Normalized Dissimilarity Rate: 0.945206
Total bytes: 329544 (321.8 KB), 1.876 bpb, 1.875 bps w/ no header, Normalized Dissimilarity Rate: 0.937929
Total bytes: 328226 (320.5 KB), 1.868 bpb, 1.868 bps w/ no header, Normalized Dissimilarity Rate: 0.934177
Total bytes: 327503 (319.8 KB), 1.864 bpb, 1.864 bps w/ no header, Normalized Dissimilarity Rate: 0.93212
Total bytes: 994906 (971.6 KB), 1.936 bpb, 1.936 bps w/ no header, Normalized Dissimilarity Rate: 0.967859
Total bytes: 996590 (973.2 KB), 1.939 bpb, 1.939 bps w/ no header, Normalized Dissimilarity Rate: 0.969497
Total bytes: 989759 (966.6 KB), 1.926 bpb, 1.926 bps w/ no header, Normalized Dissimilarity Rate: 0.962852
Total bytes: 982966 (959.9 KB), 1.912 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.956244
Total bytes: 978469 (955.5 KB), 1.904 bpb, 1.904 bps w/ no header, Normalized Dissimilarity Rate: 0.951869
Total bytes: 952667 (930.3 KB), 1.874 bpb, 1.874 bps w/ no header, Normalized Dissimilarity Rate: 0.937196
Total bytes: 952368 (930.0 KB), 1.874 bpb, 1.874 bps w/ no header, Normalized Dissimilarity Rate: 0.936902
Total bytes: 946254 (924.1 KB), 1.862 bpb, 1.862 bps w/ no header, Normalized Dissimilarity Rate: 0.930887
Total bytes: 941227 (919.2 KB), 1.852 bpb, 1.852 bps w/ no header, Normalized Dissimilarity Rate: 0.925942
Total bytes: 938644 (916.6 KB), 1.847 bpb, 1.847 bps w/ no header, Normalized Dissimilarity Rate: 0.923401
Total bytes: 712240 (695.5 KB), 1.897 bpb, 1.896 bps w/ no header, Normalized Dissimilarity Rate: 0.948279
Total bytes: 713862 (697.1 KB), 1.901 bpb, 1.901 bps w/ no header, Normalized Dissimilarity Rate: 0.950438
Total bytes: 704870 (688.3 KB), 1.877 bpb, 1.877 bps w/ no header, Normalized Dissimilarity Rate: 0.938466
Total bytes: 699859 (683.5 KB), 1.864 bpb, 1.863 bps w/ no header, Normalized Dissimilarity Rate: 0.931795
Total bytes: 697200 (680.9 KB), 1.857 bpb, 1.856 bps w/ no header, Normalized Dissimilarity Rate: 0.928254
Total bytes: 2060581 (2.0 MB), 1.886 bpb, 1.886 bps w/ no header, Normalized Dissimilarity Rate: 0.94292
Total bytes: 2077596 (2.0 MB), 1.901 bpb, 1.901 bps w/ no header, Normalized Dissimilarity Rate: 0.950706
Total bytes: 2048113 (2.0 MB), 1.874 bpb, 1.874 bps w/ no header, Normalized Dissimilarity Rate: 0.937214
Total bytes: 2018546 (1.9 MB), 1.847 bpb, 1.847 bps w/ no header, Normalized Dissimilarity Rate: 0.923684
Total bytes: 1997414 (1.9 MB), 1.828 bpb, 1.828 bps w/ no header, Normalized Dissimilarity Rate: 0.914014
Total bytes: 2011336 (1.9 MB), 1.869 bpb, 1.869 bps w/ no header, Normalized Dissimilarity Rate: 0.934585
Total bytes: 2028588 (1.9 MB), 1.885 bpb, 1.885 bps w/ no header, Normalized Dissimilarity Rate: 0.942601
Total bytes: 1994406 (1.9 MB), 1.853 bpb, 1.853 bps w/ no header, Normalized Dissimilarity Rate: 0.926719
Total bytes: 1958706 (1.9 MB), 1.82 bpb, 1.82 bps w/ no header, Normalized Dissimilarity Rate: 0.91013
Total bytes: 1917604 (1.8 MB), 1.782 bpb, 1.782 bps w/ no header, Normalized Dissimilarity Rate: 0.891032
Total bytes: 426079 (416.1 KB), 1.936 bpb, 1.936 bps w/ no header, Normalized Dissimilarity Rate: 0.968194
Total bytes: 426632 (416.6 KB), 1.939 bpb, 1.939 bps w/ no header, Normalized Dissimilarity Rate: 0.96945
Total bytes: 423937 (414.0 KB), 1.927 bpb, 1.926 bps w/ no header, Normalized Dissimilarity Rate: 0.963326
Total bytes: 422612 (412.7 KB), 1.921 bpb, 1.92 bps w/ no header, Normalized Dissimilarity Rate: 0.960315
Total bytes: 422197 (412.3 KB), 1.919 bpb, 1.918 bps w/ no header, Normalized Dissimilarity Rate: 0.959372
Total bytes: 784334 (766.0 KB), 1.879 bpb, 1.879 bps w/ no header, Normalized Dissimilarity Rate: 0.939523
Total bytes: 785031 (766.6 KB), 1.881 bpb, 1.881 bps w/ no header, Normalized Dissimilarity Rate: 0.940358
Total bytes: 781276 (763.0 KB), 1.872 bpb, 1.872 bps w/ no header, Normalized Dissimilarity Rate: 0.93586
Total bytes: 777570 (759.3 KB), 1.863 bpb, 1.863 bps w/ no header, Normalized Dissimilarity Rate: 0.931421
Total bytes: 775252 (757.1 KB), 1.857 bpb, 1.857 bps w/ no header, Normalized Dissimilarity Rate: 0.928644
Total bytes: 379423 (370.5 KB), 1.868 bpb, 1.868 bps w/ no header, Normalized Dissimilarity Rate: 0.934059
Total bytes: 380769 (371.8 KB), 1.875 bpb, 1.874 bps w/ no header, Normalized Dissimilarity Rate: 0.937373
Total bytes: 377056 (368.2 KB), 1.856 bpb, 1.856 bps w/ no header, Normalized Dissimilarity Rate: 0.928232
Total bytes: 375171 (366.4 KB), 1.847 bpb, 1.847 bps w/ no header, Normalized Dissimilarity Rate: 0.923592
Total bytes: 373630 (364.9 KB), 1.84 bpb, 1.839 bps w/ no header, Normalized Dissimilarity Rate: 0.919798
Total bytes: 2679678 (2.6 MB), 1.875 bpb, 1.875 bps w/ no header, Normalized Dissimilarity Rate: 0.937285
Total bytes: 2669775 (2.5 MB), 1.868 bpb, 1.868 bps w/ no header, Normalized Dissimilarity Rate: 0.933821
Total bytes: 2657073 (2.5 MB), 1.859 bpb, 1.859 bps w/ no header, Normalized Dissimilarity Rate: 0.929379
Total bytes: 2630132 (2.5 MB), 1.84 bpb, 1.84 bps w/ no header, Normalized Dissimilarity Rate: 0.919955
Total bytes: 2607660 (2.5 MB), 1.824 bpb, 1.824 bps w/ no header, Normalized Dissimilarity Rate: 0.912095
Total bytes: 304130 (297.0 KB), 1.741 bpb, 1.741 bps w/ no header, Normalized Dissimilarity Rate: 0.870593
Total bytes: 304436 (297.3 KB), 1.743 bpb, 1.743 bps w/ no header, Normalized Dissimilarity Rate: 0.871469
Total bytes: 300476 (293.4 KB), 1.72 bpb, 1.72 bps w/ no header, Normalized Dissimilarity Rate: 0.860133
Total bytes: 298539 (291.5 KB), 1.709 bpb, 1.709 bps w/ no header, Normalized Dissimilarity Rate: 0.854588
Total bytes: 297899 (290.9 KB), 1.706 bpb, 1.705 bps w/ no header, Normalized Dissimilarity Rate: 0.852756
Total bytes: 5454325 (5.2 MB), 1.786 bpb, 1.786 bps w/ no header, Normalized Dissimilarity Rate: 0.892895
Total bytes: 5545215 (5.3 MB), 1.816 bpb, 1.816 bps w/ no header, Normalized Dissimilarity Rate: 0.907774
Total bytes: 5436378 (5.2 MB), 1.78 bpb, 1.78 bps w/ no header, Normalized Dissimilarity Rate: 0.889957
Total bytes: 5302933 (5.1 MB), 1.736 bpb, 1.736 bps w/ no header, Normalized Dissimilarity Rate: 0.868111
Total bytes: 5033160 (4.8 MB), 1.648 bpb, 1.648 bps w/ no header, Normalized Dissimilarity Rate: 0.823948
Total bytes: 533358 (520.9 KB), 1.897 bpb, 1.897 bps w/ no header, Normalized Dissimilarity Rate: 0.948409
Total bytes: 534143 (521.6 KB), 1.9 bpb, 1.899 bps w/ no header, Normalized Dissimilarity Rate: 0.949805
Total bytes: 530219 (517.8 KB), 1.886 bpb, 1.885 bps w/ no header, Normalized Dissimilarity Rate: 0.942827
Total bytes: 527040 (514.7 KB), 1.874 bpb, 1.874 bps w/ no header, Normalized Dissimilarity Rate: 0.937174
Total bytes: 524459 (512.2 KB), 1.865 bpb, 1.865 bps w/ no header, Normalized Dissimilarity Rate: 0.932585
Total bytes: 290205 (283.4 KB), 1.931 bpb, 1.931 bps w/ no header, Normalized Dissimilarity Rate: 0.96545
Total bytes: 290283 (283.5 KB), 1.931 bpb, 1.931 bps w/ no header, Normalized Dissimilarity Rate: 0.96571
Total bytes: 289142 (282.4 KB), 1.924 bpb, 1.923 bps w/ no header, Normalized Dissimilarity Rate: 0.961914
Total bytes: 288465 (281.7 KB), 1.919 bpb, 1.919 bps w/ no header, Normalized Dissimilarity Rate: 0.959662
Total bytes: 288115 (281.4 KB), 1.917 bpb, 1.916 bps w/ no header, Normalized Dissimilarity Rate: 0.958497
Total bytes: 1270800 (1.2 MB), 1.912 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.955959
Total bytes: 1269537 (1.2 MB), 1.91 bpb, 1.91 bps w/ no header, Normalized Dissimilarity Rate: 0.955009
Total bytes: 1262794 (1.2 MB), 1.9 bpb, 1.9 bps w/ no header, Normalized Dissimilarity Rate: 0.949936
Total bytes: 1256685 (1.2 MB), 1.891 bpb, 1.891 bps w/ no header, Normalized Dissimilarity Rate: 0.945341
Total bytes: 1253638 (1.2 MB), 1.886 bpb, 1.886 bps w/ no header, Normalized Dissimilarity Rate: 0.943049
Total bytes: 612083 (597.7 KB), 1.84 bpb, 1.84 bps w/ no header, Normalized Dissimilarity Rate: 0.91992
Total bytes: 619963 (605.4 KB), 1.864 bpb, 1.863 bps w/ no header, Normalized Dissimilarity Rate: 0.931763
Total bytes: 602501 (588.4 KB), 1.811 bpb, 1.811 bps w/ no header, Normalized Dissimilarity Rate: 0.905519
Total bytes: 586465 (572.7 KB), 1.763 bpb, 1.763 bps w/ no header, Normalized Dissimilarity Rate: 0.881418
Total bytes: 572756 (559.3 KB), 1.722 bpb, 1.721 bps w/ no header, Normalized Dissimilarity Rate: 0.860814
Total bytes: 1149452 (1.1 MB), 1.942 bpb, 1.942 bps w/ no header, Normalized Dissimilarity Rate: 0.970939
Total bytes: 1149565 (1.1 MB), 1.942 bpb, 1.942 bps w/ no header, Normalized Dissimilarity Rate: 0.971035
