Total bytes: 58693 (57.3 KB), 1.526 bpb, 1.525 bps w/ no header, Normalized Dissimilarity Rate: 0.763012
Total bytes: 59543 (58.1 KB), 1.548 bpb, 1.547 bps w/ no header, Normalized Dissimilarity Rate: 0.774062
Total bytes: 58118 (56.8 KB), 1.511 bpb, 1.509 bps w/ no header, Normalized Dissimilarity Rate: 0.755537
Total bytes: 57285 (55.9 KB), 1.489 bpb, 1.488 bps w/ no header, Normalized Dissimilarity Rate: 0.744708
Total bytes: 55794 (54.5 KB), 1.451 bpb, 1.448 bps w/ no header, Normalized Dissimilarity Rate: 0.725325
Total bytes: 47745 (46.6 KB), 1.67 bpb, 1.668 bps w/ no header, Normalized Dissimilarity Rate: 0.834885
Total bytes: 47748 (46.6 KB), 1.67 bpb, 1.668 bps w/ no header, Normalized Dissimilarity Rate: 0.834938
Total bytes: 47426 (46.3 KB), 1.659 bpb, 1.656 bps w/ no header, Normalized Dissimilarity Rate: 0.829307
Total bytes: 47280 (46.2 KB), 1.654 bpb, 1.651 bps w/ no header, Normalized Dissimilarity Rate: 0.826754
Total bytes: 46968 (45.9 KB), 1.643 bpb, 1.639 bps w/ no header, Normalized Dissimilarity Rate: 0.821298
Total bytes: 57408 (56.1 KB), 1.633 bpb, 1.632 bps w/ no header, Normalized Dissimilarity Rate: 0.816667
Total bytes: 57414 (56.1 KB), 1.634 bpb, 1.632 bps w/ no header, Normalized Dissimilarity Rate: 0.816752
Total bytes: 56986 (55.7 KB), 1.621 bpb, 1.62 bps w/ no header, Normalized Dissimilarity Rate: 0.810664
Total bytes: 56618 (55.3 KB), 1.611 bpb, 1.609 bps w/ no header, Normalized Dissimilarity Rate: 0.805429
Total bytes: 55970 (54.7 KB), 1.592 bpb, 1.59 bps w/ no header, Normalized Dissimilarity Rate: 0.79621
Total bytes: 55933 (54.6 KB), 1.582 bpb, 1.58 bps w/ no header, Normalized Dissimilarity Rate: 0.790866
Total bytes: 56386 (55.1 KB), 1.595 bpb, 1.593 bps w/ no header, Normalized Dissimilarity Rate: 0.797271
Total bytes: 55505 (54.2 KB), 1.57 bpb, 1.568 bps w/ no header, Normalized Dissimilarity Rate: 0.784814
Total bytes: 54851 (53.6 KB), 1.551 bpb, 1.549 bps w/ no header, Normalized Dissimilarity Rate: 0.775567
Total bytes: 53925 (52.7 KB), 1.525 bpb, 1.522 bps w/ no header, Normalized Dissimilarity Rate: 0.762474
Total bytes: 1392 (1.4 KB), 2.068 bpb, 1.998 bps w/ no header, Normalized Dissimilarity Rate: 1.03379
Total bytes: 1399 (1.4 KB), 2.078 bpb, 1.992 bps w/ no header, Normalized Dissimilarity Rate: 1.03899
Total bytes: 1405 (1.4 KB), 2.087 bpb, 1.992 bps w/ no header, Normalized Dissimilarity Rate: 1.04345
Total bytes: 1405 (1.4 KB), 2.087 bpb, 1.992 bps w/ no header, Normalized Dissimilarity Rate: 1.04345
Total bytes: 1433 (1.4 KB), 2.128 bpb, 1.992 bps w/ no header, Normalized Dissimilarity Rate: 1.06424
Total bytes: 1531 (1.5 KB), 2.081 bpb, 2.017 bps w/ no header, Normalized Dissimilarity Rate: 1.04043
Total bytes: 1546 (1.5 KB), 2.101 bpb, 2.022 bps w/ no header, Normalized Dissimilarity Rate: 1.05063
Total bytes: 1551 (1.5 KB), 2.108 bpb, 2.021 bps w/ no header, Normalized Dissimilarity Rate: 1.05403
Total bytes: 1551 (1.5 KB), 2.108 bpb, 2.021 bps w/ no header, Normalized Dissimilarity Rate: 1.05403
Total bytes: 1576 (1.5 KB), 2.142 bpb, 2.017 bps w/ no header, Normalized Dissimilarity Rate: 1.07102
Total bytes: 3544 (3.5 KB), 1.962 bpb, 1.936 bps w/ no header, Normalized Dissimilarity Rate: 0.980902
Total bytes: 3555 (3.5 KB), 1.968 bpb, 1.936 bps w/ no header, Normalized Dissimilarity Rate: 0.983947
Total bytes: 3560 (3.5 KB), 1.971 bpb, 1.935 bps w/ no header, Normalized Dissimilarity Rate: 0.985331
Total bytes: 3575 (3.5 KB), 1.979 bpb, 1.944 bps w/ no header, Normalized Dissimilarity Rate: 0.989482
Total bytes: 3600 (3.5 KB), 1.993 bpb, 1.942 bps w/ no header, Normalized Dissimilarity Rate: 0.996402
Total bytes: 1173 (1.1 KB), 2.072 bpb, 1.989 bps w/ no header, Normalized Dissimilarity Rate: 1.03599
Total bytes: 1185 (1.2 KB), 2.093 bpb, 1.991 bps w/ no header, Normalized Dissimilarity Rate: 1.04659
Total bytes: 1191 (1.2 KB), 2.104 bpb, 1.991 bps w/ no header, Normalized Dissimilarity Rate: 1.05189
Total bytes: 1192 (1.2 KB), 2.106 bpb, 1.992 bps w/ no header, Normalized Dissimilarity Rate: 1.05277
Total bytes: 1216 (1.2 KB), 2.148 bpb, 1.985 bps w/ no header, Normalized Dissimilarity Rate: 1.07397
Total bytes: 1203 (1.2 KB), 2.049 bpb, 1.969 bps w/ no header, Normalized Dissimilarity Rate: 1.02448
Total bytes: 1212 (1.2 KB), 2.064 bpb, 1.966 bps w/ no header, Normalized Dissimilarity Rate: 1.03215
Total bytes: 1219 (1.2 KB), 2.076 bpb, 1.967 bps w/ no header, Normalized Dissimilarity Rate: 1.03811
Total bytes: 1226 (1.2 KB), 2.088 bpb, 1.979 bps w/ no header, Normalized Dissimilarity Rate: 1.04407
Total bytes: 1249 (1.2 KB), 2.127 bpb, 1.971 bps w/ no header, Normalized Dissimilarity Rate: 1.06366
Total bytes: 128 (128 B), 3.413 bpb, 2.16 bps w/ no header, Normalized Dissimilarity Rate: 1.70667
Total bytes: 141 (141 B), 3.76 bpb, 2.213 bps w/ no header, Normalized Dissimilarity Rate: 1.88
Total bytes: 145 (145 B), 3.867 bpb, 2.16 bps w/ no header, Normalized Dissimilarity Rate: 1.93333
Total bytes: 145 (145 B), 3.867 bpb, 2.16 bps w/ no header, Normalized Dissimilarity Rate: 1.93333
Total bytes: 172 (172 B), 4.587 bpb, 2.133 bps w/ no header, Normalized Dissimilarity Rate: 2.29333
Total bytes: 2020 (2.0 KB), 2.013 bpb, 1.966 bps w/ no header, Normalized Dissimilarity Rate: 1.00648
Total bytes: 2030 (2.0 KB), 2.023 bpb, 1.965 bps w/ no header, Normalized Dissimilarity Rate: 1.01146
Total bytes: 2038 (2.0 KB), 2.031 bpb, 1.967 bps w/ no header, Normalized Dissimilarity Rate: 1.01545
Total bytes: 2051 (2.0 KB), 2.044 bpb, 1.98 bps w/ no header, Normalized Dissimilarity Rate: 1.02192
Total bytes: 2072 (2.0 KB), 2.065 bpb, 1.973 bps w/ no header, Normalized Dissimilarity Rate: 1.03239
Total bytes: 1228 (1.2 KB), 2.061 bpb, 1.982 bps w/ no header, Normalized Dissimilarity Rate: 1.03042
Total bytes: 1231 (1.2 KB), 2.066 bpb, 1.969 bps w/ no header, Normalized Dissimilarity Rate: 1.03293
Total bytes: 1238 (1.2 KB), 2.078 bpb, 1.97 bps w/ no header, Normalized Dissimilarity Rate: 1.03881
Total bytes: 1241 (1.2 KB), 2.083 bpb, 1.975 bps w/ no header, Normalized Dissimilarity Rate: 1.04133
Total bytes: 1273 (1.2 KB), 2.136 bpb, 1.982 bps w/ no header, Normalized Dissimilarity Rate: 1.06818
Total bytes: 8332 (8.1 KB), 1.984 bpb, 1.973 bps w/ no header, Normalized Dissimilarity Rate: 0.992111
Total bytes: 8195 (8.0 KB), 1.952 bpb, 1.938 bps w/ no header, Normalized Dissimilarity Rate: 0.975799
