Domain,DNA,AA,GC,L_DNA,L_AA
Viral,0.828,0.872919,0.20996284,0.0057246397,0.0022094375
Viral,0.784,0.81561,0.19469414,0.0070796587,0.0025591473
Viral,0.996,1.00055,0.44764203,0.0001347887,8.4711e-05
Viral,1.0105,1.006,0.50390757,0.0001473015,9.89897e-05
Viral,0.9955,1.02825,0.40980348,0.0001133416,6.1489e-05
Viral,0.9835,1.01959,0.4138812,0.0001175459,7.00283e-05
Viral,0.9835,0.998493,0.48044344,0.0002009067,0.0001409761
Viral,0.985,0.978061,0.57436542,0.0001192977,9.69141e-05
Viral,0.968,0.969592,0.50168189,0.0008406899,0.0005472574
Viral,0.991,1.00268,0.4370712,0.0002115677,0.0001271431
Viral,0.9735,1.06802,0.38329322,7.27999e-05,3.40181e-05
Viral,0.9505,0.974664,0.48100757,0.0003735593,0.0002376533
Viral,1.0255,1.10235,0.50735863,3.23082e-05,2.36957e-05
Viral,0.9905,1.02234,0.40870845,0.0001189724,6.91089e-05
Viral,0.997,0.990682,0.46441281,0.0001969026,0.0001343312
Viral,0.9335,0.921073,0.55133226,0.0033032234,0.0027471108
Viral,0.9365,0.956874,0.40404008,0.0032136313,0.0019597762
Viral,0.995,1.00247,0.45161657,0.0002198262,0.0001286616
Viral,0.79,0.839728,0.17781162,0.0058157834,0.0021073971
Viral,0.9875,1.0191,0.41336157,0.0001299837,6.87467e-05
Viral,0.9495,0.910586,0.63649851,0.0012650515,0.001145333
Viral,0.9525,0.9844,0.33039067,0.0003798658,0.0001545722
Viral,1.0095,1.03034,0.49495848,8.43868e-05,5.46073e-05
Viral,0.9945,1.00374,0.4405581,0.0001309347,7.13656e-05
Viral,1.006,1.06708,0.49203734,4.55719e-05,3.26947e-05
Viral,0.9315,0.994702,0.31121281,0.0002077888,9.20524e-05
Viral,0.966,0.973051,0.37565968,0.0010195239,0.0005123198
Viral,0.9575,0.969732,0.35430932,0.0010781342,0.0005020809
Viral,0.9585,0.928901,0.61486345,0.0014368783,0.0013013818
Viral,0.8945,0.967761,0.27153341,0.000194375,9.49081e-05
Viral,0.908,0.884089,0.68113718,0.0013212844,0.0012695507
Viral,0.9715,0.965046,0.46306154,0.0006534473,0.0003982016
Viral,0.988,1.03711,0.40393974,0.0001079861,5.19884e-05
Viral,0.958,0.964313,0.41676125,0.0038804923,0.0024140757
Viral,1.0025,1.05376,0.4377947,6.8996e-05,4.27247e-05
Viral,1.0025,1.01098,0.47380865,0.0001375916,9.32225e-05
Viral,1.061,1.46928,0.56233421,9.4347e-06,5.809e-06
Viral,0.9865,1.00697,0.43680368,0.000130284,7.86652e-05
Viral,0.9855,1.00597,0.48776508,0.000138067,9.48663e-05
Viral,0.972,1.01892,0.40797253,0.00013121,6.7493e-05
Viral,0.955,0.979104,0.36307053,0.0005548709,0.0002622266
Viral,0.951,0.961331,0.34635013,0.0033638608,0.0015661298
Viral,0.9685,0.963048,0.49367601,0.0015433378,0.0010929824
Viral,1.008,1.06609,0.48350398,4.39953e-05,3.34748e-05
Viral,0.9945,1.004,0.44388631,0.0001893198,0.0001166256
Viral,0.984,0.997615,0.45362592,0.0001459752,9.60225e-05
Viral,0.954,0.996636,0.31959882,0.0002994331,0.0001123908
Viral,0.968,1.00989,0.3953037,0.0001289577,6.95268e-05
Viral,0.9635,0.980655,0.40006181,0.000809708,0.0004376944
Viral,0.998,1.01367,0.46680696,0.0001308096,7.92642e-05
Viral,0.9465,0.969534,0.34511967,0.0007120075,0.0003163046
Viral,0.9365,0.95525,0.39015258,0.0032885083,0.0019375432
Viral,0.955,0.969002,0.35378447,0.0009426448,0.0004633682
Viral,1.0015,1.06669,0.42649199,6.87708e-05,3.69853e-05
Viral,0.8965,0.925666,0.28625954,0.0053175208,0.0023505668
Viral,0.939,0.948618,0.33352078,0.0010235531,0.0004921625
Viral,0.8915,0.949155,0.26792452,0.0002918002,9.6524e-05
Viral,0.924,0.954388,0.36557161,0.0001904459,0.0001018037
Viral,0.998,1.05819,0.42820606,6.84955e-05,3.99386e-05
Viral,0.9915,1.00896,0.4361688,0.0001891696,0.0001093818
Viral,1.0005,1.05891,0.42841648,6.92212e-05,4.03983e-05
Viral,0.985,1.01367,0.41116458,0.0001300088,6.8886e-05
Viral,0.99,1.00225,0.44910071,0.0001391432,8.8709e-05
Viral,0.9665,0.997189,0.42124684,0.0001288576,6.97915e-05
Viral,0.881,0.991669,0.22652014,0.0001708007,5.71009e-05
Viral,0.991,1.01181,0.44557888,0.0001299087,7.38035e-05
Viral,0.78,0.847879,0.18269947,0.0059090794,0.0021853379
Viral,1.0045,1.05903,0.43549562,6.86707e-05,4.24878e-05
Viral,0.903,0.908179,0.30887678,0.007220904,0.0029142482
Viral,0.882,0.974209,0.24929525,0.0002041851,8.84304e-05
Viral,1.016,1.05551,0.49685301,6.75945e-05,3.97714e-05
Viral,0.995,0.999177,0.47516121,0.0002095656,0.0001356407
Viral,0.957,0.960423,0.38118811,0.0001364904,8.01418e-05
Viral,0.9985,1.04787,0.44428364,6.91712e-05,4.59426e-05
Viral,0.951,0.952355,0.46173281,0.0032685628,0.0018785339
Viral,0.87,0.821557,0.5360991,0.0041109795,0.0030830712
Viral,0.956,0.97323,0.35187686,0.000889365,0.0004339332
Viral,0.9785,1.00113,0.43059711,0.0001923729,0.0001081002
Viral,0.9535,0.963006,0.36221868,0.0009596623,0.0004796947
Viral,0.908,0.899751,0.34238456,0.0003631236,0.0001676529
Viral,0.979,0.976476,0.4889748,0.0008285024,0.00055074
Viral,1.091,1.60838,0.63636363,5.5057e-06,4.4856e-06
