Domain,NC,AA,GC
Viral,0.7545,0.783272,0.19727258
Viral,0.828,0.872919,0.20996284
Viral,0.81,0.853911,0.19687604
Viral,0.784,0.81561,0.19469414
Viral,0.996,1.00055,0.44764203
Viral,1.0105,1.006,0.50390757
Viral,0.9675,0.990251,0.40160531
Viral,0.9955,1.02825,0.40980348
Viral,0.9835,1.01959,0.4138812
Viral,1.08,1.55548,0.53
Viral,0.9835,0.998493,0.48044344
Viral,0.985,0.978061,0.57436542
Viral,0.968,0.969592,0.50168189
Viral,0.991,1.00268,0.4370712
Viral,0.9525,0.963673,0.35298401
Viral,0.985,0.973844,0.49483448
Viral,0.967,0.972407,0.38556032
Viral,0.9735,1.06802,0.38329322
Viral,0.9505,0.974664,0.48100757
Viral,1.0255,1.10235,0.50735863
Viral,0.9905,1.02234,0.40870845
Viral,0.997,0.990682,0.46441281
Viral,0.9895,1.02178,0.42954324
Viral,0.9335,0.921073,0.55133226
Viral,0.9365,0.956874,0.40404008
Viral,0.995,1.00247,0.45161657
Viral,0.79,0.839728,0.17781162
Viral,0.9875,1.0191,0.41336157
Viral,0.965,0.967217,0.52054906
Viral,0.9495,0.910586,0.63649851
Viral,0.9525,0.9844,0.33039067
Viral,1.0095,1.03034,0.49495848
Viral,0.9945,1.00374,0.4405581
Viral,1.006,1.06708,0.49203734
Viral,0.9315,0.994702,0.31121281
Viral,0.966,0.973051,0.37565968
Viral,0.946,0.969775,0.33312374
Viral,0.9575,0.969732,0.35430932
Viral,0.9585,0.928901,0.61486345
Viral,0.8945,0.967761,0.27153341
Viral,0.908,0.884089,0.68113718
Viral,0.9715,0.965046,0.46306154
Viral,0.988,1.03711,0.40393974
Viral,0.958,0.964313,0.41676125
Viral,1.0025,1.05376,0.4377947
Viral,1.0025,1.01098,0.47380865
Viral,1.061,1.46928,0.56233421
Viral,0.9865,1.00697,0.43680368
Viral,0.9855,1.00597,0.48776508
Viral,0.972,1.01892,0.40797253
Viral,0.955,0.979104,0.36307053
Viral,0.951,0.961331,0.34635013
Viral,0.9945,0.994035,0.44064885
Viral,0.9685,0.963048,0.49367601
Viral,0.9805,0.975937,0.43886211
Viral,1.008,1.06609,0.48350398
Viral,0.9945,1.004,0.44388631
Viral,0.984,0.997615,0.45362592
Viral,0.954,0.996636,0.31959882
Viral,0.986,1.03765,0.43430987
Viral,0.968,1.00989,0.3953037
Viral,0.9635,0.980655,0.40006181
Viral,0.998,1.01367,0.46680696
Viral,0.996,0.998242,0.44526644
Viral,0.9635,0.96626,0.40678554
Viral,0.9465,0.969534,0.34511967
Viral,0.992,1.04525,0.41136363
Viral,0.9195,0.938134,0.40685551
Viral,0.9365,0.95525,0.39015258
Viral,0.963,0.983888,0.35876178
Viral,0.955,0.969002,0.35378447
Viral,1.0015,1.06669,0.42649199
Viral,0.8965,0.925666,0.28625954
Viral,0.9675,0.95863,0.50869268
Viral,0.939,0.948618,0.33352078
Viral,0.8915,0.949155,0.26792452
Viral,0.924,0.954388,0.36557161
Viral,0.9675,0.970551,0.38641952
Viral,0.998,1.05819,0.42820606
Viral,0.9915,1.00896,0.4361688
Viral,0.968,0.93583,0.53759177
Viral,0.9525,0.950439,0.64283252
Viral,1.0005,1.05891,0.42841648
Viral,0.985,1.01367,0.41116458
Viral,0.99,1.00225,0.44910071
Viral,0.992,1.01785,0.45060425
Viral,0.9985,1.02454,0.42759026
Viral,1.0035,1.06212,0.4363702
Viral,0.972,0.979047,0.39696087
Viral,0.9665,0.997189,0.42124684
Viral,0.952,0.966666,0.40702346
Viral,0.976,1.00837,0.36961575
Viral,0.881,0.991669,0.22652014
Viral,0.991,1.01181,0.44557888
Viral,0.78,0.847879,0.18269947
Viral,1.0045,1.05903,0.43549562
Viral,0.903,0.908179,0.30887678
Viral,0.882,0.974209,0.24929525
Viral,0.988,0.987852,0.53793545
Viral,0.99,1.01252,0.43307392
Viral,1.016,1.05551,0.49685301
Viral,0.995,0.999177,0.47516121
Viral,0.9615,1.01767,0.38637783
Viral,0.993,1.01566,0.44103956
Viral,0.946,0.968279,0.34345279
Viral,0.957,0.960423,0.38118811
Viral,0.9985,1.04787,0.44428364
Viral,0.951,0.952355,0.46173281
Viral,0.87,0.821557,0.5360991
Viral,0.9785,1.01769,0.46103613
Viral,0.956,0.97323,0.35187686
Viral,0.9835,0.977334,0.4668773
Viral,1.002,1.058,0.43368268
Viral,0.9785,1.00113,0.43059711
Viral,0.947,0.966487,0.40682554
Viral,0.9535,0.963006,0.36221868
Viral,0.9495,0.967517,0.33475764
Viral,0.908,0.899751,0.34238456
Viral,0.979,0.976476,0.4889748
Viral,1.091,1.60838,0.63636363
Viral,0.9115,0.904665,0.33173406
Viral,0.979,0.974612,0.50768732
Viral,0.903,0.951589,0.28382129
Viral,1.0625,1.2966,0.55388471
Viral,0.908,0.908231,0.33403266
