Total bytes: 423330 (413.4 KB), 1.749 bpb, 1.749 bps w/ no header, Normalized Dissimilarity Rate: 0.874474
Total bytes: 420915 (411.0 KB), 1.739 bpb, 1.739 bps w/ no header, Normalized Dissimilarity Rate: 0.869485
Total bytes: 419142 (409.3 KB), 1.732 bpb, 1.731 bps w/ no header, Normalized Dissimilarity Rate: 0.865823
Total bytes: 416494 (406.7 KB), 1.721 bpb, 1.72 bps w/ no header, Normalized Dissimilarity Rate: 0.860353
Total bytes: 414516 (404.8 KB), 1.713 bpb, 1.712 bps w/ no header, Normalized Dissimilarity Rate: 0.856267
Total bytes: 414786 (405.1 KB), 1.714 bpb, 1.713 bps w/ no header, Normalized Dissimilarity Rate: 0.856825
Total bytes: 414960 (405.2 KB), 1.714 bpb, 1.714 bps w/ no header, Normalized Dissimilarity Rate: 0.857184
Total bytes: 547102 (534.3 KB), 1.702 bpb, 1.702 bps w/ no header, Normalized Dissimilarity Rate: 0.851186
Total bytes: 546605 (533.8 KB), 1.701 bpb, 1.701 bps w/ no header, Normalized Dissimilarity Rate: 0.850413
Total bytes: 537146 (524.6 KB), 1.671 bpb, 1.671 bps w/ no header, Normalized Dissimilarity Rate: 0.835696
Total bytes: 526549 (514.2 KB), 1.638 bpb, 1.638 bps w/ no header, Normalized Dissimilarity Rate: 0.81921
Total bytes: 520402 (508.2 KB), 1.619 bpb, 1.619 bps w/ no header, Normalized Dissimilarity Rate: 0.809646
Total bytes: 521393 (509.2 KB), 1.622 bpb, 1.622 bps w/ no header, Normalized Dissimilarity Rate: 0.811188
Total bytes: 522491 (510.2 KB), 1.626 bpb, 1.625 bps w/ no header, Normalized Dissimilarity Rate: 0.812896
Total bytes: 659248 (643.8 KB), 1.763 bpb, 1.762 bps w/ no header, Normalized Dissimilarity Rate: 0.881275
Total bytes: 661477 (646.0 KB), 1.769 bpb, 1.768 bps w/ no header, Normalized Dissimilarity Rate: 0.884255
Total bytes: 653386 (638.1 KB), 1.747 bpb, 1.747 bps w/ no header, Normalized Dissimilarity Rate: 0.873439
