Total bytes: 168909 (165.0 KB), 1.892 bpb, 1.892 bps w/ no header, Normalized Dissimilarity Rate: 0.946119
Total bytes: 168869 (164.9 KB), 1.892 bpb, 1.891 bps w/ no header, Normalized Dissimilarity Rate: 0.945895
Total bytes: 168787 (164.8 KB), 1.891 bpb, 1.89 bps w/ no header, Normalized Dissimilarity Rate: 0.945436
Total bytes: 168805 (164.8 KB), 1.891 bpb, 1.89 bps w/ no header, Normalized Dissimilarity Rate: 0.945537
Total bytes: 168874 (164.9 KB), 1.892 bpb, 1.891 bps w/ no header, Normalized Dissimilarity Rate: 0.945923
Total bytes: 168829 (164.9 KB), 1.891 bpb, 1.89 bps w/ no header, Normalized Dissimilarity Rate: 0.945671
Total bytes: 168823 (164.9 KB), 1.891 bpb, 1.89 bps w/ no header, Normalized Dissimilarity Rate: 0.945637
Total bytes: 330463 (322.7 KB), 1.88 bpb, 1.88 bps w/ no header, Normalized Dissimilarity Rate: 0.940159
Total bytes: 330856 (323.1 KB), 1.883 bpb, 1.882 bps w/ no header, Normalized Dissimilarity Rate: 0.941277
Total bytes: 330431 (322.7 KB), 1.88 bpb, 1.88 bps w/ no header, Normalized Dissimilarity Rate: 0.940068
Total bytes: 330261 (322.5 KB), 1.879 bpb, 1.879 bps w/ no header, Normalized Dissimilarity Rate: 0.939584
Total bytes: 330239 (322.5 KB), 1.879 bpb, 1.879 bps w/ no header, Normalized Dissimilarity Rate: 0.939522
Total bytes: 330219 (322.5 KB), 1.879 bpb, 1.878 bps w/ no header, Normalized Dissimilarity Rate: 0.939465
Total bytes: 330205 (322.5 KB), 1.879 bpb, 1.878 bps w/ no header, Normalized Dissimilarity Rate: 0.939425
Total bytes: 245401 (239.6 KB), 1.782 bpb, 1.782 bps w/ no header, Normalized Dissimilarity Rate: 0.891218
Total bytes: 245761 (240.0 KB), 1.785 bpb, 1.785 bps w/ no header, Normalized Dissimilarity Rate: 0.892526
Total bytes: 245278 (239.5 KB), 1.782 bpb, 1.781 bps w/ no header, Normalized Dissimilarity Rate: 0.890772
Total bytes: 245123 (239.4 KB), 1.78 bpb, 1.78 bps w/ no header, Normalized Dissimilarity Rate: 0.890209
Total bytes: 245083 (239.3 KB), 1.78 bpb, 1.779 bps w/ no header, Normalized Dissimilarity Rate: 0.890064
Total bytes: 245027 (239.3 KB), 1.78 bpb, 1.779 bps w/ no header, Normalized Dissimilarity Rate: 0.88986
Total bytes: 245039 (239.3 KB), 1.78 bpb, 1.779 bps w/ no header, Normalized Dissimilarity Rate: 0.889904
Total bytes: 15447 (15.1 KB), 1.88 bpb, 1.875 bps w/ no header, Normalized Dissimilarity Rate: 0.940142
Total bytes: 15420 (15.1 KB), 1.877 bpb, 1.87 bps w/ no header, Normalized Dissimilarity Rate: 0.938499
Total bytes: 15421 (15.1 KB), 1.877 bpb, 1.869 bps w/ no header, Normalized Dissimilarity Rate: 0.938559
Total bytes: 15448 (15.1 KB), 1.88 bpb, 1.873 bps w/ no header, Normalized Dissimilarity Rate: 0.940203
Total bytes: 15479 (15.1 KB), 1.884 bpb, 1.873 bps w/ no header, Normalized Dissimilarity Rate: 0.942089
Total bytes: 15483 (15.1 KB), 1.885 bpb, 1.872 bps w/ no header, Normalized Dissimilarity Rate: 0.942333
Total bytes: 15479 (15.1 KB), 1.884 bpb, 1.869 bps w/ no header, Normalized Dissimilarity Rate: 0.942089
Total bytes: 275501 (269.0 KB), 1.849 bpb, 1.849 bps w/ no header, Normalized Dissimilarity Rate: 0.924549
Total bytes: 275855 (269.4 KB), 1.851 bpb, 1.851 bps w/ no header, Normalized Dissimilarity Rate: 0.925737
Total bytes: 275450 (269.0 KB), 1.849 bpb, 1.848 bps w/ no header, Normalized Dissimilarity Rate: 0.924378
Total bytes: 275287 (268.8 KB), 1.848 bpb, 1.847 bps w/ no header, Normalized Dissimilarity Rate: 0.923831
Total bytes: 275169 (268.7 KB), 1.847 bpb, 1.846 bps w/ no header, Normalized Dissimilarity Rate: 0.923435
Total bytes: 275084 (268.6 KB), 1.846 bpb, 1.846 bps w/ no header, Normalized Dissimilarity Rate: 0.923149
Total bytes: 46264 (45.2 KB), 1.944 bpb, 1.942 bps w/ no header, Normalized Dissimilarity Rate: 0.972163
Total bytes: 46240 (45.2 KB), 1.943 bpb, 1.941 bps w/ no header, Normalized Dissimilarity Rate: 0.971658
Total bytes: 46247 (45.2 KB), 1.944 bpb, 1.941 bps w/ no header, Normalized Dissimilarity Rate: 0.971805
Total bytes: 46273 (45.2 KB), 1.945 bpb, 1.942 bps w/ no header, Normalized Dissimilarity Rate: 0.972352
Total bytes: 46317 (45.2 KB), 1.947 bpb, 1.943 bps w/ no header, Normalized Dissimilarity Rate: 0.973276
Total bytes: 46316 (45.2 KB), 1.947 bpb, 1.942 bps w/ no header, Normalized Dissimilarity Rate: 0.973255
Total bytes: 46312 (45.2 KB), 1.946 bpb, 1.941 bps w/ no header, Normalized Dissimilarity Rate: 0.973171
Total bytes: 214042 (209.0 KB), 1.856 bpb, 1.856 bps w/ no header, Normalized Dissimilarity Rate: 0.928245
Total bytes: 215051 (210.0 KB), 1.865 bpb, 1.865 bps w/ no header, Normalized Dissimilarity Rate: 0.932621
Total bytes: 213908 (208.9 KB), 1.855 bpb, 1.855 bps w/ no header, Normalized Dissimilarity Rate: 0.927664
Total bytes: 213401 (208.4 KB), 1.851 bpb, 1.85 bps w/ no header, Normalized Dissimilarity Rate: 0.925465
Total bytes: 213082 (208.1 KB), 1.848 bpb, 1.847 bps w/ no header, Normalized Dissimilarity Rate: 0.924082
Total bytes: 213011 (208.0 KB), 1.848 bpb, 1.847 bps w/ no header, Normalized Dissimilarity Rate: 0.923774
Total bytes: 213025 (208.0 KB), 1.848 bpb, 1.847 bps w/ no header, Normalized Dissimilarity Rate: 0.923835
Total bytes: 237549 (232.0 KB), 1.89 bpb, 1.89 bps w/ no header, Normalized Dissimilarity Rate: 0.945119
Total bytes: 237734 (232.2 KB), 1.892 bpb, 1.891 bps w/ no header, Normalized Dissimilarity Rate: 0.945855
Total bytes: 237487 (231.9 KB), 1.89 bpb, 1.889 bps w/ no header, Normalized Dissimilarity Rate: 0.944872
Total bytes: 237420 (231.9 KB), 1.889 bpb, 1.889 bps w/ no header, Normalized Dissimilarity Rate: 0.944606
Total bytes: 237419 (231.9 KB), 1.889 bpb, 1.888 bps w/ no header, Normalized Dissimilarity Rate: 0.944602
Total bytes: 237375 (231.8 KB), 1.889 bpb, 1.888 bps w/ no header, Normalized Dissimilarity Rate: 0.944427
Total bytes: 237360 (231.8 KB), 1.889 bpb, 1.888 bps w/ no header, Normalized Dissimilarity Rate: 0.944367
Total bytes: 713682 (697.0 KB), 1.717 bpb, 1.716 bps w/ no header, Normalized Dissimilarity Rate: 0.858302
Total bytes: 714193 (697.5 KB), 1.718 bpb, 1.718 bps w/ no header, Normalized Dissimilarity Rate: 0.858916
Total bytes: 713629 (696.9 KB), 1.716 bpb, 1.716 bps w/ no header, Normalized Dissimilarity Rate: 0.858238
Total bytes: 713236 (696.5 KB), 1.716 bpb, 1.715 bps w/ no header, Normalized Dissimilarity Rate: 0.857765
Total bytes: 712858 (696.2 KB), 1.715 bpb, 1.714 bps w/ no header, Normalized Dissimilarity Rate: 0.857311
Total bytes: 712749 (696.0 KB), 1.714 bpb, 1.714 bps w/ no header, Normalized Dissimilarity Rate: 0.857179
Total bytes: 712702 (696.0 KB), 1.714 bpb, 1.714 bps w/ no header, Normalized Dissimilarity Rate: 0.857123
Total bytes: 68237 (66.6 KB), 1.876 bpb, 1.875 bps w/ no header, Normalized Dissimilarity Rate: 0.93803
Total bytes: 68197 (66.6 KB), 1.875 bpb, 1.873 bps w/ no header, Normalized Dissimilarity Rate: 0.93748
Total bytes: 68147 (66.5 KB), 1.874 bpb, 1.872 bps w/ no header, Normalized Dissimilarity Rate: 0.936793
