Total bytes: 192896 (188.4 KB), 1.848 bpb, 1.848 bps w/ no header, Normalized Dissimilarity Rate: 0.9242
Total bytes: 193087 (188.6 KB), 1.85 bpb, 1.85 bps w/ no header, Normalized Dissimilarity Rate: 0.925115
Total bytes: 192804 (188.3 KB), 1.848 bpb, 1.847 bps w/ no header, Normalized Dissimilarity Rate: 0.923759
Total bytes: 192941 (188.4 KB), 1.849 bpb, 1.848 bps w/ no header, Normalized Dissimilarity Rate: 0.924416
Total bytes: 192800 (188.3 KB), 1.847 bpb, 1.847 bps w/ no header, Normalized Dissimilarity Rate: 0.92374
Total bytes: 192285 (187.8 KB), 1.843 bpb, 1.842 bps w/ no header, Normalized Dissimilarity Rate: 0.921272
Total bytes: 180761 (176.5 KB), 1.716 bpb, 1.715 bps w/ no header, Normalized Dissimilarity Rate: 0.857794
Total bytes: 181373 (177.1 KB), 1.721 bpb, 1.721 bps w/ no header, Normalized Dissimilarity Rate: 0.860698
Total bytes: 180605 (176.4 KB), 1.714 bpb, 1.714 bps w/ no header, Normalized Dissimilarity Rate: 0.857054
Total bytes: 180549 (176.3 KB), 1.714 bpb, 1.713 bps w/ no header, Normalized Dissimilarity Rate: 0.856788
Total bytes: 180391 (176.2 KB), 1.712 bpb, 1.711 bps w/ no header, Normalized Dissimilarity Rate: 0.856038
Total bytes: 180029 (175.8 KB), 1.709 bpb, 1.708 bps w/ no header, Normalized Dissimilarity Rate: 0.85432
Total bytes: 94412 (92.2 KB), 1.932 bpb, 1.931 bps w/ no header, Normalized Dissimilarity Rate: 0.965911
Total bytes: 94376 (92.2 KB), 1.931 bpb, 1.93 bps w/ no header, Normalized Dissimilarity Rate: 0.965543
Total bytes: 94346 (92.1 KB), 1.93 bpb, 1.929 bps w/ no header, Normalized Dissimilarity Rate: 0.965236
Total bytes: 94361 (92.1 KB), 1.931 bpb, 1.929 bps w/ no header, Normalized Dissimilarity Rate: 0.965389
Total bytes: 94430 (92.2 KB), 1.932 bpb, 1.93 bps w/ no header, Normalized Dissimilarity Rate: 0.966095
Total bytes: 94413 (92.2 KB), 1.932 bpb, 1.93 bps w/ no header, Normalized Dissimilarity Rate: 0.965921
Total bytes: 94415 (92.2 KB), 1.932 bpb, 1.929 bps w/ no header, Normalized Dissimilarity Rate: 0.965942
Total bytes: 110846 (108.2 KB), 1.893 bpb, 1.892 bps w/ no header, Normalized Dissimilarity Rate: 0.94657
Total bytes: 110856 (108.3 KB), 1.893 bpb, 1.892 bps w/ no header, Normalized Dissimilarity Rate: 0.946656
Total bytes: 110690 (108.1 KB), 1.89 bpb, 1.889 bps w/ no header, Normalized Dissimilarity Rate: 0.945238
Total bytes: 110714 (108.1 KB), 1.891 bpb, 1.89 bps w/ no header, Normalized Dissimilarity Rate: 0.945443
Total bytes: 110758 (108.2 KB), 1.892 bpb, 1.89 bps w/ no header, Normalized Dissimilarity Rate: 0.945819
Total bytes: 110684 (108.1 KB), 1.89 bpb, 1.889 bps w/ no header, Normalized Dissimilarity Rate: 0.945187
Total bytes: 110701 (108.1 KB), 1.891 bpb, 1.889 bps w/ no header, Normalized Dissimilarity Rate: 0.945332
Total bytes: 109418 (106.9 KB), 1.913 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.956393
Total bytes: 109403 (106.8 KB), 1.913 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.956261
Total bytes: 109341 (106.8 KB), 1.911 bpb, 1.91 bps w/ no header, Normalized Dissimilarity Rate: 0.955719
Total bytes: 109359 (106.8 KB), 1.912 bpb, 1.911 bps w/ no header, Normalized Dissimilarity Rate: 0.955877
Total bytes: 109398 (106.8 KB), 1.912 bpb, 1.911 bps w/ no header, Normalized Dissimilarity Rate: 0.956218
Total bytes: 109321 (106.8 KB), 1.911 bpb, 1.909 bps w/ no header, Normalized Dissimilarity Rate: 0.955545
Total bytes: 139225 (136.0 KB), 1.937 bpb, 1.936 bps w/ no header, Normalized Dissimilarity Rate: 0.968438
Total bytes: 139197 (135.9 KB), 1.936 bpb, 1.936 bps w/ no header, Normalized Dissimilarity Rate: 0.968243
Total bytes: 139158 (135.9 KB), 1.936 bpb, 1.935 bps w/ no header, Normalized Dissimilarity Rate: 0.967971
Total bytes: 139178 (135.9 KB), 1.936 bpb, 1.935 bps w/ no header, Normalized Dissimilarity Rate: 0.968111
Total bytes: 139236 (136.0 KB), 1.937 bpb, 1.936 bps w/ no header, Normalized Dissimilarity Rate: 0.968514
Total bytes: 139235 (136.0 KB), 1.937 bpb, 1.936 bps w/ no header, Normalized Dissimilarity Rate: 0.968507
Total bytes: 139231 (136.0 KB), 1.937 bpb, 1.935 bps w/ no header, Normalized Dissimilarity Rate: 0.968479
Total bytes: 228926 (223.6 KB), 1.91 bpb, 1.91 bps w/ no header, Normalized Dissimilarity Rate: 0.955083
Total bytes: 228757 (223.4 KB), 1.909 bpb, 1.908 bps w/ no header, Normalized Dissimilarity Rate: 0.954378
Total bytes: 228803 (223.4 KB), 1.909 bpb, 1.909 bps w/ no header, Normalized Dissimilarity Rate: 0.95457
Total bytes: 228878 (223.5 KB), 1.91 bpb, 1.909 bps w/ no header, Normalized Dissimilarity Rate: 0.954883
Total bytes: 228891 (223.5 KB), 1.91 bpb, 1.909 bps w/ no header, Normalized Dissimilarity Rate: 0.954937
Total bytes: 228782 (223.4 KB), 1.909 bpb, 1.908 bps w/ no header, Normalized Dissimilarity Rate: 0.954482
