Total bytes: 92195 (90.0 KB), 1.944 bpb, 1.943 bps w/ no header, Normalized Dissimilarity Rate: 0.971775
Total bytes: 92164 (90.0 KB), 1.943 bpb, 1.942 bps w/ no header, Normalized Dissimilarity Rate: 0.971449
Total bytes: 92137 (90.0 KB), 1.942 bpb, 1.941 bps w/ no header, Normalized Dissimilarity Rate: 0.971164
Total bytes: 92177 (90.0 KB), 1.943 bpb, 1.942 bps w/ no header, Normalized Dissimilarity Rate: 0.971586
Total bytes: 92249 (90.1 KB), 1.945 bpb, 1.943 bps w/ no header, Normalized Dissimilarity Rate: 0.972345
Total bytes: 92230 (90.1 KB), 1.944 bpb, 1.942 bps w/ no header, Normalized Dissimilarity Rate: 0.972144
Total bytes: 80558 (78.7 KB), 1.889 bpb, 1.888 bps w/ no header, Normalized Dissimilarity Rate: 0.944378
Total bytes: 80683 (78.8 KB), 1.892 bpb, 1.89 bps w/ no header, Normalized Dissimilarity Rate: 0.945843
Total bytes: 80451 (78.6 KB), 1.886 bpb, 1.885 bps w/ no header, Normalized Dissimilarity Rate: 0.943123
Total bytes: 80559 (78.7 KB), 1.889 bpb, 1.887 bps w/ no header, Normalized Dissimilarity Rate: 0.944389
Total bytes: 80518 (78.6 KB), 1.888 bpb, 1.886 bps w/ no header, Normalized Dissimilarity Rate: 0.943909
Total bytes: 80230 (78.3 KB), 1.881 bpb, 1.879 bps w/ no header, Normalized Dissimilarity Rate: 0.940532
Total bytes: 688192 (672.1 KB), 1.479 bpb, 1.479 bps w/ no header, Normalized Dissimilarity Rate: 0.739437
Total bytes: 699886 (683.5 KB), 1.504 bpb, 1.504 bps w/ no header, Normalized Dissimilarity Rate: 0.752002
Total bytes: 686224 (670.1 KB), 1.475 bpb, 1.475 bps w/ no header, Normalized Dissimilarity Rate: 0.737322
Total bytes: 680812 (664.9 KB), 1.463 bpb, 1.463 bps w/ no header, Normalized Dissimilarity Rate: 0.731507
Total bytes: 670959 (655.2 KB), 1.442 bpb, 1.442 bps w/ no header, Normalized Dissimilarity Rate: 0.720921
Total bytes: 665732 (650.1 KB), 1.431 bpb, 1.43 bps w/ no header, Normalized Dissimilarity Rate: 0.715304
Total bytes: 98176 (95.9 KB), 1.941 bpb, 1.94 bps w/ no header, Normalized Dissimilarity Rate: 0.970617
Total bytes: 98190 (95.9 KB), 1.942 bpb, 1.94 bps w/ no header, Normalized Dissimilarity Rate: 0.970756
Total bytes: 98086 (95.8 KB), 1.939 bpb, 1.938 bps w/ no header, Normalized Dissimilarity Rate: 0.969728
Total bytes: 98133 (95.8 KB), 1.94 bpb, 1.939 bps w/ no header, Normalized Dissimilarity Rate: 0.970192
Total bytes: 98201 (95.9 KB), 1.942 bpb, 1.94 bps w/ no header, Normalized Dissimilarity Rate: 0.970864
Total bytes: 98145 (95.8 KB), 1.941 bpb, 1.938 bps w/ no header, Normalized Dissimilarity Rate: 0.970311
Total bytes: 98158 (95.9 KB), 1.941 bpb, 1.938 bps w/ no header, Normalized Dissimilarity Rate: 0.970439
Total bytes: 1480946 (1.4 MB), 1.841 bpb, 1.841 bps w/ no header, Normalized Dissimilarity Rate: 0.920746
Total bytes: 1493284 (1.4 MB), 1.857 bpb, 1.857 bps w/ no header, Normalized Dissimilarity Rate: 0.928417
Total bytes: 1479754 (1.4 MB), 1.84 bpb, 1.84 bps w/ no header, Normalized Dissimilarity Rate: 0.920005
Total bytes: 1472587 (1.4 MB), 1.831 bpb, 1.831 bps w/ no header, Normalized Dissimilarity Rate: 0.915549
Total bytes: 1466678 (1.4 MB), 1.824 bpb, 1.824 bps w/ no header, Normalized Dissimilarity Rate: 0.911875
Total bytes: 1463222 (1.4 MB), 1.819 bpb, 1.819 bps w/ no header, Normalized Dissimilarity Rate: 0.909727
Total bytes: 345540 (337.4 KB), 1.868 bpb, 1.868 bps w/ no header, Normalized Dissimilarity Rate: 0.93401
Total bytes: 349665 (341.5 KB), 1.89 bpb, 1.89 bps w/ no header, Normalized Dissimilarity Rate: 0.94516
Total bytes: 345341 (337.2 KB), 1.867 bpb, 1.867 bps w/ no header, Normalized Dissimilarity Rate: 0.933472
Total bytes: 343975 (335.9 KB), 1.86 bpb, 1.859 bps w/ no header, Normalized Dissimilarity Rate: 0.92978
Total bytes: 343560 (335.5 KB), 1.857 bpb, 1.857 bps w/ no header, Normalized Dissimilarity Rate: 0.928658
Total bytes: 343113 (335.1 KB), 1.855 bpb, 1.854 bps w/ no header, Normalized Dissimilarity Rate: 0.92745
Total bytes: 94078 (91.9 KB), 1.926 bpb, 1.925 bps w/ no header, Normalized Dissimilarity Rate: 0.962903
Total bytes: 93982 (91.8 KB), 1.924 bpb, 1.923 bps w/ no header, Normalized Dissimilarity Rate: 0.96192
Total bytes: 93965 (91.8 KB), 1.923 bpb, 1.922 bps w/ no header, Normalized Dissimilarity Rate: 0.961746
Total bytes: 93960 (91.8 KB), 1.923 bpb, 1.922 bps w/ no header, Normalized Dissimilarity Rate: 0.961695
Total bytes: 94013 (91.8 KB), 1.924 bpb, 1.923 bps w/ no header, Normalized Dissimilarity Rate: 0.962237
Total bytes: 93969 (91.8 KB), 1.924 bpb, 1.921 bps w/ no header, Normalized Dissimilarity Rate: 0.961787
Total bytes: 287967 (281.2 KB), 1.922 bpb, 1.922 bps w/ no header, Normalized Dissimilarity Rate: 0.961097
Total bytes: 288271 (281.5 KB), 1.924 bpb, 1.924 bps w/ no header, Normalized Dissimilarity Rate: 0.962112
Total bytes: 287796 (281.1 KB), 1.921 bpb, 1.921 bps w/ no header, Normalized Dissimilarity Rate: 0.960526
Total bytes: 287736 (281.0 KB), 1.921 bpb, 1.92 bps w/ no header, Normalized Dissimilarity Rate: 0.960326
Total bytes: 287782 (281.0 KB), 1.921 bpb, 1.92 bps w/ no header, Normalized Dissimilarity Rate: 0.96048
Total bytes: 287651 (280.9 KB), 1.92 bpb, 1.919 bps w/ no header, Normalized Dissimilarity Rate: 0.960042
Total bytes: 78529 (76.7 KB), 1.929 bpb, 1.928 bps w/ no header, Normalized Dissimilarity Rate: 0.964499
Total bytes: 78487 (76.6 KB), 1.928 bpb, 1.927 bps w/ no header, Normalized Dissimilarity Rate: 0.963983
Total bytes: 78463 (76.6 KB), 1.927 bpb, 1.926 bps w/ no header, Normalized Dissimilarity Rate: 0.963688
Total bytes: 78514 (76.7 KB), 1.929 bpb, 1.927 bps w/ no header, Normalized Dissimilarity Rate: 0.964314
Total bytes: 78579 (76.7 KB), 1.93 bpb, 1.928 bps w/ no header, Normalized Dissimilarity Rate: 0.965113
Total bytes: 78539 (76.7 KB), 1.929 bpb, 1.927 bps w/ no header, Normalized Dissimilarity Rate: 0.964621
Total bytes: 312323 (305.0 KB), 1.914 bpb, 1.913 bps w/ no header, Normalized Dissimilarity Rate: 0.956807
Total bytes: 312336 (305.0 KB), 1.914 bpb, 1.913 bps w/ no header, Normalized Dissimilarity Rate: 0.956847
Total bytes: 312165 (304.8 KB), 1.913 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.956323
Total bytes: 312167 (304.9 KB), 1.913 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.956329
Total bytes: 312269 (305.0 KB), 1.913 bpb, 1.913 bps w/ no header, Normalized Dissimilarity Rate: 0.956641
Total bytes: 312168 (304.9 KB), 1.913 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.956332
