Domain,DNA,AA,GC,L_DNA,L_AA
plastid,0.9555,0.962651,0.38923471,0.00379525,0.00201835
plastid,0.961,0.961298,0.39865803,0.00328213,0.00176433
plastid,0.9415,0.960499,0.32588248,0.00296132,0.00117223
plastid,0.9625,0.964368,0.39751475,0.00361302,0.00193784
plastid,0.954,0.961698,0.37829045,0.00386933,0.00194968
plastid,0.962,0.961689,0.40089859,0.00340886,0.00181333
plastid,0.929,0.955352,0.31709527,0.00320462,0.00130573
plastid,0.9585,0.960689,0.39835049,0.00338631,0.00183776
plastid,0.9565,0.962264,0.38384675,0.00389703,0.0020175
plastid,0.9615,0.962021,0.39983405,0.00340811,0.00182152
plastid,0.9595,0.961144,0.39424343,0.00327006,0.00170248
plastid,0.957,0.960261,0.395713,0.00329707,0.00174795
plastid,0.952,0.961097,0.37796901,0.00386785,0.00202827
plastid,0.9545,0.962481,0.38633085,0.00386815,0.00204336
plastid,0.958,0.963467,0.38958409,0.0035958,0.00187512
plastid,0.956,0.961413,0.38876309,0.00377984,0.00199818
plastid,0.951,0.960451,0.38317446,0.00345753,0.00179233
plastid,0.96,0.962677,0.39567603,0.00388122,0.00209017
plastid,0.957,0.961902,0.3918551,0.00383272,0.00204716
plastid,0.9565,0.963038,0.38649546,0.00383562,0.00199687
archaea,0.9565,0.946786,0.37246004,0.06513701,0.02922124
archaea,0.9545,0.910353,0.6061015,0.09888982,0.08502986
archaea,0.9445,0.893359,0.62810013,0.13278206,0.11824648
archaea,0.942,0.956381,0.33058663,0.04350591,0.01923209
archaea,0.9745,0.945548,0.55023163,0.04066764,0.03260356
archaea,0.926,0.871539,0.66670915,0.07481762,0.06993852
archaea,0.9705,0.956716,0.4173918,0.04661128,0.02546479
archaea,0.98,0.957107,0.45464814,0.04787916,0.02756758
archaea,0.9805,0.962198,0.465842,0.07793786,0.04823568
archaea,0.9415,0.889923,0.63579021,0.09201744,0.0828522
archaea,0.951,0.960851,0.34305679,0.06496404,0.03049662
archaea,0.9365,0.88481,0.64348092,0.09611261,0.0874001
archaea,0.9745,0.96195,0.42673377,0.05828819,0.03395172
archaea,0.9615,0.955548,0.37189923,0.03832325,0.01773976
archaea,0.9495,0.899211,0.62401097,0.08143536,0.07161411
archaea,0.9335,0.948954,0.32753397,0.03922713,0.01759438
archaea,0.9785,0.969221,0.42729746,0.06623107,0.03961416
archaea,0.9635,0.919913,0.59088307,0.11818276,0.10145346
archaea,0.973,0.962047,0.4243796,0.09969177,0.05973844
archaea,0.955,0.906888,0.60583234,0.10307244,0.08817976
mitochondrion,0.971,0.975827,0.47432732,0.00039528,0.00022524
mitochondrion,0.9685,0.968948,0.46993197,0.00045985,0.00025438
mitochondrion,0.933,0.978163,0.34564254,0.00040662,0.00016847
mitochondrion,0.874,0.951582,0.21901212,0.00037594,0.00010633
mitochondrion,0.9285,0.956246,0.31121141,0.00048795,0.00017158
mitochondrion,0.9595,0.982146,0.39222503,0.00039591,0.00020148
mitochondrion,0.9755,0.978447,0.46603028,0.00038014,0.00020021
mitochondrion,0.9305,0.977785,0.2991285,0.00038192,0.00013072
mitochondrion,0.98,0.97594,0.40548425,0.00038605,0.0001961
mitochondrion,0.9945,0.987592,0.43902439,0.00040427,0.00019543
mitochondrion,0.973,0.986388,0.37185529,0.00037701,0.00015821
mitochondrion,0.918,0.966969,0.27652937,0.00047331,0.00014741
mitochondrion,0.9625,0.98415,0.39407062,0.00045076,0.00022559
mitochondrion,0.9885,0.981278,0.47421337,0.00040324,0.00022126
mitochondrion,0.9655,0.986325,0.39423873,0.00042309,0.00019335
mitochondrion,0.916,0.971324,0.27546251,0.00038012,0.00012636
mitochondrion,0.904,0.958541,0.26700954,0.00040387,0.00014131
mitochondrion,0.9155,0.917702,0.33807833,0.00266344,0.00121645
mitochondrion,0.912,0.964601,0.27536968,0.00044341,0.00013919
mitochondrion,0.976,0.982149,0.40144753,0.00041493,0.00018667
fungi,0.9855,0.964642,0.42568981,0.21788189,0.1422952
fungi,0.988,0.961171,0.46169353,0.29735167,0.22058822
fungi,0.9785,0.869153,0.44743422,0.97675974,1.48532236
fungi,0.9935,0.963998,0.47425163,0.7891046,0.54473443
fungi,0.985,0.937726,0.52452574,0.87372213,0.74580686
fungi,0.98,0.957763,0.40086745,0.26383206,0.1876057
fungi,0.986,0.958163,0.44327621,0.93596937,0.73474324
fungi,0.9935,0.957955,0.48596984,0.51545409,0.39405786
fungi,0.99,0.927681,0.52013456,0.87912967,0.77601325
fungi,0.9905,0.965136,0.46526044,0.26039715,0.18922134
fungi,0.9885,0.944726,0.53742848,0.66175558,0.58879143
fungi,0.9935,0.958951,0.50033053,0.7739207,0.56755088
fungi,0.994,0.953861,0.48532875,0.64936198,0.54242977
fungi,0.9805,0.922046,0.43007084,0.38208382,0.37873171
fungi,0.988,0.938985,0.54214799,0.76182506,0.67009596
fungi,0.992,0.952276,0.5291465,0.64931803,0.54787643
fungi,0.99,0.958774,0.47533355,0.53914001,0.41111955
fungi,0.985,0.941397,0.53654283,0.69864238,0.65639079
fungi,0.9885,0.946786,0.5149615,0.72642146,0.63689986
fungi,0.991,0.957311,0.50691741,0.73404803,0.57530172
plant,0.9745,0.915398,0.39816197,9.88886514,12.03177333
plant,0.972,1,0.40476324,15.07174013,25.09984136
plant,0.9865,0.94918,0.51475528,1.03903298,0.93158712
plant,0.972,0.929439,0.40345418,8.23329507,8.55526469
plant,0.9805,0.942721,0.41678409,6.74003467,6.38815145
plant,0.979,0.938072,0.41719353,9.11256586,9.10403175
plant,0.9875,0.918518,0.5383247,2.39607729,2.57846428
plant,0.978,0.941073,0.41282004,4.5589137,4.62997959
plant,0.972,0.945938,0.39989902,0.29273212,0.2075584
plant,0.975,0.934792,0.40517994,16.53060765,18.85028069
plant,0.972,0.931073,0.39524604,7.07717247,7.51928317
plant,0.976,0.935001,0.41398431,4.18847496,3.72684995
plant,0.9615,0.953211,0.3972039,4.84011899,2.58928021
plant,0.9715,0.925234,0.38754962,13.55710929,14.85814841
plant,0.9795,0.924958,0.42187943,16.62580512,19.64923871
plant,0.98,0.939361,0.42336465,12.18238642,12.5241322
plant,0.987,0.943982,0.54075814,0.37283891,0.33207685
plant,0.976,0.922198,0.40298733,6.68301515,7.38798258
plant,0.9765,0.907946,0.41151146,4.38317009,4.68524123
plant,0.9765,0.872197,0.42473413,11.36720662,14.34568042
viral,0.9425,0.961635,0.32284782,0.00379803,0.00187671
viral,1.018,1.06808,0.50893288,5.183e-05,3.31e-05
viral,0.9915,1.00049,0.48098829,0.00015599,0.00010232
viral,0.991,0.961038,0.52767246,0.00131358,0.000973
viral,0.9595,0.98768,0.32755385,0.00028001,0.00012153
viral,0.944,0.901645,0.66438596,0.00171176,0.00153302
viral,1.0015,1.02279,0.45980769,0.00013013,7.475e-05
viral,0.9705,0.929554,0.60564174,0.00128727,0.0011039
viral,0.992,0.995029,0.56329285,9.272e-05,6.621e-05
viral,1.0075,1.06324,0.45384332,6.805e-05,3.941e-05
viral,1.0065,0.993453,0.48798471,0.00027493,0.00018293
viral,1.022,1.13806,0.50309461,2.83e-05,1.917e-05
viral,0.9855,0.987287,0.40122306,0.00042969,0.00021247
viral,1.0115,1.05324,0.53569784,5.433e-05,3.937e-05
viral,1.014,1.05046,0.48824593,6.92e-05,4.509e-05
viral,0.9695,0.980047,0.37210965,0.00094485,0.0004752
viral,0.9945,0.97588,0.46157918,0.00122911,0.00072544
viral,0.9835,1.00401,0.39990172,0.00025464,0.0001488
viral,1.015,1.04793,0.51717172,6.194e-05,4.286e-05
viral,1.003,1.06304,0.40853284,8.153e-05,3.675e-05
bacteria,0.961,0.950998,0.51282809,0.0536339,0.04080312
bacteria,0.96,0.92292,0.61189171,0.16539912,0.14267733
bacteria,0.9755,0.968272,0.39999415,0.09582649,0.04779541
bacteria,0.936,0.887449,0.66831527,0.11312634,0.10404174
bacteria,0.959,0.922772,0.61269691,0.16867006,0.14667279
bacteria,0.973,0.941043,0.56454448,0.1384556,0.10415187
bacteria,0.959,0.965682,0.37294916,0.07881414,0.04298986
bacteria,0.967,0.964114,0.43429668,0.06994038,0.04565244
bacteria,0.9555,0.911097,0.63996351,0.10646243,0.09401558
bacteria,0.954,0.960157,0.33793802,0.0591909,0.02479398
bacteria,0.948,0.953094,0.34622639,0.04951424,0.02170549
bacteria,0.98,0.959612,0.50515074,0.11024565,0.07443713
bacteria,0.982,0.960307,0.50649194,0.12197654,0.08281836
bacteria,0.9555,0.96162,0.34552481,0.06887236,0.0300358
bacteria,0.9825,0.960681,0.50636435,0.11828182,0.08037126
bacteria,0.9475,0.956241,0.33691974,0.06959097,0.02902728
bacteria,0.9825,0.960767,0.50552167,0.12554189,0.08513027
bacteria,0.923,0.88194,0.66267544,0.17603571,0.16283339
bacteria,0.954,0.960798,0.34609209,0.06664637,0.02931086
bacteria,0.9235,0.882355,0.66161885,0.179546,0.16592769
protozoa,0.987,0.957667,0.47321344,0.70479651,0.5720188
protozoa,0.979,0.964717,0.40374512,0.13661025,0.09416231
protozoa,0.9815,0.956724,0.45190844,0.19350976,0.14750562
protozoa,0.971,0.95539,0.39961952,0.5953838,0.48890747
protozoa,0.98,0.923759,0.55577758,0.59616535,0.64997061
protozoa,0.9515,0.861997,0.33488127,0.21166054,0.40526357
protozoa,0.97,0.903644,0.60107687,0.53821025,0.63221828
protozoa,0.991,0.880496,0.49595968,0.64572404,0.98149585
protozoa,0.951,0.910242,0.33306795,0.23518306,0.36677119
protozoa,0.992,0.956415,0.49306139,0.62207718,0.49261543
protozoa,0.959,0.906078,0.35542858,0.44403631,0.65587758
protozoa,0.989,0.949557,0.49411673,0.46760654,0.40872487
protozoa,0.9565,0.919118,0.34531997,0.24543744,0.36601691
protozoa,0.992,0.882841,0.4881842,0.69032185,0.95504966
protozoa,0.952,0.864677,0.35423488,0.42849284,0.6623838
protozoa,0.9725,0.960387,0.40178147,0.62615463,0.50742193
protozoa,0.9715,0.946569,0.38330265,0.16644129,0.12540826
protozoa,0.983,0.930133,0.56155639,0.61105347,0.63401266
protozoa,0.99,0.937675,0.52682168,0.65339836,0.59877222
protozoa,0.9895,0.942996,0.49294847,0.26833497,0.19485481
