Identifier	Size1	Size2	Size3	Size4	Size7	Size12	Size14	Level1	Level2	Level3	Level4	Level7	Level12	Level14
GCF_000001735.4_TAIR10.1_genomic.fna	1241472	1230689	1230840	1230335	1230978	1088177	1019602	0.94966	0.941412	0.941527	0.941141	0.941633	0.859431	0.805271
GCF_000002425.4_Phypa_V3_genomic.fna	999502	1016970	997199	4297129	3684059	3584510	3662243	0.789396	0.803192	0.787577	0.687321	0.589261	0.573339	0.585772
GCF_000002595.1_v3.0_genomic.fna	3577660	1350817	1322870	1316430	1321481	1316106	14599078	0.572243	0.926076	0.906916	0.902501	0.905964	0.902279	0.876164
GCF_000002775.4_Pop_tri_v3_genomic.fna	13095210	12722538	13030169	4665580	4177008	4091269	4161248	0.78591	0.763544	0.782006	0.906457	0.811534	0.794876	0.808472
GCF_000003195.3_Sorghum_bicolor_NCBIv3_genomic.fna	4083120	1396305	1388010	1387687	1387596	1387820	3910231	0.793293	0.934078	0.928529	0.928313	0.928252	0.928402	0.927519
GCF_000003745.3_12X_genomic.fna	3792450	3770915	3787225	3769784	1158738	1144550	1142831	0.899581	0.894473	0.898342	0.894205	0.925205	0.913877	0.912504
GCF_000004075.3_Cucumber_9930_V3_genomic.fna	1143969	1142767	3043234	2988931	2975288	2986373	2975104	0.913413	0.912453	0.945531	0.928659	0.924421	0.927865	0.924363
GCF_000004255.2_v.1.0_genomic.fna	4007537	3956356	3943090	3952854	3942401	2523557	2454113	0.887538	0.876203	0.873265	0.875428	0.873113	0.917216	0.891976
GCF_000004515.6_Glycine_max_v4.0_genomic.fna	2446294	2452084	2445442	10729270	10422069	10346856	10412113	0.889134	0.891238	0.888824	0.882649	0.857377	0.85119	0.856558
GCF_000005505.3_Brachypodium_distachyon_v3.0_genomic.fna	7931059	7133699	6948115	7099093	6936144	1660581	1627114	0.809214	0.727859	0.708923	0.724328	0.707702	0.911085	0.892723
GCF_000090985.2_ASM9098v2_genomic.fna	1619893	1625463	1619794	4797313	4729394	4711474	4724642	0.888762	0.891818	0.888707	0.865615	0.85336	0.850127	0.852503
GCF_000091205.1_ASM9120v1_genomic.fna	4711024	1766664	1671886	1630699	1666824	1627536	17824555	0.850045	0.865869	0.819417	0.79923	0.816936	0.79768	0.832173
GCF_000092065.1_ASM9206v1_genomic.fna	17534115	17503700	2918649	2507003	2361935	2486196	2305993	0.818613	0.817193	0.383322	0.329259	0.310206	0.326526	0.302859
