Identifier	DNA_Length	AA_Length
10001334	155176	152601
10003251	155996	151624
10005178	151894	156281
10007054	157729	150195
10009002	137991	90471
10010706	158436	142992
10012663	158630	143917
1001392	166235	156004
10014622	157585	143486
10016568	155202	159592
10018485	158565	145855
10020443	161032	149273
10022432	154550	149269
10024341	154835	149817
10026253	154686	149915
10028163	154265	149931
10030068	154761	149443
10031979	154717	149388
10033890	154702	149427
1003445	156640	147422
10035801	154674	149336
10037711	154621	149444
10039621	154092	149670
10041524	154668	149672
10043434	160134	149118
10045411	138494	114020
10047121	161741	152726
10049119	158599	143192
10051078	158924	144623
10053041	159102	144443
1005379	159219	148624
10055006	124114	87125
10056539	137693	127988
10058240	166329	156000
10060294	137999	127321
10061998	141905	136106
10063750	136836	126306
10065440	137950	128531
10067143	137939	128668
10068846	137857	127159
10070548	137708	126802
10072249	137458	127798
1007345	159574	149008
10073946	141943	136041
10075699	141956	135973
10077452	141939	135943
10079205	141425	134937
10080951	136008	127933
10082631	137680	126211
10084331	138492	129094
10086041	157553	145130
10087987	154565	146109
10089896	137931	127451
10091599	165105	148027
1009315	121226	113661
10093638	163108	150385
10095652	150913	136556
10097516	154755	146506
10099427	161473	146837
10101421	159530	144749
10103391	167419	147089
10105459	162456	149734
10107465	148751	137036
1010812	153870	145447
10109302	153128	141000
10111193	150998	135535
10113058	153264	140894
10114951	155282	143397
10116869	152939	140242
101175	161621	146900
10118758	153637	139799
10120655	154155	141658
10122559	152295	122066
10124440	152094	154164
10126318	155302	141987
1012712	153648	154184
10128236	158232	150593
10130190	157956	149894
10132141	159047	151456
10134105	158487	150647
10136062	158157	150269
10138015	158171	151111
10139968	157606	150057
10141915	163043	144586
10143929	121296	105673
10145427	160984	149404
1014610	155703	160066
10147415	159162	149055
10149380	153006	138731
10151270	98076	66412
10152482	160452	150897
10154463	159615	141109
10156434	141281	134147
10158179	141205	133773
10159923	141231	134012
10161667	141271	134209
10163412	141226	133861
10165156	141276	133850
1016533	155943	146496
10166901	141336	134066
10168647	141249	134132
10170391	141316	134230
10172136	141145	133730
10173879	141257	134015
10175624	140803	133199
10177363	141319	134075
10179108	141269	133930
10180853	141265	134188
10182598	141247	134124
10184342	141242	134105
1018459	104427	89816
10186086	141336	134192
10187832	141231	134173
10189576	141250	133934
10191320	141227	133861
10193064	141295	133986
10194809	141294	134250
10196554	141251	134193
1019749	257347	231882
10198299	140978	133180
10200040	141197	133935
10201784	141179	133538
10203528	141205	133896
10205272	141182	133674
10207016	141156	133744
10208759	141161	133736
10210503	141212	133867
10212247	141346	134036
10213993	141274	134130
10215738	141300	134093
10217483	141347	134029
10219229	141355	134012
10220975	158613	147096
10222934	160122	149241
10224911	157204	138603
10226852	156057	136568
10228779	155649	137276
1022926	266708	224331
10230701	155351	137917
10232620	155883	137723
10234545	156259	137376
10236475	155981	137376
10238401	155287	136157
10240319	156891	138505
10242256	156369	137690
10244187	156165	135701
10246116	155754	136333
10248039	156908	137740
10249977	156918	138353
10251915	156414	136122
10253847	155011	137205
10255761	156423	136763
10257693	157262	138315
10259635	156258	137965
10261565	156299	137330
1026219	199742	155952
10263495	156126	137852
10265423	154936	136975
10267336	156700	137075
