Identifier	Size1	Size2	Size3	Size4	Size7	Size12	Size14	Level1	Level2	Level3	Level4	Level7	Level12	Level14
100008	744	755	761	761	788	804	822	.98300	.98300	.98300	.98300	.98150	.98150	.98300
1000389	533	546	550	550	577	594	610	.97650	.98050	.97650	.97650	.97450	.97650	.97450
1001036	16262	16275	16278	16284	16307	16323	347	.96850	.96850	.96850	.96850	.96850	.96850	.95850
100241	356	364	367	394	407	425	334	.95200	.95850	.96800	.96500	.95550	.95850	.96700
100411	345	352	351	379	395	412	826	.96700	.97050	.96700	.96700	.96700	.96700	.96450
1005438	838	845	844	872	886	292	305	.96550	.96700	.96550	.96550	.96300	1.00000	1.00800
1005647	310	309	336	353	370	27688	27697	1.00400	1.00000	.99600	1.00000	1.00000	.89950	.89950
1005834	27676	27721	27729	27632	679	686	691	.89850	.90000	.89950	.89550	.93100	.92500	.92400
100585	694	724	734	3247	3241	3247	3254	.92800	.93100	.92250	.94100	.93600	.93600	.93800
100797	3277	3239	507	518	523	523	551	.93650	.92050	.98500	.98500	.98300	.98300	.98300
1012395	568	586	780	794	798	798	825	.98500	.98700	.97150	.97550	.97300	.97300	.97150
1012606	841	859	703	716	721	721	749	.97150	.97300	.97200	.97500	.97350	.97350	.97350
1012819	764	781	310	325	328	328	355	.97200	.97200	.98600	1.00100	.98950	.98950	.98600
1013028	372	389	320	335	337	337	365	.98950	.98950	.99200	1.00650	.99200	.99200	.99200
1013222	383	398	322	337	339	339	367	.99900	.99200	.98750	1.00200	.98750	.98750	.98750
1013417	384	400	312	327	329	329	357	.99100	.98750	.98800	1.00300	.98800	.98800	.98800
1013611	374	390	22312	22285	22236	22233	22224	.99150	.98800	.86650	.86500	.86250	.86250	.86100
1013805	22169	21791	21796	21801	21814	21842	21850	.85850	.96650	.96600	.96600	.96650	.96650	.96650
101480	21864	28337	28350	28307	28322	28353	28277	.96600	.89050	.89050	.88900	.88950	.88950	.88700
1018461	4457	4469	4478	4481	4505	4516	809	.97150	.97200	.97250	.97300	.97250	.97100	.96200
1023013	821	825	826	854	871	887	943	.96350	.96100	.96200	.96200	.96350	.96200	.97000
1024213	953	959	959	986	999	1018	1268	.96900	.96900	.96900	.96800	.96500	.96700	.96850
1024422	1280	1283	1284	1312	1328	1344	376	.96950	.96700	.96800	.96800	.96800	.96700	.96900
1025010	390	395	394	421	438	454	814	.97800	.97500	.97200	.96900	.97200	.96900	.96300
1025482	827	832	832	860	875	893	804	.96550	.96400	.96400	.96400	.96300	.96400	.93400
1025683	807	814	816	848	856	876	376	.92400	.92550	.92800	.93300	.92300	.92650	.97700
1025892	390	393	393	420	436	453	395	.98600	.97700	.97700	.97400	.97400	.97400	.97500
1026113	406	411	412	438	455	472	313	.97500	.97200	.97500	.96900	.97200	.97200	.98350
1026316	326	331	330	357	374	391	299	.99100	.98700	.98350	.97950	.98350	.98350	.97650
1026521	313	317	317	344	360	378	806	.98850	.98050	.98050	.97650	.97650	.98050	.98700
1026749	817	821	824	850	867	885	385	.98700	.98450	.98850	.98550	.98700	.98850	.97400
1026971	399	403	404	430	447	464	266	.98250	.97700	.98000	.97400	.97700	.97700	.99200
1027178	280	284	283	310	327	344	826	1.00550	.99650	.99200	.98750	.99200	.99200	.94500
1027377	834	839	842	871	884	900	431	.94100	.94000	.94350	.94500	.94100	.94000	.98600
1027572	445	450	450	477	494	510	788	.99350	.99100	.99100	.98850	.99100	.98850	.96400
1027785	798	803	806	834	847	866	363	.96300	.96150	.96550	.96550	.96150	.96400	.97450
1027972	376	382	381	408	424	442	829	.98050	.98050	.97750	.97450	.97450	.97750	.96350
1028187	841	848	847	874	889	908	769	.96500	.96600	.96500	.96350	.96250	.96500	.94700
1028380	779	785	789	818	827	847	344	.94550	.94550	.95100	.95200	.94300	.94700	.99250
