Identifier	GC	ATGC	Percentage
100008	7195	18524	.38841502
1000389	7827	51680	.15145123
1001036	158774	352071	.45097153
100241	3857	13483	.28606393
100411	3757	13793	.27238454
1005438	7097	16573	.42822663
1005647	3351	14840	.22580862
1005834	252719	524798	.48155480
100585	6543	16868	.38789423
100797	24975	54549	.45784524
1012395	5243	16776	.31252980
1012606	7203	16889	.42649061
1012819	6816	16631	.40983705
1013028	3426	15424	.22212136
1013222	3445	15477	.22258835
1013417	3453	15427	.22382835
1013611	3407	15420	.22094682
1013805	194429	372340	.52218133
101480	208394	459679	.45334679
1018461	186973	364071	.51356191
1023013	37718	95881	.39338346
1024213	7101	16573	.42846799
1024422	10818	46931	.23050861
1025010	13240	37628	.35186563
1025482	4481	15944	.28104616
1025683	7476	16564	.45134025
1025892	7630	17528	.43530351
1026113	4410	16124	.27350533
1026316	4584	16315	.28096843
1026521	4371	18106	.24141168
1026749	4163	17603	.23649377
1026971	6984	16471	.42401797
1027178	4501	15814	.28462122
1027377	3164	15494	.20420808
1027572	7746	16886	.45872320
1027785	4607	14881	.30958940
1027972	7003	17104	.40943638
1028187	4338	15342	.28275322
1028380	7112	17213	.41317608
1028597	7154	17385	.41150417
1028816	3841	15541	.24715269
1029012	6547	16248	.40294190
1029217	2971	15762	.18849130
1029416	132182	300786	.43945529
1033177	9071	25908	.35012351
1033502	11586	72056	.16079160
1034405	11732	73446	.15973640
1035325	42812	104461	.40983716
1036632	7574	16723	.45290916
1036843	7165	17824	.40198608
1037067	7006	16648	.42083133
1037277	292858	658523	.44471947
1039	8045	16562	.48575051
1045510	3960	11111	.35640356
1045650	118134	265771	.44449544
1048974	2764	15375	.17977235
1049168	6977	16565	.42118925
1049377	5123	16901	.30311815
1049590	7166	16566	.43257273
1049799	7738	16785	.46100685
1050010	5551	16486	.33670993
1050218	7699	16611	.46348805
1050427	7555	16612	.45479171
1050636	6027	16230	.37134935
1050840	6057	16461	.36796063
1051047	6060	16459	.36818761
1051254	4386	15425	.28434359
1051448	7757	16451	.47152148
1051655	3476	15221	.22836870
1051847	6008	16537	.36330652
1052055	6523	16718	.39017825
1052265	7580	16510	.45911568
1052473	6698	22044	.30384685
1052751	2691	13920	.19331896
1052926	3409	16669	.20451136
1053136	869267	1999597	.43472109
10567	211505	476094	.44425050
107227	3890	13583	.28638739
107398	264147	553722	.47703901
1078133	783865	1829329	.42849864
1101001	6642	16720	.39724880
1101211	3816	15731	.24257834
1101409	13545	45511	.29762035
1101979	4744	15893	.29849619
1102179	9680	35161	.27530502
1102620	41663	104737	.39778683
1103931	41685	104786	.39781077
1105242	41539	104639	.39697435
1106551	41552	104353	.39818692
1107857	41665	104637	.39818611
1109166	41631	104672	.39772814
1110476	3868	15530	.24906632
1110672	4953	16899	.29309426
1110885	10765	48526	.22183983
1111493	9352	43871	.21317043
1112043	7407	17262	.42909280
1112260	7796	16519	.47194140
1112468	6523	16499	.39535729
1112676	3264	15287	.21351475
1112869	4823	14681	.32851985
1113054	6681	18226	.36656424
1113283	5054	14769	.34220326
1113469	7350	16785	.43789097
1113680	7626	16805	.45379351
1113892	7695	16835	.45708345
1114104	7846	16713	.46945491
1114314	7851	16767	.46824118
1114525	7796	16642	.46845331
1114735	7719	16842	.45831848
1114947	7681	17131	.44836845
1115163	6878	17132	.40147093
1115379	7376	16527	.44629999
1115587	3920	16346	.23981402
1115793	3240	13681	.23682479
1115965	5136	16072	.31956197
1116167	7770	16579	.46866517
1116376	7776	16799	.46288469
1116587	7196	16586	.43385988
1116796	3956	16228	.24377618
1117000	7165	16709	.42881082
1117210	3786	15833	.23912082
1117409	7337	17427	.42101337
1117628	2491	15310	.16270411
1117821	4260	14713	.28953986
1118006	4581	15033	.30472959
1118195	5215	15295	.34096109
1118388	4133	14430	.28641718
1118570	7794	16509	.47210612
1118778	6857	17486	.39214228
1118998	5542	16040	.34551122
1119200	7626	16584	.45984081
1119409	7617	16581	.45938121
1119618	7593	16584	.45785094
1119827	7627	16583	.45992884
1120036	7831	16520	.47403147
1120244	6598	17266	.38213830
1120461	6962	16581	.41987817
1120670	7328	16503	.44404047
1120878	6503	17067	.38102771
1121093	3896	14704	.26496191
1121278	7374	16516	.44647614
1121486	7565	16539	.45740371
1121694	7953	17131	.46424610
1121910	13494	43298	.31165411
1122453	10236	71126	.14391361
1123344	10594	64781	.16353560
1124155	10564	64738	.16318082
1124966	11836	77382	.15295546
1125935	13236	69020	.19177050
1126799	6980	15593	.44763676
1126995	308941	678655	.45522540
1135480	41518	104604	.39690642
1136789	21215	76876	.27596388
1137751	7533	24972	.30165785
1138065	7445	24937	.29855235
1138378	108557	240025	.45227372
1141380	13701	51157	.26782258
1142021	7525	25199	.29862296
1142337	19781	69530	.28449590
1143208	7268	24938	.29144277
114321	5586	16200	.34481481
1143521	7493	24973	.30004404
1143835	7282	24940	.29198075
1144148	7368	24919	.29567799
1144461	7029	24917	.28209656
