Identifier	Size1	Size2	Size3	Size4	Size7	Size12	Size14	Level1	Level2	Level3	Level4	Level7	Level12	Level14
10001334	31705	31746	31524	31495	31473	31494	31462	.82650	.82750	.82150	.82050	.81950	.81950	.81800
10003251	32730	32723	32545	32527	32500	32536	32504	.84900	.84850	.84350	.84300	.84150	.84200	.84100
10005178	31795	31759	31607	31593	31574	31616	31739	.84700	.84550	.84150	.84100	.84000	.84050	.81400
10007054	31833	31580	31538	31498	31536	31508	28355	.81650	.80950	.80850	.80700	.80750	.80600	.83100
10009002	28341	28185	28121	28082	28076	28096	31473	.83050	.82550	.82400	.82200	.82100	.82150	.80350
10010706	31441	31332	31333	31314	31321	31804	31911	.80250	.79950	.79950	.79850	.79800	.81100	.81350
10012663	31639	31608	31572	31603	30781	31081	30593	.80650	.80600	.80400	.80450	.74900	.75600	.74400
1001392	30488	30403	30419	31151	31249	30996	30955	.74150	.73850	.73850	.79950	.80200	.79550	.79400
10014622	30922	30936	32197	32181	31994	31973	31960	.79250	.79250	.83950	.83850	.83350	.83300	.83200
10016568	31999	31974	32168	32274	32025	31997	31963	.83250	.83150	.82050	.82300	.81650	.81600	.81450
10018485	31980	31970	31503	31712	31362	31284	31237	.81450	.81350	.79150	.79650	.78750	.78550	.78350
10020443	31260	32531	32520	32351	32336	32309	32344	.78400	.85150	.85100	.84650	.84600	.84450	.84500
10022432	32314	32569	32559	32387	32368	32345	32379	.84400	.85100	.85050	.84600	.84550	.84400	.84450
10024341	32352	32571	32563	32391	32371	32347	32384	.84350	.85200	.85150	.84650	.84600	.84500	.84550
10026253	32439	32431	32256	32240	32214	32247	32222	.85100	.85050	.84550	.84500	.84400	.84400	.84300
10028163	32581	32573	32399	32386	32360	32395	32363	.85150	.85100	.84650	.84600	.84500	.84500	.84400
10030068	32575	32564	32393	32375	32345	32383	32354	.85200	.85100	.84650	.84600	.84450	.84500	.84400
10031979	32574	32566	32391	32375	32348	32384	32357	.85200	.85150	.84650	.84600	.84500	.84550	.84400
10033890	30535	30664	30358	30315	30271	30274	30227	.78850	.79150	.78350	.78250	.78050	.78050	.77850
1003445	32560	32550	32380	32364	32337	32371	32344	.85150	.85100	.84650	.84600	.84450	.84500	.84400
10035801	32535	32526	32350	32331	32305	32338	32419	.85150	.85100	.84600	.84550	.84400	.84450	.85100
10037711	32410	32239	32220	32194	32228	32556	32543	.85050	.84600	.84550	.84400	.84450	.85150	.85100
10039621	32374	32357	32331	32367	32335	32231	32314	.84650	.84600	.84450	.84500	.84400	.81450	.81600
10041524	32072	32027	31999	32030	32002	32635	32579	.81000	.80900	.80750	.80800	.80650	.95350	.95150
10043434	32516	32556	32574	32591	31516	31684	31353	.94950	.95050	.95050	.95050	.78850	.79200	.78400
10045411	31294	31260	31290	31266	31323	31469	31179	.78250	.78100	.78100	.78000	.79900	.80250	.79500
10047121	31125	31073	31083	31080	31859	31967	31697	.79350	.79150	.79150	.79100	.81100	.81350	.80650
10049119	31665	31631	31661	31899	32008	31736	31705	.80550	.80400	.80450	.81100	.81350	.80650	.80600
10051078	31668	31698	31673	31351	31454	31170	31112	.80400	.80450	.80350	.79650	.79900	.79150	.79000
10053041	31058	31061	31051	25734	25685	25561	25499	.78800	.78750	.78700	.83900	.83700	.83250	.83050
1005379	25483	25483	27994	28032	27850	27844	27827	.82900	.82850	.82250	.82300	.81750	.81750	.81600
10055006	27841	27833	33409	33520	33255	33220	33191	.81600	.81550	.81250	.81500	.80850	.80750	.80600
10056539	33190	33165	28070	28124	27931	27924	27904	.80600	.80500	.82300	.82400	.81800	.81800	.81650
10058240	27918	28717	28767	28559	28552	28525	28546	.81650	.81900	.82000	.81400	.81350	.81200	.81200
10060294	28537	27909	27962	27774	27773	27752	27760	.81150	.82500	.82650	.82050	.82050	.81900	.81900
10061998	27765	28146	28189	27997	27992	27965	27979	.81850	.82550	.82650	.82050	.82050	.81900	.81900
10063750	27978	28145	28188	27997	27991	27964	27979	.81800	.82550	.82650	.82050	.82050	.81900	.81900
10065440	27978	28000	28053	27870	27863	27840	27853	.81850	.82150	.82300	.81750	.81700	.81550	.81550
10067143	27848	27966	28022	27835	27829	27808	27818	.81500	.82150	.82300	.81750	.81700	.81550	.81550
10068846	27815	28090	28131	27949	27951	27919	27923	.81500	.82700	.82750	.82200	.82200	.82050	.82000
10070548	27928	31472	31584	31301	31249	31207	31201	.81950	.79800	.80050	.79350	.79200	.79050	.78950
10072249	31186	28723	28772	28562	28555	28528	28554	.78900	.81850	.82000	.81350	.81350	.81200	.81200
1007345	28545	28713	28763	28559	28549	28523	28543	.81150	.81850	.81950	.81350	.81300	.81150	.81200
10073946	28535	28718	28768	28563	28554	28529	28548	.81100	.81850	.82000	.81350	.81350	.81200	.81200
10075699	28540	28615	28661	28455	28444	28419	28441	.81150	.81850	.81950	.81350	.81300	.81150	.81200
10077452	28432	27673	27708	27519	27522	27491	27505	.81100	.82300	.82400	.81800	.81800	.81650	.81650
10079205	27496	27956	28013	27824	27812	27785	27800	.81550	.82150	.82300	.81700	.81650	.81500	.81500
10080951	27792	28142	28186	28005	28000	27985	27989	.81450	.82200	.82300	.81750	.81750	.81650	.81600
10082631	27987	31742	31856	31606	31570	31538	31567	.81550	.81500	.81800	.81100	.81050	.80850	.80900
10084331	31548	31133	31227	30985	30937	30905	30929	.80800	.81500	.81700	.81050	.80950	.80750	.80800
10086041	28019	28076	27888	27882	27859	27869	27866	.82200	.82300	.81750	.81750	.81600	.81550	.81500
10087987	32795	32889	32610	32537	32486	32496	32494	.80350	.80550	.79850	.79700	.79500	.79500	.79450
10089896	28626	28513	28460	28514	28521	28528	32823	.95550	.95150	.94950	.95100	.95050	.95000	.81400
10091599	32930	32667	32622	32587	32614	32587	30120	.81650	.81000	.80900	.80750	.80750	.80650	.80750
1009315	30235	29998	29969	29944	29971	29947	31194	.81050	.80400	.80300	.80150	.80200	.80100	.81550
10093638	31286	31048	30997	30964	30992	32027	32179	.81750	.81100	.81000	.80800	.80850	.80250	.80600
10095652	31881	31819	31777	31800	31954	32075	31808	.79850	.79650	.79500	.79500	.81050	.81300	.80600
10097516	31756	31723	31746	31730	33544	33685	33415	.80500	.80350	.80350	.80250	.81050	.81400	.80700
10099427	33333	33279	33280	33274	32462	32595	32316	.80500	.80300	.80300	.80200	.80850	.81150	.80450
10101421	32271	32234	32257	29328	29405	29170	29122	.80300	.80150	.80200	.79750	.79950	.79300	.79150
10103391	29079	29101	31003	31082	30857	30823	30787	.78950	.79000	.81500	.81700	.81100	.81000	.80850
10105459	30813	30797	30742	30832	30602	30579	30556	.80850	.80750	.81200	.81450	.80800	.80750	.80600
10107465	30569	30558	30267	30375	30157	30130	30107	.80600	.80500	.81100	.81350	.80750	.80650	.80550
1010812	30122	30794	30908	30662	30640	30614	30640	.80550	.81300	.81550	.80900	.80850	.80700	.80700
10109302	31155	31267	31026	30992	30960	30981	30666	.81150	.81450	.80800	.80700	.80550	.80550	.81100
10111193	30759	30536	30505	30483	30495	30481	32327	.81350	.80750	.80650	.80500	.80500	.80400	.80900
10113058	32427	32148	32091	32050	32081	32046	30841	.81150	.80450	.80300	.80100	.80150	.80000	.81200
10114951	30934	30708	30674	30655	30670	31029	31142	.81450	.80800	.80700	.80600	.80600	.81450	.81700
10116869	30897	30868	30846	30864	32230	32192	32060	.81050	.80950	.80850	.80850	.85600	.85500	.85100
101175	32052	32051	32037	32052	30364	30384	30107	.85100	.85050	.84950	.84950	.80750	.80800	.80050
10118758	30096	30029	30041	30017	31186	31295	31066	.80000	.79750	.79750	.79650	.81250	.81500	.80900
10120655	31024	30997	31008	30995	31906	31877	31690	.80750	.80650	.80600	.80550	.84000	.83900	.83400
10122559	31679	31662	31700	31811	31909	31652	31613	.83350	.83250	.83300	.81350	.81550	.80900	.80800
10124440	31571	31610	31757	31857	31602	31556	31520	.80600	.80650	.81350	.81550	.80900	.80800	.80600
10126318	31553	31527	31820	31934	31665	31617	31575	.80650	.80550	.80950	.81200	.80500	.80350	.80200
1012712	31610	31580	31707	31817	31551	31502	31459	.80250	.80100	.80950	.81200	.80500	.80350	.80200
10128236	31495	31467	31777	31879	31613	31572	31525	.80250	.80100	.81300	.81500	.80800	.80700	.80500
10130190	31564	31534	31811	31911	31655	31607	31566	.80600	.80450	.81350	.81600	.80900	.80800	.80600
10132141	31605	31577	31685	31780	31527	31481	31438	.80700	.80550	.81350	.81550	.80900	.80750	.80600
10134105	31481	31447	32606	32737	32453	32399	32369	.80650	.80500	.80900	.81200	.80500	.80350	.80200
10136062	32386	32368	28639	28576	28550	28588	28615	.80200	.80100	.95500	.95250	.95150	.95300	.95300
10138015	28619	28613	32210	32271	32011	31961	31914	.95250	.95150	.80950	.81100	.80450	.80300	.80100
10139968	31940	32244	32239	32059	32046	32029	32060	.80150	.83800	.83750	.83250	.83200	.83100	.83150
10141915	32043	32132	31893	31847	31819	31846	31827	.81450	.81650	.81050	.80900	.80750	.80800	.80700
10143929	30770	30876	30644	30620	30594	30611	30595	.81350	.81600	.80950	.80900	.80750	.80750	.80700
10145427	21535	21439	21384	21390	21406	21400	32274	.88800	.88350	.88100	.88100	.88050	.88000	.81400
1014610	32380	32107	32065	32023	32055	31637	31637	.81650	.80950	.80800	.80650	.80700	.80200	.80150
10147415	31504	31498	31493	31507	28844	28882	28675	.79800	.79800	.79700	.79700	.82600	.82650	.82050
10149380	28668	28639	28653	28649	28828	28867	28661	.82050	.81850	.81850	.81800	.82600	.82650	.82050
10151270	28652	28622	28637	28633	28846	28883	28670	.82050	.81850	.81850	.81800	.82600	.82700	.82050
10152482	28661	28630	28647	28642	28842	28880	28675	.82050	.81850	.81900	.81800	.82600	.82650	.82050
10154463	28665	28636	28651	28649	28835	28873	28667	.82050	.81850	.81850	.81800	.82600	.82650	.82050
10156434	28661	28628	28645	28640	28843	28883	28671	.82050	.81850	.81900	.81800	.82600	.82650	.82050
10158179	28667	28640	28651	28649	30780	30863	30595	.82050	.81900	.81850	.81800	.79850	.80050	.79350
10159923	30535	30482	30493	28853	28894	28683	28678	.79150	.78950	.78950	.82600	.82650	.82050	.82050
10161667	28653	28662	28661	28844	28882	28676	28668	.81850	.81850	.81800	.82600	.82700	.82100	.82050
10163412	28637	28653	28648	28849	28886	28681	28672	.81900	.81900	.81800	.82600	.82650	.82050	.82050
10165156	28640	28655	28653	28818	28857	28650	28642	.81850	.81850	.81800	.82600	.82650	.82050	.82050
1016533	28611	28627	28843	28883	28675	28665	28636	.81850	.81850	.82600	.82700	.82050	.82050	.81900
10166901	28652	28720	28766	28560	28553	28519	28530	.81900	.82500	.82600	.82000	.82000	.81800	.81800
10168647	28532	28848	28887	28679	28671	28638	28656	.81750	.82600	.82650	.82050	.82000	.81850	.81850
10170391	28652	28844	28883	28675	28666	28635	28653	.81800	.82600	.82700	.82050	.82050	.81850	.81900
10172136	28843	28881	28675	28667	28637	28653	28839	.82600	.82650	.82050	.82050	.81850	.81850	.82600
