Identifier	GC	ATGC	Percentage
10001334	60728	153202	.39639169
10003251	60429	154012	.39236552
10005178	64213	149958	.42820656
10007054	59108	155708	.37960798
10009002	38486	136228	.28251167
10010706	56808	156419	.36317838
10012663	58463	156591	.37334840
1001392	62411	164131	.38025114
10014622	57767	155579	.37130332
10016568	66161	153225	.43178985
10018485	58283	156548	.37230114
10020443	60383	158982	.37981029
10022432	59731	152581	.39147075
10024341	59830	152862	.39139877
10026253	59808	152719	.39162121
10028163	59696	152278	.39201985
10030068	59809	152794	.39143552
10031979	59834	152749	.39171451
10033890	59814	152737	.39161434
1003445	58503	154640	.37831738
10035801	59813	152706	.39168729
10037711	59777	152654	.39158489
10039621	59695	152132	.39238950
10041524	59755	152695	.39133566
10043434	59977	158077	.37941636
10045411	48545	136707	.35510251
10047121	60593	159684	.37945567
10049119	56666	156579	.36190038
10051078	58576	156904	.37332381
10053041	58599	157075	.37306382
1005379	57933	157194	.36854460
10055006	35293	122501	.28810377
10056539	52317	135939	.38485644
10058240	61947	164214	.37723336
10060294	52292	136237	.38383111
10061998	54134	140065	.38649198
10063750	51784	135061	.38341193
10065440	52476	136161	.38539669
10067143	52473	136145	.38541995
10068846	52245	136071	.38395396
10070548	52163	135923	.38376875
10072249	52403	135672	.38624771
1007345	58687	157487	.37264663
10073946	54146	140106	.38646453
10075699	54139	140109	.38640629
10077452	54125	140090	.38635876
10079205	54023	139592	.38700641
10080951	51678	134247	.38494714
10082631	51965	135903	.38236830
10084331	52715	136686	.38566495
10086041	58870	155533	.37850488
10087987	58532	152596	.38357492
10089896	52270	136142	.38393735
10091599	57935	162991	.35544907
1009315	46096	119649	.38526021
10093638	60218	161018	.37398303
10095652	56235	148968	.37749718
10097516	58726	152786	.38436767
10099427	58855	159425	.36917045
10101421	58217	157502	.36962705
10103391	58821	165290	.35586544
10105459	59939	160394	.37369851
10107465	54223	146835	.36927844
1010812	58299	151909	.38377581
10109302	57864	151176	.38275916
10111193	56433	149078	.37854680
10113058	57284	151310	.37858700
10114951	58489	153306	.38151800
10116869	57585	150987	.38139045
101175	58801	159562	.36851505
10118758	57887	151679	.38164149
10120655	57985	152191	.38100150
10122559	51089	150350	.33980046
10124440	60768	150154	.40470450
10126318	56753	153319	.37016286
1012712	64211	151686	.42331526
10128236	59211	156227	.37900618
10130190	59193	155946	.37957369
10132141	59475	157033	.37874204
10134105	59257	156474	.37870189
10136062	59193	156149	.37908023
10138015	59352	156160	.38007172
10139968	59172	155605	.38027055
10141915	58923	160971	.36604730
10143929	43104	119742	.35997394
10145427	59404	158891	.37386636
1014610	66428	153718	.43214197
10147415	59678	157120	.37982433
10149380	56587	151061	.37459701
10151270	25349	96809	.26184548
10152482	60354	158384	.38106121
10154463	57173	157583	.36281197
10156434	54266	139475	.38907331
10158179	54242	139396	.38912163
10159923	54250	139424	.38910087
10161667	54289	139459	.38928287
10163412	54251	139419	.38912199
10165156	54295	139466	.38930635
1016533	57893	153954	.37604089
10166901	54314	139536	.38924721
10168647	54274	139441	.38922555
10170391	54289	139503	.38916008
10172136	54232	139344	.38919508
10173879	54264	139452	.38912313
10175624	54031	139008	.38868985
10177363	54276	139512	.38904180
10179108	54268	139456	.38914066
10180853	54271	139459	.38915380
10182598	54269	139432	.38921481
10184342	54270	139433	.38921919
1018459	40788	103050	.39580786
10186086	54300	139524	.38918035
10187832	54257	139419	.38916503
10189576	54275	139440	.38923551
10191320	54250	139419	.38911482
10193064	54285	139483	.38918721
10194809	54275	139481	.38912109
10196554	54254	139440	.38908491
1019749	89488	254080	.35220403
