Identifier	Size1	Size2	Size3	Size4	Size7	Size12	Size14	Level1	Level2	Level3	Level4	Level7	Level12	Level14
GCF_000001985.1_JCVI-PMFA1-2.0_genomic.fna	192896	193087	192804	192941	192800	192285	180761	.92400	.92500	.92350	.92400	.92350	.92100	.85750
GCF_000002495.2_MG8_genomic.fna	181373	180605	180549	180391	180029	94412	94376	.86050	.85700	.85650	.85550	.85400	.96550	.96500
GCF_000002515.2_ASM251v1_genomic.fna	94346	94361	94430	94413	94415	110846	110856	.96450	.96450	.96500	.96500	.96450	.94600	.94600
GCF_000002525.2_ASM252v1_genomic.fna	110690	110714	110758	110684	110701	109418	109403	.94450	.94500	.94500	.94450	.94450	.95600	.95600
GCF_000002545.3_ASM254v2_genomic.fna	109341	109359	109398	109321	139225	139197	139158	.95500	.95550	.95550	.95450	.96800	.96800	.96750
GCF_000002655.1_ASM265v1_genomic.fna	139178	139236	139235	139231	228926	228757	228803	.96750	.96800	.96800	.96750	.95500	.95400	.95450
GCF_000002715.2_ASM271v1_genomic.fna	228878	228891	228782	110650	110543	110547	110575	.95450	.95450	.95400	.96050	.95950	.95950	.96000
GCF_000002855.3_ASM285v2_genomic.fna	110623	110613	94398	94376	94367	94377	94442	.96000	.95950	.97300	.97250	.97250	.97250	.97300
GCF_000002945.1_ASM294v2_genomic.fna	94442	234376	234735	234233	234245	234142	233703	.97250	.95750	.95900	.95650	.95700	.95600	.95450
GCF_000003125.1_JCVI-TSTA1-3.0_genomic.fna	110216	110196	110193	110206	110254	110248	110249	.96800	.96750	.96750	.96750	.96750	.96750	.96750
GCF_000003515.1_ASM351v2_genomic.fna	62051	62027	62015	62034	62084	62074	114141	.96950	.96900	.96850	.96900	.96900	.96900	.92000
GCF_000003835.1_ASM383v1_genomic.fna	114133	114077	114086	114097	113993	116514	116489	.92000	.91950	.91950	.91900	.91800	.97300	.97250
GCF_000003855.2_BD_SLH14081_V1_genomic.fna	116454	116478	116546	116520	47323	47262	47243	.97250	.97250	.97300	.97250	.94700	.94550	.94500
