Identifier	Size1	Size2	Size3	Size4	Size7	Level1	Level2	Level3	Level4	Level7
10001334	67410	66905	67346	66964	67373	0.817673	0.811547	0.816896	0.812263	0.817224
10003251	68359	68000	68452	68060	68481	0.834527	0.830144	0.835662	0.830876	0.836016
10005178	69506	69135	69617	69201	69647	0.823244	0.81885	0.824559	0.819631	0.824914
10007054	65217	64788	65214	64844	65240	0.803744	0.798457	0.803707	0.799147	0.804028
10009002	41619	41446	41638	41464	41659	0.85152	0.84798	0.851908	0.848348	0.852338
10010706	61260	61069	61482	61129	61508	0.793008	0.790536	0.795882	0.791312	0.796219
10012663	62037	61635	62057	61695	62082	0.797905	0.792734	0.798162	0.793506	0.798484
1001392	63098	62476	62946	62548	62967	0.748673	0.741293	0.74687	0.742147	0.747119
10014622	61178	60716	61122	60783	61148	0.78922	0.78326	0.788498	0.784125	0.788833
10016568	70965	70577	71053	70642	71083	0.823087	0.818586	0.824107	0.81934	0.824455
10018485	63822	63419	63803	63477	63829	0.809956	0.804842	0.809715	0.805578	0.810045
10020443	62553	62108	62554	62172	62577	0.775674	0.770156	0.775687	0.77095	0.775972
10022432	67545	67192	67636	67249	67664	0.837599	0.833221	0.838727	0.833928	0.839074
10024341	67757	67406	67842	67464	67871	0.837154	0.832818	0.838205	0.833534	0.838563
10026253	67873	67528	67971	67585	67999	0.838039	0.83378	0.839249	0.834483	0.839595
10028163	67802	67458	67900	67518	67929	0.837073	0.832826	0.838283	0.833567	0.838641
10030068	67628	67276	67714	67335	67743	0.837652	0.833292	0.838717	0.834022	0.839076
10031979	67570	67225	67665	67282	67694	0.837241	0.832967	0.838418	0.833673	0.838778
10033890	67614	67263	67702	67321	67731	0.837568	0.83322	0.838658	0.833938	0.839017
1003445	62593	62001	62365	62071	62389	0.785916	0.778482	0.783053	0.779361	0.783354
10035801	67577	67230	67672	67290	67701	0.83762	0.833319	0.838797	0.834062	0.839157
10037711	67602	67259	67712	67317	67740	0.837324	0.833076	0.838686	0.833794	0.839033
10039621	67689	67340	67784	67399	67813	0.837136	0.832819	0.83831	0.833549	0.838669
10041524	67735	67382	67819	67440	67848	0.837693	0.833328	0.838732	0.834045	0.839091
10043434	64627	64116	64548	64176	64575	0.802225	0.795882	0.801245	0.796627	0.80158
10045411	58637	58546	58815	58578	58841	0.951926	0.950449	0.954816	0.950968	0.955238
10047121	64464	63900	64353	63960	64379	0.781298	0.774462	0.779953	0.77519	0.780268
10049119	61055	60505	60899	60557	60921	0.789251	0.782141	0.787234	0.782813	0.787518
10051078	62314	61918	62342	61978	62367	0.797555	0.792487	0.797914	0.793255	0.798233
10053041	62341	61859	62281	61915	62306	0.798895	0.792718	0.798126	0.793436	0.798446
1005379	63385	62803	63162	62861	63186	0.789423	0.782175	0.786646	0.782897	0.786945
10055006	40308	40154	40334	40171	40354	0.856369	0.853097	0.856921	0.853458	0.857346
10056539	55965	55719	56090	55773	56117	0.809393	0.805836	0.811201	0.806617	0.811592
10058240	67248	66724	67078	66792	67101	0.797934	0.791717	0.795917	0.792524	0.79619
10060294	55616	55367	55737	55419	55764	0.80856	0.80494	0.810319	0.805696	0.810711
10061998	59431	59123	59516	59181	59544	0.808255	0.804066	0.809411	0.804855	0.809791
10063750	55288	55027	55400	55084	55427	0.810251	0.806426	0.811892	0.807261	0.812288
10065440	56405	56148	56532	56204	56559	0.812311	0.80861	0.81414	0.809416	0.814529
10067143	56468	56211	56589	56265	56616	0.812352	0.808655	0.814093	0.809432	0.814481
10068846	55402	55139	55505	55192	55533	0.806475	0.802646	0.807974	0.803418	0.808382
10070548	55247	54985	55349	55036	55376	0.806483	0.802658	0.807972	0.803403	0.808366
10072249	56183	55918	56291	55972	56319	0.813754	0.809916	0.815319	0.810698	0.815724
1007345	63934	63374	63746	63431	63771	0.794209	0.787252	0.791873	0.78796	0.792184
10073946	59403	59102	59489	59159	59518	0.80826	0.804164	0.80943	0.80494	0.809825
10075699	59305	59000	59388	59057	59416	0.80733	0.803178	0.80846	0.803954	0.808841
10077452	59353	59048	59433	59104	59461	0.808162	0.804009	0.809251	0.804771	0.809632
10079205	58905	58608	58997	58665	59025	0.808041	0.803967	0.809303	0.804749	0.809687
10080951	55947	55704	56068	55759	56096	0.809481	0.805965	0.811232	0.806761	0.811637
10082631	55141	54793	55150	54841	55177	0.808705	0.803601	0.808837	0.804305	0.809233
10084331	56314	56049	56430	56106	56457	0.807463	0.803664	0.809127	0.804481	0.809514
10086041	62771	62324	62742	62380	62767	0.800598	0.794896	0.800228	0.795611	0.800547
10087987	63275	62805	63232	62864	63259	0.801618	0.795664	0.801074	0.796411	0.801416
10089896	55589	55325	55695	55378	55722	0.807343	0.803509	0.808882	0.804279	0.809275
10091599	63864	63334	63704	63379	63727	0.798597	0.791969	0.796596	0.792532	0.796884
1009315	58326	58280	58572	58313	58599	0.949868	0.949119	0.953874	0.949656	0.954314
10093638	65126	64606	65049	64666	65077	0.801609	0.795208	0.800661	0.795947	0.801005
10095652	58452	58067	58470	58124	58494	0.792321	0.787102	0.792565	0.787875	0.79289
10097516	63517	63050	63487	63108	63513	0.802504	0.796603	0.802125	0.797336	0.802453
10099427	62641	62214	62647	62275	62672	0.789652	0.784269	0.789727	0.785038	0.790043
10101421	62229	61826	62251	61885	62276	0.795774	0.79062	0.796055	0.791375	0.796375
10103391	64031	63517	63900	63567	63925	0.805791	0.799323	0.804143	0.799952	0.804457
10105459	64559	64018	64444	64073	64470	0.798084	0.791397	0.796663	0.792076	0.796984
10107465	58380	57924	58303	57975	58326	0.788573	0.782413	0.787533	0.783102	0.787844
1010812	62890	62446	62889	62505	62914	0.800367	0.794717	0.800354	0.795468	0.800673
10109302	60665	60305	60723	60366	60747	0.796401	0.791675	0.797162	0.792475	0.797477
10111193	58102	57761	58168	57821	58191	0.793509	0.788852	0.794411	0.789672	0.794725
10113058	60767	60364	60779	60425	60803	0.79834	0.793045	0.798497	0.793847	0.798813
