Identifier	Size1	Size2	Size3	Size4	Size7	Size12	Size14	Level1	Level2	Level3	Level4	Level7	Level12	Level14
GCF_000002415.2_ASM241v2_genomic.fna	348458	348021	348017	347937	347997	347918	396358	.95850	.95750	.95750	.95700	.95700	.95700	.91600
GCF_000002435.2_UU_WB_2.1_genomic.fna	399261	396365	395367	394756	394166	162772	163368	.92250	.91600	.91350	.91200	.91050	.88150	.88450
GCF_000002445.2_ASM244v1_genomic.fna	162609	162743	162335	161482	8489	8479	8497	.88050	.88150	.87900	.87400	.80000	.79800	.79900
GCF_000002455.1_ASM245v1_genomic.fna	8553	8554	8482	8520	237113	237369	236540	.80400	.80150	.79350	.79550	.89650	.89700	.89400
GCF_000002725.2_ASM272v2_genomic.fna	236397	236278	235998	77785	77592	77517	77486	.89350	.89300	.89200	.86950	.86700	.86600	.86600
GCF_000002765.5_GCA_000002765_genomic.fna	77522	77434	77465	107861	107249	107564	108251	.86600	.86500	.86500	.72950	.72550	.72750	.73200
GCF_000002825.2_ASM282v1_genomic.fna	105995	103053	103618	335977	336850	335591	335265	.71650	.69650	.70050	.92150	.92400	.92050	.91950
GCF_000002845.2_ASM284v2_genomic.fna	335045	334661	208617	208798	208272	208203	208113	.91900	.91800	.90850	.90950	.90700	.90650	.90600
GCF_000002875.2_ASM287v2_genomic.fna	207867	13275	13255	13259	13301	13288	13228	.90500	.78600	.78450	.78400	.78650	.78400	.77950
GCF_000002975.1_ASM297v1_genomic.fna	13243	280904	281041	280717	280607	280599	280499	.77950	.92850	.92900	.92800	.92750	.92750	.92700
GCF_000003225.4_ASM322v1_genomic.fna	69788	69623	69543	69592	69445	69209	69300	.85500	.85300	.85200	.85250	.85050	.84750	.84800
GCF_000004695.1_dicty_2.7_genomic.fna	129758	129601	129521	129543	129601	129522	71266	.91550	.91400	.91350	.91350	.91400	.91350	.95750
GCF_000004825.1_PolPal_Dec2009_genomic.fna	71230	71218	71244	71294	71283	71287	216421	.95700	.95650	.95700	.95750	.95700	.95700	.94200
GCF_000004985.1_V1.0_genomic.fna	216091	216078	216006	216022	215917	183636	184018	.94050	.94050	.94000	.94000	.93950	.94900	.95100
GCF_000006355.2_GCA_000006355.2_genomic.fna	183550	183621	183613	183306	122209	122192	122129	.94850	.94900	.94900	.94700	.93700	.93700	.93650
