Identifier	Size1	Size2	Size3	Size4	Size7	Level1	Level2	Level3	Level4	Level7
GCF_000005825.2_ASM582v2_genomic	1017595	1014269	1011427	1007224	1004302	.95800	.95450	.95200	.94800	.94550
GCF_000005845.2_ASM584v2_genomic	1118613	1104391	1101139	1094335	1090290	.96400	.95150	.94900	.94300	.93950
GCF_000006605.1_ASM660v1_genomic	574930	568914	566581	562655	560903	.92850	.91850	.91500	.90850	.90550
GCF_000006625.1_ASM662v1_genomic	166667	164892	164647	163813	163388	.88650	.87700	.87600	.87150	.86900
GCF_000006645.1_ASM664v1_genomic	1108835	1099008	1095232	1090264	1087126	.94350	.93500	.93150	.92750	.92500
GCF_000006685.1_ASM668v1_genomic	261036	259585	259334	259095	258973	.96600	.96100	.96000	.95900	.95850
GCF_000006725.1_ASM672v1_genomic	642139	644655	636629	629827	625964	.94000	.94400	.93200	.92200	.91650
GCF_000006745.1_ASM674v1_genomic	970201	963349	959756	954886	952240	.96200	.95550	.95150	.94700	.94450
GCF_000006765.1_ASM676v1_genomic	1440467	1404576	1403233	1389055	1375084	.91950	.89700	.89600	.88700	.87800
GCF_000006785.2_ASM678v2_genomic	438666	435959	434921	433553	433047	.94700	.94150	.93900	.93600	.93500
GCF_000006825.1_ASM682v1_genomic	540793	537045	536195	533749	533028	.95800	.95150	.95000	.94550	.94450
GCF_000006845.1_ASM684v1_genomic	490350	481310	477745	471330	468763	.91050	.89350	.88700	.87500	.87050
GCF_000006865.1_ASM686v1_genomic	543068	539848	537820	534353	532472	.91800	.91250	.90950	.90350	.90000
GCF_000006885.1_ASM688v1_genomic	498125	496269	492209	489194	487937	.92200	.91850	.91100	.90550	.90300
GCF_000006905.1_ASM690v1_genomic	925345	904152	902128	893595	886988	.92150	.90050	.89850	.89000	.88300
GCF_000006925.2_ASM692v2_genomic	1081296	1072468	1063631	1055609	1051010	.89550	.88850	.88100	.87450	.87050
GCF_000006945.2_ASM694v2_genomic	1198214	1182039	1178209	1170642	1166149	.96800	.95500	.95200	.94550	.94200
GCF_000006965.1_ASM696v1_genomic	1566447	1551333	1545085	1534174	1522056	.93650	.92750	.92350	.91700	.91000
GCF_000006985.1_ASM698v1_genomic	518362	510504	509103	504663	503602	.96200	.94750	.94500	.93650	.93450
GCF_000007025.1_ASM702v1_genomic	295654	293363	292531	291623	290692	.93200	.92450	.92200	.91900	.91600
GCF_000007045.1_ASM704v1_genomic	479508	477142	473944	471356	470366	.94100	.93600	.93000	.92450	.92250
GCF_000007085.1_ASM708v1_genomic	604111	602996	597814	593091	588795	.89850	.89650	.88900	.88200	.87550
GCF_000007105.1_ASM710v1_genomic	498023	490250	489110	486725	486142	.96850	.95350	.95150	.94650	.94550
GCF_000007125.1_ASM712v1_genomic	788251	776387	775148	769459	767448	.95700	.94250	.94100	.93400	.93150
GCF_000007145.1_ASM714v1_genomic	1165198	1147057	1143954	1133268	1125596	.91800	.90400	.90150	.89300	.88700
GCF_000007165.1_ASM716v1_genomic	1219529	1201038	1198239	1187688	1179090	.92500	.91100	.90850	.90050	.89400
GCF_000007205.1_ASM720v1_genomic	297884	296282	295967	295474	295309	.97200	.96650	.96550	.96400	.96300
GCF_000007245.1_ASM724v1_genomic	591125	592194	585881	581630	579054	.93800	.93950	.92950	.92250	.91850
GCF_000007265.1_ASM726v1_genomic	504932	502290	501292	499732	499261	.93500	.93000	.92800	.92500	.92450
GCF_000007285.1_ASM728v1_genomic	445210	442973	441031	439061	437985	.93950	.93500	.93100	.92650	.92450
GCF_000007365.1_ASM736v1_genomic	143545	142297	142297	141992	141946	.89500	.88700	.88700	.88500	.88450
GCF_000007405.1_ASM740v1_genomic	1048840	1037218	1031997	1025872	1022462	.91200	.90200	.89750	.89200	.88900
GCF_000007425.1_ASM742v1_genomic	448064	446040	444196	442097	441107	.94300	.93850	.93500	.93050	.92800
GCF_000007445.1_ASM744v1_genomic	1254079	1242357	1234786	1223571	1215752	.95900	.95000	.94400	.93550	.92950
GCF_000007465.2_ASM746v2_genomic	479098	475803	474842	473150	472665	.94250	.93600	.93400	.93100	.93000
GCF_000007485.1_ASM748v1_genomic	219440	218693	217554	217263	216879	.94650	.94300	.93800	.93700	.93500
GCF_000007505.1_ASM750v1_genomic	792578	780805	779345	773379	771289	.95600	.94200	.94050	.93300	.93050
GCF_000007525.1_ASM752v1_genomic	537561	530305	528472	524023	521649	.95100	.93850	.93500	.92750	.92300
GCF_000007545.1_ASM754v1_genomic	1158961	1142829	1139906	1133279	1128456	.96750	.95400	.95150	.94600	.94200
GCF_000007565.2_ASM756v2_genomic	1450786	1426406	1422782	1411070	1399645	.93850	.92300	.92050	.91300	.90550
GCF_000007585.1_ASM758v1_genomic	547199	542629	538523	535658	534181	.93400	.92600	.91900	.91400	.91150
GCF_000007605.1_ASM760v1_genomic	286690	284716	284464	283861	283732	.97050	.96400	.96300	.96100	.96050
GCF_000007625.1_ASM762v1_genomic	640977	636832	635806	632517	629108	.89200	.88650	.88500	.88050	.87550
GCF_000007645.1_ASM764v1_genomic	590669	588548	586345	583759	581884	.92100	.91800	.91450	.91050	.90750
GCF_000007665.1_ASM766v1_genomic	581573	575528	573414	568647	566761	.90000	.89100	.88750	.88000	.87700
GCF_000007685.1_ASM768v1_genomic	1056126	1051305	1046469	1039952	1032564	.91300	.90850	.90450	.89900	.89250
GCF_000007705.1_ASM770v1_genomic	1086742	1061559	1060705	1048228	1039001	.91500	.89350	.89300	.88250	.87450
GCF_000007725.1_ASM772v1_genomic	138728	137821	137792	137620	137623	.89700	.89100	.89100	.89000	.88950
GCF_000007745.1_ASM774v1_genomic	548267	542729	541410	538845	537700	.94750	.93800	.93550	.93150	.92950
GCF_000007765.2_ASM776v2_genomic	483503	482022	480898	480164	479520	.95150	.94850	.94600	.94450	.94350
GCF_000007785.1_ASM778v1_genomic	789744	787322	783408	777628	772234	.94000	.93700	.93250	.92550	.91900
GCF_000007805.1_ASM780v1_genomic	1515792	1500398	1493426	1479780	1466073	.92750	.91800	.91350	.90550	.89700
GCF_000007825.1_ASM782v1_genomic	1273302	1265812	1263544	1257396	1249561	.93850	.93300	.93100	.92650	.92100
GCF_000007845.1_ASM784v1_genomic	1233955	1225184	1224283	1219062	1213708	.94400	.93750	.93700	.93300	.92850
GCF_000007865.1_ASM786v1_genomic	1095223	1072219	1070346	1059605	1051060	.90700	.88800	.88650	.87750	.87050
GCF_000007885.1_ASM788v1_genomic	1134580	1125271	1120991	1115346	1111667	.94500	.93700	.93350	.92900	.92550
GCF_000007905.1_ASM790v1_genomic	424786	415683	415110	412142	411590	.94450	.92400	.92300	.91600	.91500
GCF_000007925.1_ASM792v1_genomic	418192	416523	416340	415204	414980	.95500	.95150	.95100	.94850	.94750
GCF_000007945.1_ASM794v1_genomic	396173	393699	392046	390006	389278	.93250	.92700	.92300	.91800	.91650
GCF_000007985.2_ASM798v2_genomic	913372	900755	899098	892213	888903	.95800	.94450	.94300	.93550	.93200
GCF_000008005.1_ASM800v1_genomic	1276100	1268932	1266200	1259684	1253350	.93950	.93450	.93250	.92750	.92300
GCF_000008025.1_ASM802v1_genomic	279341	280015	277075	275458	273529	.88100	.88350	.87400	.86900	.86250
GCF_000008045.1_ASM804v1_genomic	257133	255655	255615	255181	255093	.92500	.92000	.91950	.91800	.91750
GCF_000008065.1_ASM806v1_genomic	463749	460925	459567	457217	455585	.93100	.92500	.92250	.91750	.91450
GCF_000008105.1_ASM810v1_genomic	1189696	1174256	1170411	1163269	1159260	.96250	.95000	.94700	.94100	.93800
GCF_000008125.1_ASM812v1_genomic	469134	453003	451412	444823	440935	.88200	.85150	.84850	.83600	.82900
GCF_000008145.1_ASM814v1_genomic	785826	774201	772696	766726	764641	.95650	.94200	.94050	.93300	.93050
GCF_000008165.1_ASM816v1_genomic	1234172	1225409	1224458	1219232	1213881	.94400	.93750	.93650	.93250	.92850
GCF_000008185.1_ASM818v1_genomic	671631	663780	660849	656637	653032	.94500	.93400	.92950	.92350	.91850
GCF_000008205.1_ASM820v1_genomic	198049	197326	196231	194828	193363	.88250	.87950	.87450	.86800	.86150
GCF_000008225.1_ASM822v1_genomic	201889	201209	200003	198647	197266	.87750	.87450	.86900	.86350	.85700
GCF_000008245.1_ASM824v1_genomic	169591	168882	167074	165582	164380	.84850	.84450	.83550	.82800	.82200
GCF_000008285.1_ASM828v1_genomic	692674	687838	686732	683917	682730	.95350	.94700	.94550	.94150	.94000
GCF_000008305.1_ASM830v1_genomic	176945	175297	174988	174016	173709	.89200	.88350	.88200	.87700	.87550
GCF_000008325.1_ASM832v1_genomic	779443	767790	766242	760660	758450	.94350	.92950	.92750	.92050	.91800
GCF_000008345.1_ASM834v1_genomic	620505	614719	613956	612113	611591	.96950	.96050	.95900	.95600	.95550
GCF_000008365.1_ASM836v1_genomic	168152	167072	166530	165494	164576	.86550	.85950	.85700	.85150	.84650
GCF_000008385.1_ASM838v1_genomic	250711	250558	249708	249266	248937	.92850	.92750	.92450	.92300	.92150
GCF_000008405.1_ASM840v1_genomic	199653	198544	197778	196596	195398	.89450	.88950	.88600	.88050	.87500
GCF_000008425.1_ASM842v1_genomic	1015452	1003860	1003098	1000799	999713	.96200	.95100	.95000	.94800	.94700
GCF_000008445.1_ASM844v1_genomic	1298886	1290152	1289042	1283517	1277237	.94400	.93750	.93700	.93300	.92800
GCF_000008465.1_ASM846v1_genomic	691703	684095	682943	681051	680469	.97450	.96350	.96200	.95950	.95850
GCF_000008485.1_ASM848v1_genomic	814020	811318	809676	807589	805688	.95800	.95500	.95300	.95050	.94850
GCF_000008505.1_ASM850v1_genomic	1242972	1235298	1233092	1227409	1221296	.93550	.92950	.92800	.92350	.91900
GCF_000008525.1_ASM852v1_genomic	386471	379156	377277	373595	371752	.92700	.90900	.90450	.89600	.89150
GCF_000008545.1_ASM854v1_genomic	447492	441606	440626	438910	438179	.96200	.94900	.94700	.94350	.94200
GCF_000008565.1_ASM856v1_genomic	754470	740770	739776	727635	723131	.91900	.90200	.90100	.88600	.88050
