Identifier	DNA_Length	AA_Length
GCF_000002415.2_ASM241v2_genomic	3629259	6879999
GCF_000002435.2_UU_WB_2.1_genomic	5865184	7518522
GCF_000002445.2_ASM244v1_genomic	2087323	3485214
GCF_000002455.1_ASM245v1_genomic	441931	308224
GCF_000002725.2_ASM272v2_genomic	1483306	3518049
GCF_000002765.5_GCA_000002765_genomic	1027788	4140993
GCF_000002825.2_ASM282v1_genomic	612173	3937956
GCF_000002845.2_ASM284v2_genomic	2379095	5102914
GCF_000002875.2_ASM287v2_genomic	1288168	3060267
GCF_000002975.1_ASM297v1_genomic	672788	502493
GCF_000003225.4_ASM322v1_genomic	6468090	8971762
GCF_000004695.1_dicty_2.7_genomic	1184271	3571139
GCF_000004825.1_PolPal_Dec2009_genomic	2094216	4141667
GCF_000004985.1_V1.0_genomic	1476043	2191093
GCF_000006355.2_GCA_000006355.2_genomic	2611563	5214623
GCF_000006405.1_JCVI_PMG_1.0_genomic	2471497	3673571
GCF_000006425.1_ASM642v1_genomic	2916312	4139398
GCF_000006515.1_JCVI_cmg_v1.0_genomic	785374	1108044
GCF_000006565.2_TGA4_genomic	3995960	7568762
GCF_000018645.1_ASM1864v1_genomic	632425	512215
GCF_000141845.1_ASM14184v1_genomic	984602	522749
GCF_000142905.1_TheTra_May2010_genomic	910594	2103461
GCF_000142945.1_ASM14294v1_genomic	553542	2326216
GCF_000149405.2_ASM14940v2_genomic	2588522	3934078
GCF_000149755.1_P.sojae_V3.0_genomic	2313854	3710516
GCF_000150955.2_ASM15095v2_genomic	4576782	6653512
GCF_000151545.1_ASM15154v2_genomic	1003386	2110303
GCF_000151665.1_ASM15166v1_genomic	11399855	18333934
GCF_000165345.1_ASM16534v1_genomic	846157	1204933
GCF_000165365.1_ASM16536v1_genomic	949410	1234450
GCF_000165395.1_ASM16539v1_genomic	2849907	3436834
GCF_000165425.1_ASM16542v1_genomic	1826907	3011045
GCF_000186865.1_v_1.0_genomic	1859518	8262742
GCF_000189635.1_JCVI-TTA1-2.2_genomic	1881771	6176497
GCF_000190715.1_v1.0_genomic	2794489	7152643
GCF_000194455.1_ASM19445v1_genomic	564780	458041
GCF_000203815.1_DFas_2.0_genomic	775826	1464182
GCF_000208865.1_ASM20886v2_genomic	4128768	8217891
GCF_000208925.1_JCVI_ESG2_1.0_genomic	1240888	3697838
GCF_000209065.1_ASM20906v1_genomic	1209742	4016225
GCF_000209125.1_JCVI_EDISG_1.0_genomic	799583	10019286
GCF_000210295.1_ASM21029v1_genomic	1479225	2657774
GCF_000220395.1_JCVI-IMG1-V.1_genomic	2738060	12192494
GCF_000223845.1_GNI3_genomic	1119234	1719485
GCF_000227135.1_ASM22713v2_genomic	8528368	18962870
GCF_000234665.1_ASM23466v4_genomic	3063500	6824681
GCF_000240725.1_ASM24072v1_genomic	1636234	2610929
GCF_000247585.1_PP_INRA-310_V2_genomic	2067604	2988045
GCF_000257125.1_ENU1_v1_genomic	2281860	3943687
GCF_000281045.1_Sap_diclina_VS20_V1_genomic	2122035	4391361
GCF_000313135.1_Acastellanii.strNEFF_v1_genomic	1824314	4077967
GCF_000315625.1_Guith1_genomic	4562613	8578965
GCF_000321355.1_PcynB_1.0_genomic	1754760	3244236
GCF_000330505.1_EIA2_v2_genomic	1211673	2456678
GCF_000342415.1_JCVI-bewag-v1.1_genomic	1957531	2233779
GCF_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0_genomic	2621645	7671557
GCF_000499385.1_ENH001_genomic	2719494	6396223
GCF_000499425.1_EAH001_genomic	6758916	22181903
GCF_000499545.2_ETH001_genomic	3771254	9295725
GCF_000499605.1_EMW001_genomic	1842393	6895607
GCF_000499745.2_EMH001_genomic	1056247	3619535
GCF_000520075.1_Apha_asta_APO3_V1_genomic	4827967	8394194
GCF_000520115.1_Apha_inva_NJM9701_V1_genomic	1261044	2203845
GCF_000524495.1_Plas_inui_San_Antonio_1_V1_genomic	2357951	4088374
GCF_000691245.1_Tgr_V1_genomic	4144462	7310445
GCF_000691945.2_ASM69194v2_genomic	1054271	1326455
GCF_000740895.1_ASM74089v1_genomic	3621273	5125281
GCF_000743755.1_ASM74375v1_genomic	1278021	1635465
GCF_000755165.1_ASM75516v1_genomic	24521784	49283525
GCF_000787575.1_Asub_2.0_genomic	615357	1026127
GCF_000956335.1_Plas_frag_nilgiri_V1_genomic	4249276	7771502
GCF_000981445.1_Bbig001_genomic	6350895	8856027
GCF_001293395.1_ASM129339v1_genomic	2663788	5382321
GCF_001601855.1_ASM160185v1_genomic	3325226	13268622
GCF_001602025.1_ASM160202v1_genomic	575741	2308719
GCF_001680005.1_ASM168000v1_genomic	996719	2006908
GCF_001865345.1_ASM186534v1_genomic	1394093	1886165
GCF_002087225.1_Tth_v3_genomic	3088203	6210891
GCF_002095265.1_B_xinjiang1.0_genomic	2920725	3436111
GCF_002157705.1_Pgonderi_assembly01_genomic	1610351	3522642
GCF_002563875.1_Bbes1.0_genomic	818142	1618358
GCF_002897235.1_Bovata_7.1_genomic	2028702	2802219
GCF_002999335.1_CcayRef3_genomic	3378595	5980879
GCF_003719475.1_ASM371947v1_genomic	3258526	5691251
GCF_003719485.1_ASM371948v1_genomic	1773918	3718149
GCF_900000015.1_Plasmopara_halstedii_genome_genomic	10164012	15495995
GCF_900002335.2_PCHAS01_genomic	6941922	20479041
GCF_900002375.2_GCA_900002375_genomic	2167892	6859276
GCF_900002385.2_GCA_900002385_genomic	3535174	11556964
GCF_900005765.1_PRELSG_genomic	794732	3142990
GCF_900005855.1_PGAL8A_genomic	9311687	35439724
GCF_900090045.1_PmUG01_genomic	7931168	22357239
GCF_900097015.1_PADLG01_genomic	1022971	4151585
GCF_900681995.1_PVVCY_v1_genomic	798171	2386023
