Identifier	DNA_Length	AA_Length
GCF_000001735.4_TAIR10.1_genomic	1733915	2419810
GCF_000002425.4_Phypa_V3_genomic	700972	2343695
GCF_000002595.1_v3.0_genomic	4057129	11572602
GCF_000002775.4_Pop_tri_v3_genomic	1533873	2699992
GCF_000003195.3_Sorghum_bicolor_NCBIv3_genomic	17310114	30842693
GCF_000003745.3_12X_genomic	5557841	9527324
GCF_000004075.3_Cucumber_9930_V3_genomic	1658587	2767003
GCF_000004255.2_v.1.0_genomic	5402300	7803545
GCF_000004515.6_Glycine_max_v4.0_genomic	1405412	2318247
GCF_000005505.3_Brachypodium_distachyon_v3.0_genomic	4111780	5957607
GCF_000090985.2_ASM9098v2_genomic	4066030	8358011
GCF_000091205.1_ASM9120v1_genomic	3004349	5092770
GCF_000092065.1_ASM9206v1_genomic	8741280	22500624
GCF_000143415.4_v1.0_genomic	8608465	18141791
GCF_000143455.1_v1.0_genomic	1760305	3373755
GCF_000147415.1_v_1.0_genomic	3339286	10258541
GCF_000150535.2_Papaya1.0_genomic	1624835	3776715
GCF_000151265.2_Micromonas_pusilla_CCMP1545_v2.0_genomic	11435912	39647671
GCF_000151685.1_JCVI_RCG_1.1_genomic	1397347	14093866
GCF_000184155.1_FraVesHawaii_1.0_genomic	24434349	21895019
GCF_000188115.4_SL3.0_genomic	2249486	3639972
GCF_000208745.1_Criollo_cocoa_genome_V2_genomic	1202361	1648560
GCF_000214015.3_version_140606_genomic	5317384	11715270
GCF_000226075.1_SolTub_3.0_genomic	2661462	6032540
GCF_000231095.2_ObraRS2_genomic	4735422	8056233
GCF_000258705.1_Coccomyxa_subellipsoidae_v2.0_genomic	4377591	7508865
GCF_000263155.2_Setaria_italica_v2.0_genomic	18235541	41677154
GCF_000309985.2_CAAS_Brap_v3.01_genomic	2139815	3433911
GCF_000313045.1_ASM31304v1_genomic	2804269	4202282
GCF_000313855.2_ASM31385v2_genomic	12943384	16874224
GCF_000315295.1_Pbr_v1.0_genomic	15007599	26450109
GCF_000317415.1_Csi_valencia_1.0_genomic	1372951	2459887
GCF_000327365.1_Graimondii2_0_genomic	5342721	3831393
GCF_000331145.1_ASM33114v1_genomic	1911032	3159619
GCF_000340665.1_C.cajan_V1.0_genomic	2218362	4690440
GCF_000341285.1_ASM34128v1_genomic	5425381	6501876
GCF_000346465.2_Prunus_persica_NCBIv2_genomic	2790589	4496700
GCF_000346735.1_P.mume_V1.0_genomic	9843113	15838179
GCF_000350225.1_ASM35022v2_genomic	1671031	3536728
GCF_000365185.1_Chinese_Lotus_1.1_genomic	13940751	26076223
GCF_000375325.1_Caprub1_0_genomic	11974350	18353226
GCF_000390325.2_Ntom_v01_genomic	1360620	4477006
