Identifier	GC	ATGC	Percentage
GCF_000002415.2_ASM241v2_genomic	1799277	3629259	.49576979
GCF_000002435.2_UU_WB_2.1_genomic	2879576	5865184	.49096089
GCF_000002445.2_ASM244v1_genomic	980086	2087323	.46954208
GCF_000002455.1_ASM245v1_genomic	126653	441931	.28658998
GCF_000002725.2_ASM272v2_genomic	900957	1483306	.60739793
GCF_000002765.5_GCA_000002765_genomic	307938	1027788	.29961237
GCF_000002825.2_ASM282v1_genomic	226605	612173	.37016496
GCF_000002845.2_ASM284v2_genomic	1407762	2379095	.59172164
GCF_000002875.2_ASM287v2_genomic	783327	1288168	.60809382
GCF_000002975.1_ASM297v1_genomic	185849	672788	.27623709
GCF_000003225.4_ASM322v1_genomic	2379851	6468090	.36793721
GCF_000004695.1_dicty_2.7_genomic	387863	1184271	.32751203
GCF_000004825.1_PolPal_Dec2009_genomic	810964	2094216	.38723990
GCF_000004985.1_V1.0_genomic	524207	1476043	.35514344
GCF_000006355.2_GCA_000006355.2_genomic	1139150	2611563	.43619472
GCF_000006405.1_JCVI_PMG_1.0_genomic	1198738	2471497	.48502506
GCF_000006425.1_ASM642v1_genomic	1004785	2916312	.34453961
GCF_000006515.1_JCVI_cmg_v1.0_genomic	251932	785374	.32077965
GCF_000006565.2_TGA4_genomic	2120143	3995960	.53057162
GCF_000018645.1_ASM1864v1_genomic	161626	632425	.25556548
GCF_000141845.1_ASM14184v1_genomic	270517	984602	.27474756
GCF_000142905.1_TheTra_May2010_genomic	563170	910594	.61846443
GCF_000142945.1_ASM14294v1_genomic	274049	553542	.49508257
GCF_000149405.2_ASM14940v2_genomic	1216405	2588522	.46992260
GCF_000149755.1_P.sojae_V3.0_genomic	1249093	2313854	.53983224
GCF_000150955.2_ASM15095v2_genomic	2233670	4576782	.48804378
GCF_000151545.1_ASM15154v2_genomic	568969	1003386	.56704897
GCF_000151665.1_ASM15166v1_genomic	5283739	11399855	.46349177
GCF_000165345.1_ASM16534v1_genomic	288146	846157	.34053491
GCF_000165365.1_ASM16536v1_genomic	364787	949410	.38422493
GCF_000165395.1_ASM16539v1_genomic	1205824	2849907	.42310994
GCF_000165425.1_ASM16542v1_genomic	608828	1826907	.33325615
GCF_000186865.1_v_1.0_genomic	1183796	1859518	.63661443
GCF_000189635.1_JCVI-TTA1-2.2_genomic	568273	1881771	.30198839
GCF_000190715.1_v1.0_genomic	941798	2794489	.33701975
GCF_000194455.1_ASM19445v1_genomic	157211	564780	.27835794
GCF_000203815.1_DFas_2.0_genomic	303481	775826	.39117147
GCF_000208865.1_ASM20886v2_genomic	2276265	4128768	.55131821
GCF_000208925.1_JCVI_ESG2_1.0_genomic	367068	1240888	.29581074
GCF_000209065.1_ASM20906v1_genomic	634688	1209742	.52464740
GCF_000209125.1_JCVI_EDISG_1.0_genomic	258260	799583	.32299336
GCF_000210295.1_ASM21029v1_genomic	719875	1479225	.48665686
GCF_000220395.1_JCVI-IMG1-V.1_genomic	767993	2738060	.28048800
GCF_000223845.1_GNI3_genomic	600679	1119234	.53668759
GCF_000227135.1_ASM22713v2_genomic	5071549	8528368	.59466817
GCF_000234665.1_ASM23466v4_genomic	1839971	3063500	.60061073
GCF_000240725.1_ASM24072v1_genomic	856537	1636234	.52348074
GCF_000247585.1_PP_INRA-310_V2_genomic	1027397	2067604	.49690221
GCF_000257125.1_ENU1_v1_genomic	693426	2281860	.30388630
GCF_000281045.1_Sap_diclina_VS20_V1_genomic	1204780	2122035	.56774746
GCF_000313135.1_Acastellanii.strNEFF_v1_genomic	1052589	1824314	.57697797
GCF_000315625.1_Guith1_genomic	2337947	4562613	.51241404
GCF_000321355.1_PcynB_1.0_genomic	837335	1754760	.47717921
GCF_000330505.1_EIA2_v2_genomic	457238	1211673	.37736088
GCF_000342415.1_JCVI-bewag-v1.1_genomic	777547	1957531	.39720801
GCF_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0_genomic	1642739	2621645	.62660619
GCF_000499385.1_ENH001_genomic	1345053	2719494	.49459678
GCF_000499425.1_EAH001_genomic	3340373	6758916	.49421726
GCF_000499545.2_ETH001_genomic	1873921	3771254	.49689599
GCF_000499605.1_EMW001_genomic	875528	1842393	.47521240
GCF_000499745.2_EMH001_genomic	530725	1056247	.50246296
GCF_000520075.1_Apha_asta_APO3_V1_genomic	2546130	4827967	.52737104
GCF_000520115.1_Apha_inva_NJM9701_V1_genomic	677583	1261044	.53731907
GCF_000524495.1_Plas_inui_San_Antonio_1_V1_genomic	1039183	2357951	.44071441
GCF_000691245.1_Tgr_V1_genomic	2214601	4144462	.53435186
GCF_000691945.2_ASM69194v2_genomic	411229	1054271	.39006005
GCF_000740895.1_ASM74089v1_genomic	1622403	3621273	.44802007
GCF_000743755.1_ASM74375v1_genomic	519874	1278021	.40678048
GCF_000755165.1_ASM75516v1_genomic	13977519	24521784	.57000416
GCF_000787575.1_Asub_2.0_genomic	275378	615357	.44750933
GCF_000956335.1_Plas_frag_nilgiri_V1_genomic	1911911	4249276	.44993806
GCF_000981445.1_Bbig001_genomic	3264100	6350895	.51395905
GCF_001293395.1_ASM129339v1_genomic	1469188	2663788	.55154088
GCF_001601855.1_ASM160185v1_genomic	977253	3325226	.29389070
GCF_001602025.1_ASM160202v1_genomic	167565	575741	.29104232
GCF_001680005.1_ASM168000v1_genomic	437105	996719	.43854386
