Identifier	DNA_Length	AA_Length
GCF_000001985.1_JCVI-PMFA1-2.0_genomic	2995833	4091335
GCF_000002495.2_MG8_genomic	2036877	3585726
GCF_000002515.2_ASM251v1_genomic	1979431	2311433
GCF_000002525.2_ASM252v1_genomic	1436039	2176751
GCF_000002545.3_ASM254v2_genomic	2096496	2551416
GCF_000002655.1_ASM265v1_genomic	1917891	2610764
GCF_000002715.2_ASM271v1_genomic	2873219	4431975
GCF_000002855.3_ASM285v2_genomic	1409878	2048542
GCF_000002945.1_ASM294v2_genomic	1922635	2450359
GCF_000003125.1_JCVI-TSTA1-3.0_genomic	3541536	4883612
GCF_000003515.1_ASM351v2_genomic	1533759	2110745
GCF_000003835.1_ASM383v1_genomic	926159	1276842
GCF_000003855.2_BD_SLH14081_V1_genomic	1226741	3485563
GCF_000004155.1_SCY4_genomic	2326951	2963421
GCF_000006335.3_ASM633v3_genomic	946831	1376404
GCF_000006445.2_ASM644v2_genomic	2477295	2962336
GCF_000026365.1_ASM2636v1_genomic	1743813	2052703
GCF_000026945.1_ASM2694v1_genomic	1411352	2127308
GCF_000027005.1_ASM2700v1_genomic	2584515	2993985
GCF_000091025.4_ASM9102v4_genomic	2149974	2962796
GCF_000091045.1_ASM9104v1_genomic	1532842	2176456
GCF_000091225.1_ASM9122v1_genomic	2292983	3418113
GCF_000142805.1_ASM14280v1_genomic	1892555	2559285
GCF_000143105.1_Sanger-454-IlluminaPA_2.0_genomic	680457	1290998
GCF_000143185.1_v1.0_genomic	3305797	5762101
GCF_000143365.1_ASM14336v1_genomic	1654207	2906452
GCF_000143535.2_ASM14353v4_genomic	3539989	4931648
GCF_000143565.1_V1.0_genomic	1222416	2100752
GCF_000145635.1_Gae_graminis_V2_genomic	1732824	3211949
GCF_000146045.2_R64_genomic	935340	1199271
GCF_000146465.1_ASM14646v1_genomic	2030591	2731671
GCF_000146915.1_ASM14691v2_genomic	3307920	5530743
GCF_000146945.2_ASM14694v2_genomic	3958107	5665319
GCF_000149035.1_C_graminicola_M1_001_V1_genomic	3482099	5626904
GCF_000149205.2_ASM14920v2_genomic	1886600	2539729
GCF_000149245.1_CNA3_genomic	996271	1396001
GCF_000149335.2_ASM14933v2_genomic	1480166	2201523
GCF_000149385.1_ASM14938v1_genomic	2677096	3794567
GCF_000149425.1_ASM14942v1_genomic	1769777	2409158
GCF_000149555.1_ASM14955v1_genomic	1382072	1935538
GCF_000149585.1_ASM14958v1_genomic	1573527	2821396
GCF_000149615.1_ASM14961v1_genomic	2352260	3411584
GCF_000149645.2_ASM14964v3_genomic	4516900	6257042
GCF_000149685.1_ASM14968v1_genomic	2070740	3300373
GCF_000149845.2_SJ5_genomic	3281684	4318468
GCF_000149925.1_ASM14992v1_genomic	3771245	6638293
GCF_000149955.1_ASM14995v2_genomic	2277340	2965214
GCF_000149985.1_ASM14998v1_genomic	2248192	3817676
GCF_000150035.1_ASM15003v1_genomic	1499857	2286144
GCF_000150505.1_SO6_genomic	4940384	6345793
GCF_000150675.1_ASM15067v2_genomic	2514896	4331291
GCF_000150705.2_Paracocci_br_Pb01_V2_genomic	2326083	3500669
GCF_000150735.1_Paracocci_br_Pb18_V2_genomic	5335583	7569627
GCF_000150825.1_ASM15082v1_genomic	1530773	2445550
GCF_000150975.2_MS_CBS118893_genomic	945247	1295821
GCF_000151125.1_ASM15112v2_genomic	3873428	5648826
