Identifier	DNA_Length	AA_Length
GCF_000005825.2_ASM582v2_genomic	4249248	3847335
GCF_000005845.2_ASM584v2_genomic	4641652	5844245
GCF_000006605.1_ASM660v1_genomic	2476822	3910482
GCF_000006625.1_ASM662v1_genomic	751719	478575
GCF_000006645.1_ASM664v1_genomic	4701745	5205125
GCF_000006685.1_ASM668v1_genomic	1080432	1054732
GCF_000006725.1_ASM672v1_genomic	2731748	3625245
GCF_000006745.1_ASM674v1_genomic	4033427	4521629
GCF_000006765.1_ASM676v1_genomic	6264404	10917584
GCF_000006785.2_ASM678v2_genomic	1852433	1574199
GCF_000006825.1_ASM682v1_genomic	2257487	2110109
GCF_000006845.1_ASM684v1_genomic	2153922	3229109
GCF_000006865.1_ASM686v1_genomic	2365589	2045814
GCF_000006885.1_ASM688v1_genomic	2160842	2062506
GCF_000006905.1_ASM690v1_genomic	4016947	6826557
GCF_000006925.2_ASM692v2_genomic	4828814	6064126
GCF_000006945.2_ASM694v2_genomic	4951383	6319306
GCF_000006965.1_ASM696v1_genomic	6691684	11116685
GCF_000006985.1_ASM698v1_genomic	2154939	3302449
GCF_000007025.1_ASM702v1_genomic	1268755	943704
GCF_000007045.1_ASM704v1_genomic	2038615	1948455
GCF_000007085.1_ASM708v1_genomic	2689445	2669388
GCF_000007105.1_ASM710v1_genomic	2056363	2383230
GCF_000007125.1_ASM712v1_genomic	3294921	5142656
GCF_000007145.1_ASM714v1_genomic	5076172	8803722
GCF_000007165.1_ASM716v1_genomic	5274173	9190698
GCF_000007205.1_ASM720v1_genomic	1225935	1155211
GCF_000007245.1_ASM724v1_genomic	2521148	3272330
GCF_000007265.1_ASM726v1_genomic	2160267	1725503
GCF_000007285.1_ASM728v1_genomic	1895017	1609958
GCF_000007365.1_ASM736v1_genomic	641454	437058
GCF_000007405.1_ASM740v1_genomic	4599326	5801631
GCF_000007425.1_ASM742v1_genomic	1900521	1616629
GCF_000007445.1_ASM744v1_genomic	5231148	6551827
GCF_000007465.2_ASM746v2_genomic	2032925	1751143
GCF_000007485.1_ASM748v1_genomic	927303	1112041
GCF_000007505.1_ASM750v1_genomic	3315175	5178412
GCF_000007525.1_ASM752v1_genomic	2260266	3600802
GCF_000007545.1_ASM754v1_genomic	4791950	6085182
GCF_000007565.2_ASM756v2_genomic	6181873	9905728
GCF_000007585.1_ASM758v1_genomic	2343476	3133017
GCF_000007605.1_ASM760v1_genomic	1181356	1049883
GCF_000007625.1_ASM762v1_genomic	2873333	2157564
GCF_000007645.1_ASM764v1_genomic	2564615	1849186
GCF_000007665.1_ASM766v1_genomic	2584158	4543718
GCF_000007685.1_ASM768v1_genomic	4627366	4207789
GCF_000007705.1_ASM770v1_genomic	4751080	8041341
GCF_000007725.1_ASM772v1_genomic	618379	395787
GCF_000007745.1_ASM774v1_genomic	2314078	2324628
