Identifier	Size1	Size2	Size3	Size4	Size7	Size12	Size14	Level1	Level2	Level3	Level4	Level7	Level12	Level14
10001334	5964	5961	5966	5982	5995	5967	5870	.93900	.93700	.93650	.93900	.93700	.93000	.94150
10003251	5868	5866	5885	5911	5875	6905	6902	.93950	.93850	.94150	.94100	.93250	.94350	.94150
10005178	6906	6925	6938	6888	5659	5656	5656	.94150	.94400	.94200	.93300	.93350	.93150	.93050
10007054	5674	5687	5656	5717	3371	3374	3377	.93350	.93100	.92300	.93050	.95350	.95100	.95050
10009002	3389	3415	3408	3443	5251	5252	5249	.95400	.95300	.94650	.95200	.93700	.93500	.93350
10010706	5264	5287	5244	5313	5371	5371	5368	.93600	.93500	.92450	.93400	.93300	.93100	.92950
10012663	5383	5399	5367	5429	5739	5738	5738	.93200	.93000	.92150	.92950	.91800	.91600	.91550
1001392	5756	5762	5725	5789	5324	5322	5323	.91800	.91450	.90600	.91350	.92800	.92550	.92450
10014622	5343	5362	5323	5383	7041	7040	7044	.92800	.92650	.91700	.92450	.93900	.93700	.93700
10016568	7061	7072	7026	7097	5480	5476	5475	.93950	.93700	.92850	.93600	.93800	.93550	.93400
10018485	5492	5508	5473	5535	5704	5701	5704	.93700	.93500	.92600	.93400	.93000	.92800	.92750
10020443	5717	5723	5695	5754	5769	5764	5763	.92950	.92600	.91850	.92550	.94150	.93850	.93750
10022432	5782	5808	5774	5831	5793	5790	5788	.94050	.94050	.93200	.93850	.94200	.93950	.93850
10024341	5808	5832	5800	5857	5791	5786	5784	.94150	.94100	.93300	.93950	.94150	.93900	.93750
10026253	5803	5830	5798	5853	5794	5789	5787	.94100	.94050	.93300	.93900	.94200	.93950	.93800
10028163	5807	5831	5802	5855	5791	5787	5783	.94150	.94100	.93350	.93950	.94150	.93900	.93700
10030068	5804	5828	5797	5855	5774	5772	5770	.94050	.94000	.93250	.93900	.94100	.93900	.93750
10031979	5789	5815	5782	5837	5799	5796	5793	.94050	.94050	.93200	.93850	.94250	.94000	.93850
10033890	5813	5837	5804	5863	5524	5525	5526	.94200	.94100	.93300	.94000	.93250	.93100	.93000
1003445	5544	5560	5519	5800	5797	5794	5814	.93300	.93100	.92150	.94200	.94000	.93850	.94150
10035801	5836	5807	5862	5785	5780	5779	5797	.94050	.93350	.93950	.94200	.93900	.93800	.94100
10037711	5824	5791	5798	5794	5791	5811	5836	.94100	.93300	.94200	.93950	.93800	.94100	.94050
10039621	5805	5858	5803	5794	5793	5814	5840	.93300	.93900	.94150	.93800	.93700	.94050	.94000
10041524	5808	5862	5598	5595	5594	5610	5624	.93250	.93850	.93300	.93050	.92950	.93200	.92950
10043434	5590	5653	4342	4353	4352	4356	4386	.92100	.92900	.97350	.97350	.97150	.97250	.97300
10045411	4402	4416	5806	5803	5804	5823	5832	.97300	.97250	.93150	.92950	.92850	.93150	.92850
10047121	5791	5255	5253	5259	5276	5291	5259	.91900	.93200	.92950	.92950	.93250	.93000	.92150
10049119	5394	5394	5391	5406	5422	5388	5389	.93300	.93100	.92950	.93200	.93000	.92150	.93250
10051078	5389	5387	5400	5418	5385	5456	5457	.93050	.92950	.93150	.93000	.92150	.93650	.93500
10053041	5457	5473	5490	5452	3216	3217	3219	.93400	.93650	.93500	.92550	.96100	.95800	.95650
1005379	3226	3252	3253	5102	5101	5104	5119	.95850	.95800	.95350	.94250	.94000	.93950	.94250
10055006	5140	5104	5168	5879	5875	5880	5900	.94100	.93150	.94000	.93150	.92900	.92900	.93200
10056539	5914	5869	5929	5048	5048	5050	5061	.93000	.92000	.92700	.94050	.93850	.93800	.94000
10058240	5084	5050	5114	5354	5357	5360	5371	.93900	.92950	.93850	.94200	.94050	.94000	.94200
10060294	5391	5355	5421	5007	5008	5009	5021	.94050	.93150	.94000	.94100	.93900	.93850	.94050
10061998	5043	5009	5073	5094	5095	5096	5109	.93950	.93000	.93900	.93950	.93750	.93650	.93900
10063750	5132	5098	5161	5096	5097	5098	5111	.93800	.92900	.93750	.93950	.93750	.93650	.93900
10065440	5133	5098	5054	5053	5056	5069	5093	.93800	.92850	.94250	.94000	.93950	.94200	.94150
10067143	5056	5030	5029	5032	5046	5070	5031	.93150	.94200	.93950	.93900	.94200	.94100	.93050
10068846	5076	5079	5078	5089	5114	5080	5525	.94150	.94000	.93850	.94050	.94000	.93100	.93800
10070548	5526	5526	5544	5560	5523	5353	5356	.93650	.93550	.93850	.93650	.92750	.94200	.94050
10072249	5359	5371	5392	5354	5341	5345	5348	.94000	.94200	.94100	.93100	.94050	.93950	.93900
1007345	5357	5380	5343	5409	5350	5353	5355	.94050	.93950	.93000	.93900	.94250	.94100	.94050
10073946	5365	5387	5350	5416	5330	5333	5336	.94200	.94100	.93150	.94050	.94100	.94000	.93900
10075699	5347	5371	5334	5397	5063	5062	5066	.94100	.94050	.93100	.93900	.94050	.93800	.93750
10077452	5077	5099	5068	5128	5005	5001	5004	.94000	.93850	.93000	.93800	.94050	.93750	.93700
10079205	5016	5042	5009	5070	5142	5140	5142	.93950	.93900	.92950	.93800	.94200	.93950	.93900
10080951	5154	5174	5135	5500	5500	5497	5510	.94100	.93950	.92950	.93600	.93400	.93250	.93500
10082631	5524	5493	5554	5592	5592	5591	5608	.93250	.92450	.93200	.93400	.93250	.93100	.93400
10084331	5622	5586	5054	5052	5056	5069	5095	.93150	.92300	.94200	.93950	.93900	.94150	.94100
10086041	5056	5378	5380	5382	5396	5418	5384	.93100	.93400	.93250	.93200	.93450	.93350	.92450
10087987	4438	4451	4451	4454	4484	4498	5627	.96650	.96700	.96550	.96650	.96700	.96650	.93550
10089896	5623	5625	5641	5656	5621	5240	5238	.93300	.93250	.93500	.93300	.92450	.93200	.92950
10091599	5238	5256	5271	5241	5627	5626	5625	.92850	.93150	.92950	.92100	.93350	.93150	.93050
1009315	5639	5656	5621	5457	5453	5453	5470	.93300	.93100	.92250	.93200	.92900	.92800	.93100
10093638	5482	5448	5508	5379	5375	5374	5390	.92850	.91950	.92700	.93300	.93050	.92900	.93200
10095652	5403	5371	5431	5464	5463	5459	5474	.92950	.92100	.92850	.93750	.93550	.93400	.93650
10097516	5491	5463	5518	5634	5632	5636	5652	.93450	.92700	.93350	.93300	.93050	.93050	.93300
10099427	5663	5626	5693	5070	5072	5071	5087	.93000	.92100	.92950	.93800	.93650	.93500	.93800
10101421	5104	5065	5133	5603	5601	5597	5614	.93600	.92600	.93550	.93400	.93200	.93000	.93300
10103391	5633	5597	5658	5467	5465	5465	5484	.93150	.92250	.93000	.93200	.93000	.92900	.93200
10105459	5498	5467	5242	5239	5240	5258	5272	.92950	.92150	.93100	.92850	.92750	.93050	.92800
10107465	5239	5436	5435	5434	5451	5469	5435	.91950	.93450	.93250	.93100	.93400	.93250	.92350
1010812	5540	5541	5540	5555	5571	5538	5444	.93400	.93200	.93100	.93350	.93150	.92300	.93350
10109302	5442	5445	5463	5474	5443	5386	5385	.93150	.93100	.93400	.93100	.92300	.93250	.93050
10111193	5384	5401	5418	5380	5436	5434	5436	.92900	.93200	.93000	.92050	.93350	.93100	.93050
10113058	5452	5462	5432	5497	5476	5475	5473	.93300	.93000	.92200	.93050	.93500	.93300	.93150
10114951	5489	5501	5474	5537	4814	4813	4818	.93450	.93150	.92400	.93200	.94800	.94550	.94550
10116869	4835	4855	4828	4880	5806	5809	5805	.94850	.94700	.93850	.94550	.93200	.93050	.92900
101175	5821	5835	5805	5861	5386	5391	5389	.93150	.92950	.92200	.92800	.93350	.93250	.93100
10118758	5405	5423	5387	5452	6752	6748	6750	.93400	.93200	.92300	.93150	.94250	.94050	.94000
10120655	6772	6787	6737	6807	5681	5679	5679	.94300	.94100	.93200	.93950	.93450	.93250	.93150
10122559	5696	5707	5679	5741	5663	5660	5662	.93400	.93150	.92400	.93150	.93400	.93200	.93100
10124440	5679	5692	5659	5709	5705	5706	5724	.93400	.93150	.92350	.93500	.93250	.93150	.93450
10126318	5735	5702	5675	5671	5673	5689	5700	.93200	.92400	.93450	.93200	.93150	.93400	.93100
1012712	5665	5656	5653	5654	5670	5685	5653	.92250	.93500	.93300	.93200	.93450	.93250	.92450
10128236	5703	5700	5700	5717	5730	5701	5672	.93450	.93200	.93100	.93400	.93150	.92400	.93550
10130190	5671	5671	5686	5702	5667	5389	5389	.93350	.93250	.93500	.93300	.92450	.93350	.93150
10132141	5386	5405	5430	5393	4091	4103	4105	.93000	.93350	.93300	.92350	.96950	.96950	.96850
10134105	4106	4134	4153	5576	5577	5578	5593	.96900	.96900	.96950	.93950	.93750	.93650	.93950
10136062	5610	5571	7077	7077	7081	7098	7106	.93750	.92800	.93800	.93650	.93650	.93850	.93600
10138015	7060	7131	5689	5683	5688	5707	5724	.92750	.93500	.93600	.93300	.93300	.93600	.93400
10139968	5681	5746	5308	5307	5307	5320	5332	.92450	.93250	.93450	.93200	.93100	.93350	.93050
10141915	5298	5366	2376	2388	2390	2393	2419	.92150	.93050	.96750	.96800	.96650	.96750	.96700
10143929	2437	2450	5661	5660	5659	5675	5691	.96750	.96600	.93100	.92900	.92800	.93050	.92850
10145427	5653	5715	5304	5297	5306	5325	5345	.91950	.92700	.93100	.92800	.92850	.93200	.93050
1014610	5294	5368	5280	5280	5280	5294	5317	.91850	.92850	.93900	.93700	.93600	.93850	.93750
10147415	5280	5344	5267	5269	5267	5283	5305	.92800	.93650	.93850	.93700	.93550	.93850	.93750
10149380	5267	5277	5277	5277	5291	5313	5275	.92750	.93900	.93700	.93600	.93850	.93750	.92750
10151270	5340	5280	5280	5280	5295	5316	5278	.93650	.93850	.93700	.93550	.93850	.93700	.92750
10152482	5344	5270	5270	5270	5285	5306	5269	.93600	.93900	.93700	.93550	.93850	.93700	.92750
10154463	5333	5284	5285	5286	5301	5320	5283	.93600	.93950	.93750	.93650	.93950	.93750	.92800
10156434	5348	5462	5461	5461	5479	5496	5456	.93700	.93900	.93650	.93550	.93900	.93700	.92700
10158179	5520	5285	5286	5286	5302	5322	5284	.93550	.93900	.93750	.93650	.93900	.93750	.92800
10159923	5349	5278	5279	5278	5293	5315	5277	.93650	.93900	.93700	.93550	.93850	.93750	.92750
10161667	5342	5284	5285	5284	5299	5320	5284	.93600	.93900	.93700	.93600	.93850	.93750	.92800
10163412	5348	5271	5273	5272	5288	5308	5270	.93650	.93900	.93750	.93650	.93900	.93800	.92800
10165156	5335	5274	5274	5275	5288	5309	5273	.93650	.93850	.93650	.93600	.93800	.93700	.92750
1016533	5337	5248	5251	5249	5264	5285	5248	.93600	.93900	.93750	.93600	.93850	.93750	.92800
10166901	5313	5279	5280	5280	5293	5315	5278	.93650	.93900	.93700	.93600	.93850	.93750	.92800
10168647	5273	5273	5273	5286	5307	5272	5336	.93900	.93700	.93600	.93800	.93700	.92750	.93600
10170391	5280	5281	5280	5295	5317	5280	5279	.93850	.93700	.93550	.93850	.93700	.92750	.93850
10172136	5279	5279	5294	5316	5278	5342	5277	.93700	.93550	.93850	.93750	.92750	.93600	.93850
10173879	5277	5277	5293	5314	5277	5341	4039	.93650	.93550	.93850	.93700	.92750	.93600	.95950
10175624	4045	4044	4049	4083	4084	4111	5282	.95800	.95650	.95750	.95900	.95550	.95800	.93900
10177363	5282	5282	5296	5317	5282	5346	5277	.93700	.93600	.93850	.93700	.92800	.93650	.93850
10179108	5277	5276	5292	5315	5276	5274	5274	.93650	.93550	.93850	.93750	.92750	.93900	.93700
10180853	5274	5289	5310	5273	5270	5270	5270	.93600	.93850	.93700	.92750	.93900	.93700	.93550
10182598	5285	5306	5269	5275	5276	5275	5290	.93850	.93700	.92750	.93900	.93700	.93550	.93850
10184342	5311	5273	5280	5281	5280	5294	5317	.93700	.92750	.93850	.93700	.93550	.93800	.93750
1018459	5279	5280	5280	5280	5294	5315	5279	.92750	.93900	.93700	.93600	.93850	.93700	.92800
10186086	10335	10338	10341	10365	10384	10340	10379	.96200	.96150	.96100	.96300	.96250	.95700	.95900
10187832	5246	5249	5248	5262	5281	5247	5312	.94000	.93850	.93750	.94000	.93850	.92950	.93800
10189576	5280	5282	5281	5297	5319	5281	5266	.93950	.93800	.93650	.93950	.93850	.92850	.93900
10191320	5267	5267	5283	5303	5264	5330	5277	.93750	.93600	.93900	.93750	.92800	.93650	.93900
10193064	5278	5278	5293	5313	5276	5271	5272	.93750	.93600	.93900	.93750	.92800	.93950	.93750
10194809	5272	5288	5309	5271	5275	5277	5276	.93650	.93950	.93800	.92850	.93950	.93750	.93650
10196554	5291	5311	5273	5272	5273	5273	5289	.93900	.93750	.92800	.93900	.93750	.93600	.93900
1019749	5309	5270	5271	5271	5272	5286	5306	.93750	.92800	.93900	.93700	.93600	.93850	.93750
10198299	5270	5284	5286	5287	5301	5321	5284	.92800	.93900	.93750	.93650	.93900	.93750	.92800
10200040	5275	5275	5275	5289	5312	5273	5271	.93850	.93650	.93550	.93800	.93700	.92700	.93850
10201784	5272	5271	5285	5308	5270	5336	5285	.93650	.93550	.93800	.93700	.92750	.93600	.93950
10203528	5286	5287	5301	5321	5284	5284	5285	.93750	.93650	.93900	.93750	.92800	.93900	.93750
10205272	5286	5301	5320	5282	5348	5543	5540	.93650	.93900	.93750	.92800	.93650	.93500	.93250
10207016	5544	5561	5580	5547	5601	5577	5572	.93200	.93500	.93350	.92500	.93150	.93350	.93100
10208759	5571	5589	5609	5570	5125	5120	5123	.92950	.93250	.93150	.92200	.93650	.93350	.93250
10210503	5135	5154	5122	5182	5129	5126	5125	.93500	.93350	.92450	.93250	.93600	.93350	.93200
10212247	5142	5162	5130	5185	5109	5105	5108	.93550	.93400	.92500	.93200	.93500	.93250	.93150
10213993	5125	5139	5109	5166	8715	8715	8711	.93500	.93250	.92400	.93100	.95550	.95400	.95300
10215738	8724	8751	8749	8772	5107	5104	5105	.95450	.95450	.95250	.95300	.93550	.93300	.93200
