Identifier	Size1	Size2	Size3	Size4	Size7	Level1	Level2	Level3	Level4	Level7
GCF_000006175.1_ASM617v2_genomic	423330	420915	419142	416494	414516	.87450	.86950	.86550	.86000	.85600
GCF_000006805.1_ASM680v1_genomic	547102	546605	537146	526549	520402	.85100	.85050	.83550	.81900	.80950
GCF_000007005.1_ASM700v1_genomic	659248	661477	653386	646452	638601	.88100	.88400	.87350	.86400	.85350
GCF_000007065.1_ASM706v1_genomic	964611	959392	952037	944386	936658	.94200	.93700	.92950	.92200	.91450
GCF_000007185.1_ASM718v1_genomic	405667	401795	401162	399222	398363	.95700	.94800	.94650	.94200	.94000
GCF_000007225.1_ASM722v1_genomic	541174	531527	529471	526272	524409	.97400	.95650	.95300	.94700	.94350
GCF_000007305.1_ASM730v1_genomic	453966	451617	450782	449284	448668	.95150	.94650	.94500	.94150	.94050
GCF_000007345.1_ASM734v1_genomic	1323868	1324547	1308441	1290685	1270303	.92050	.92100	.91000	.89750	.88350
GCF_000008265.1_ASM826v1_genomic	365418	359224	359152	357047	356335	.94550	.92950	.92900	.92350	.92200
GCF_000008645.1_ASM864v1_genomic	422821	415976	415049	411989	410950	.96550	.95000	.94800	.94100	.93850
GCF_000008665.1_ASM866v1_genomic	526255	519657	518505	514917	513482	.96600	.95400	.95200	.94550	.94250
GCF_000009185.1_ASM918v1_genomic	766123	762652	758049	753010	749902	.96400	.95950	.95350	.94750	.94350
GCF_000009965.1_ASM996v1_genomic	509373	501521	500601	497041	495513	.97550	.96050	.95850	.95150	.94850
GCF_000011005.1_ASM1100v1_genomic	709854	698085	694249	688098	684736	.96000	.94400	.93900	.93050	.92600
GCF_000011085.1_ASM1108v1_genomic	1016628	1005902	1003087	994368	986916	.95150	.94100	.93850	.93050	.92350
GCF_000011105.1_ASM1110v1_genomic	419548	415979	415573	414400	414020	.96500	.95700	.95600	.95350	.95250
GCF_000011125.1_ASM1112v1_genomic	404311	397906	397587	395754	395285	.96850	.95300	.95250	.94800	.94650
GCF_000011185.1_ASM1118v1_genomic	383795	382254	381182	380127	379689	.96850	.96450	.96200	.95950	.95800
GCF_000011205.1_ASM1120v1_genomic	620074	619088	616140	612603	610158	.92050	.91900	.91450	.90900	.90550
GCF_000011585.1_ASM1158v1_genomic	386114	381920	381746	379658	378663	.92950	.91950	.91900	.91400	.91150
GCF_000012285.1_ASM1228v1_genomic	533141	531502	530922	529765	529316	.95800	.95500	.95400	.95200	.95100
GCF_000012545.1_ASM1254v1_genomic	389508	386585	384750	380930	378083	.88150	.87500	.87050	.86200	.85550
