Domain,DNA,AA,GC,L_DNA,L_AA
plastid,0.9805,0.970571,0.37635225,0.00365972,0.00135287
plastid,0.978,0.969498,0.36792633,0.00354362,0.00124574
plastid,0.98,0.969939,0.37420975,0.00361807,0.00131464
plastid,0.973,0.967491,0.35702823,0.00378952,0.00126045
plastid,0.9735,0.967482,0.3580983,0.00386157,0.00132832
plastid,0.976,0.968857,0.36459401,0.00390562,0.00137424
plastid,0.9635,0.963443,0.33555948,0.00352991,0.00110843
plastid,0.98,0.970104,0.37464958,0.00387434,0.00141848
plastid,0.967,0.965729,0.34264941,0.00324236,0.00103871
plastid,0.979,0.969933,0.37242573,0.00383269,0.00138797
plastid,0.98,0.969938,0.37462267,0.00390474,0.00144643
plastid,0.9805,0.969909,0.37555018,0.00369012,0.00136722
plastid,0.976,0.968121,0.36393693,0.00393605,0.00137981
plastid,0.958,0.961119,0.32549189,0.00341381,0.0010251
plastid,0.974,0.967569,0.35932693,0.00383117,0.00128908
plastid,0.984,0.971413,0.38521113,0.00358679,0.00136568
plastid,0.977,0.96895,0.36699949,0.00397767,0.00142768
plastid,0.977,0.969525,0.36700516,0.00375824,0.00133725
plastid,0.967,0.965297,0.34334031,0.00345698,0.00112484
plastid,0.9625,0.963546,0.33436661,0.00356031,0.00112375
plastid,0.962,0.962825,0.33273548,0.00348826,0.00108017
archaea,1.0,0.963741,0.48000614,0.0690829,0.03780298
archaea,0.9915,0.966599,0.42029847,0.07262477,0.03200086
archaea,0.993,0.966828,0.42585929,0.05651076,0.02575305
archaea,0.994,0.966492,0.43219933,0.06902369,0.03214483
archaea,0.998,0.950959,0.53949627,0.07892155,0.05256994
archaea,0.986,0.931164,0.60048239,0.07537968,0.05920192
archaea,0.9635,0.956725,0.34107177,0.05704692,0.01831201
archaea,0.9705,0.959749,0.35666689,0.06005263,0.02077923
archaea,0.996,0.966328,0.4421238,0.09237411,0.044375
archaea,0.9855,0.965204,0.39765021,0.07980198,0.03243057
archaea,0.9915,0.938843,0.58029041,0.08789263,0.06551251
archaea,0.9965,0.947506,0.5519981,0.07231477,0.04994342
archaea,0.99,0.966557,0.41351918,0.05350505,0.0231998
archaea,0.9955,0.966494,0.43993362,0.07986119,0.03813538
archaea,0.9895,0.96642,0.4114184,0.06011184,0.02573632
archaea,0.969,0.959295,0.35230194,0.05344584,0.01809033
archaea,0.992,0.966541,0.42249649,0.066018,0.02943994
archaea,0.9985,0.952255,0.53569199,0.09867089,0.06489142
archaea,0.996,0.946456,0.55593994,0.07532047,0.05254763
archaea,0.9825,0.96422,0.38854079,0.08340306,0.03264348
archaea,0.9825,0.964369,0.38821549,0.07679626,0.03017332
mitochondrion,0.9515,0.986638,0.32410136,0.00046716,0.00014933
mitochondrion,0.9245,0.976944,0.26451758,0.00044561,0.00010378
mitochondrion,0.9575,0.967169,0.32463773,0.00158193,0.00048747
mitochondrion,0.9505,0.963625,0.31012423,0.00161561,0.00044045
mitochondrion,0.9625,0.992319,0.360898,0.00039796,0.00014648
mitochondrion,0.963,0.992614,0.35280913,0.0003902,0.00013719
mitochondrion,0.964,0.969425,0.33459515,0.00156021,0.00047593
mitochondrion,0.9545,0.988993,0.31622114,0.00041192,0.00012755
mitochondrion,0.96,0.967075,0.32673679,0.00156303,0.00048144
mitochondrion,0.974,0.99239,0.35693016,0.00044543,0.00015211
mitochondrion,0.952,0.98506,0.32047119,0.00039303,0.00013965
mitochondrion,0.984,0.994105,0.43381848,0.00040064,0.00018684
mitochondrion,0.997,0.994021,0.41743147,0.00041175,0.00017954
mitochondrion,0.9495,0.962269,0.30783789,0.00156038,0.00044056
mitochondrion,0.976,0.988858,0.46376447,0.00039781,0.00021432
mitochondrion,0.987,0.994249,0.38542799,0.00041458,0.00015981
mitochondrion,0.9985,0.993063,0.42379049,0.00041951,0.00018781
mitochondrion,0.9645,0.991756,0.32938812,0.00044826,0.00013585
mitochondrion,0.976,0.992231,0.36368656,0.00045319,0.00016001
mitochondrion,0.965,0.970062,0.33696173,0.00156796,0.00047318
mitochondrion,0.9865,0.995345,0.42805274,0.00039288,0.00017779
fungi,1.0005,0.958287,0.50555143,0.55365454,0.33057734
fungi,1.0005,0.959831,0.49602238,0.77914996,0.45191017
fungi,1.0005,0.957985,0.50624422,0.85004607,0.50940256
fungi,1.0005,0.961181,0.48608287,0.9217587,0.51664384
fungi,1.0005,0.956332,0.5147294,0.86723351,0.53372565
fungi,1.0005,0.959534,0.49858171,0.5516026,0.3225387
fungi,1.0005,0.959052,0.50127312,0.71345072,0.42030332
fungi,1.0,0.956044,0.51651986,0.64050319,0.39665198
fungi,1.0005,0.958206,0.50597873,0.61853674,0.37051612
fungi,1.0005,0.957946,0.50682627,0.78038485,0.46847873
fungi,1.0005,0.960456,0.49221647,0.76114549,0.43647414
fungi,1.0005,0.960615,0.49080832,0.77709802,0.44315901
fungi,1.0005,0.960848,0.48922288,0.71221582,0.40381046
