Identifier	Size1	Size2	Size3	Size4	Size7	Level1	Level2	Level3	Level4	Level7
GCF_000001985.1_JCVI-PMFA1-2.0_genomic.fna	1941202	1906861	1907250	1906730	1906979	0.87825	0.862713	0.862889	0.862654	0.862767
GCF_000002495.2_MG8_genomic.fna	1630901	1583379	1582412	1582822	1581956	0.841905	0.817373	0.816874	0.817085	0.816638
GCF_000002515.2_ASM251v1_genomic.fna	1194889	1190640	1192327	1190683	1192458	0.956883	0.95348	0.954831	0.953514	0.954936
GCF_000002525.2_ASM252v1_genomic.fna	1099322	1085340	1084814	1085050	1084872	0.934821	0.922932	0.922484	0.922685	0.922534
GCF_000002545.3_ASM254v2_genomic.fna	1296844	1284989	1285256	1284796	1285267	0.940847	0.932246	0.93244	0.932106	0.932448
GCF_000002655.1_ASM265v1_genomic.fna	1345220	1340700	1342785	1340788	1342953	0.953758	0.950553	0.952031	0.950616	0.952151
GCF_000002715.2_ASM271v1_genomic.fna	2259566	2241337	2239451	2240614	2239392	0.943714	0.9361	0.935312	0.935798	0.935288
GCF_000002855.3_ASM285v2_genomic.fna	1054682	1052566	1054325	1052632	1054462	0.952992	0.95108	0.952669	0.951139	0.952793
GCF_000002945.1_ASM294v2_genomic.fna	1260395	1256255	1258170	1256286	1258337	0.952115	0.948988	0.950434	0.949011	0.95056
GCF_000003125.1_JCVI-TSTA1-3.0_genomic.fna	2406791	2315547	2302229	2313108	2301006	0.912241	0.877657	0.872609	0.876733	0.872146
GCF_000003515.1_ASM351v2_genomic.fna	1094356	1092224	1094271	1092335	1094437	0.9597	0.95783	0.959625	0.957927	0.959771
GCF_000003835.1_ASM383v1_genomic.fna	662518	660331	661194	660350	661279	0.960446	0.957276	0.958527	0.957303	0.95865
GCF_000003855.2_BD_SLH14081_V1_genomic.fna	1490079	1306673	1247003	1298120	1242973	0.791314	0.693915	0.662227	0.689373	0.660087
GCF_000004155.1_SCY4_genomic.fna	1513738	1503587	1505065	1503524	1505228	0.945518	0.939177	0.940101	0.939138	0.940202
