Identifier	GC	ATGC	Percentage
GCF_000006175.1_ASM617v2_genomic	553702	1936387	.28594593
GCF_000006805.1_ASM680v1_genomic	1695157	2571010	.65933504
GCF_000007005.1_ASM700v1_genomic	1070840	2992245	.35787176
GCF_000007065.1_ASM706v1_genomic	1699365	4096345	.41484909
GCF_000007185.1_ASM718v1_genomic	1036629	1694969	.61159171
GCF_000007225.1_ASM722v1_genomic	1141496	2222430	.51362517
GCF_000007305.1_ASM730v1_genomic	777994	1908256	.40769896
GCF_000007345.1_ASM734v1_genomic	2454788	5751492	.42680890
GCF_000008265.1_ASM826v1_genomic	556065	1545895	.35970424
GCF_000008645.1_ASM864v1_genomic	867701	1751377	.49543930
GCF_000008665.1_ASM866v1_genomic	1058303	2178400	.48581665
GCF_000009185.1_ASM918v1_genomic	1521677	3179361	.47861095
GCF_000009965.1_ASM996v1_genomic	1086049	2088737	.51995488
GCF_000011005.1_ASM1100v1_genomic	1624241	2957635	.54916884
GCF_000011085.1_ASM1108v1_genomic	2612610	4274642	.61118802
GCF_000011105.1_ASM1110v1_genomic	728068	1738505	.41878970
GCF_000011125.1_ASM1112v1_genomic	940227	1669696	.56311268
GCF_000011185.1_ASM1118v1_genomic	632630	1584804	.39918500
GCF_000011205.1_ASM1120v1_genomic	883522	2694756	.32786716
GCF_000011585.1_ASM1158v1_genomic	549842	1661137	.33100340
GCF_000012285.1_ASM1228v1_genomic	817096	2225959	.36707594
GCF_000012545.1_ASM1254v1_genomic	488399	1767403	.27633708
GCF_000013445.1_ASM1344v1_genomic	1600415	3544738	.45149034
GCF_000013725.1_ASM1372v1_genomic	1049534	2575032	.40758095
GCF_000014945.1_ASM1494v1_genomic	1006368	1879471	.53545279
GCF_000015145.1_ASM1514v1_genomic	895879	1667163	.53736737
GCF_000015205.1_ASM1520v1_genomic	905878	1826402	.49599047
GCF_000015225.1_ASM1522v1_genomic	1045351	1813393	.57646136
GCF_000015765.1_ASM1576v1_genomic	902600	1804962	.50006592
GCF_000015805.1_ASM1580v1_genomic	1148339	2009313	.57150827
GCF_000015825.1_ASM1582v1_genomic	1537981	2478095	.62063036
GCF_000015945.1_ASM1594v1_genomic	561080	1570485	.35726543
GCF_000016125.1_ASM1612v1_genomic	589955	1789046	.32975954
GCF_000016385.1_ASM1638v1_genomic	1167671	2121076	.55050879
GCF_000016525.1_ASM1652v1_genomic	575114	1853160	.31034233
GCF_000017165.1_ASM1716v1_genomic	538862	1720048	.31328311
GCF_000017185.1_ASM1718v1_genomic	471438	1569500	.30037464
GCF_000017225.1_ASM1722v1_genomic	590031	1772694	.33284424
GCF_000017625.1_ASM1762v1_genomic	1386250	2542943	.54513608
GCF_000017945.1_ASM1794v1_genomic	733373	1297538	.56520348
GCF_000018305.1_ASM1830v1_genomic	895345	2077567	.43095842
GCF_000018365.1_ASM1836v1_genomic	947318	1847607	.51272700
GCF_000018465.1_ASM1846v1_genomic	562144	1645259	.34167507
GCF_000018485.1_ASM1848v1_genomic	582965	1744193	.33423193
GCF_000019605.1_ASM1960v1_genomic	779482	1590757	.49000695
GCF_000019805.1_ASM1980v1_genomic	1060312	1769823	.59910623
GCF_000020905.1_ASM2090v1_genomic	618980	1365223	.45339113
GCF_000021965.1_ASM2196v1_genomic	1617942	2922917	.55353675
GCF_000022205.1_ASM2220v1_genomic	2362214	3692576	.63971980
GCF_000022365.1_ASM2236v1_genomic	1095567	2045438	.53561486
GCF_000022385.1_ASM2238v1_genomic	960733	2736272	.35111019
GCF_000022405.1_ASM2240v1_genomic	915687	2608832	.35099500
GCF_000022425.1_ASM2242v1_genomic	942602	2692402	.35009705
GCF_000022445.1_ASM2244v1_genomic	905385	2586647	.35002263
GCF_000022465.1_ASM2246v1_genomic	956133	2702058	.35385361
GCF_000022485.1_ASM2248v1_genomic	1007761	2854410	.35305404
GCF_000022545.1_ASM2254v1_genomic	742035	1845800	.40201267
GCF_000023945.1_ASM2394v1_genomic	1960463	3116795	.62899966
GCF_000023965.1_ASM2396v1_genomic	2183712	3332349	.65530711
GCF_000023985.1_ASM2398v1_genomic	485612	1507251	.32218389
GCF_000024185.1_ASM2418v1_genomic	958732	2937203	.32640985
GCF_000024305.1_ASM2430v1_genomic	969240	2748637	.35262568
GCF_000024625.1_ASM2462v1_genomic	556282	1761737	.31575768
GCF_000024745.1_ASM2474v1_genomic	956164	2668974	.35825152
GCF_000025285.1_ASM2528v1_genomic	656709	1563423	.42004563
GCF_000025325.1_ASM2532v1_genomic	3496479	5440782	.64264273
GCF_000025505.1_ASM2550v1_genomic	969331	2196266	.44135409
GCF_000025525.1_ASM2552v1_genomic	568097	1773136	.32039110
GCF_000025625.1_ASM2562v1_genomic	2712852	4443643	.61050178
GCF_000025665.1_ASM2566v1_genomic	582192	1486778	.39157964
GCF_000025685.1_ASM2568v1_genomic	2627643	4012900	.65479902
GCF_000025865.1_ASM2586v1_genomic	857659	2012424	.42618205
GCF_000026045.1_ASM2604v1_genomic	1735599	2749696	.63119668
GCF_000063445.1_ASM6344v1_genomic	1736328	3179916	.54602951
GCF_000069025.1_ASM6902v1_genomic	1753668	2668776	.65710572
GCF_000091665.1_ASM9166v1_genomic	544484	1739912	.31293766
GCF_000092185.1_ASM9218v1_genomic	615302	1316595	.46734341
GCF_000092305.1_ASM9230v1_genomic	446519	1328194	.33618507
GCF_000092465.1_ASM9246v1_genomic	582173	1580347	.36838301
GCF_000144915.1_ASM14491v1_genomic	856231	1496453	.57217366
GCF_000145295.1_ASM14529v1_genomic	797286	1639134	.48640684
GCF_000147875.1_ASM14787v1_genomic	1347696	2843290	.47399174
GCF_000148385.1_ASM14838v1_genomic	1078516	2374137	.45427706
GCF_000151085.1_ASM15108v1_genomic	1163713	2973010	.39142586
GCF_000151105.2_ASM15110v2_genomic	860100	2064237	.41666727
GCF_000151205.2_ASM15120v2_genomic	1142966	2086428	.54780994
GCF_000151225.1_ASM15122v1_genomic	540363	1727775	.31275079
GCF_000151245.1_ASM15124v1_genomic	533272	1704865	.31279426
GCF_000152265.2_ASM15226v2_genomic	705690	1935198	.36466036
GCF_000166095.1_ASM16609v1_genomic	393356	1243342	.31636991
GCF_000172995.2_ASM17299v2_genomic	2364339	3944467	.59940645
GCF_000175555.1_ASM17555v1_genomic	943269	2680462	.35190538
GCF_000179575.2_ASM17957v2_genomic	491105	1677455	.29276791
GCF_000186365.1_ASM18636v1_genomic	698621	1314639	.53141660
GCF_000187225.1_ASM18722v1_genomic	2648659	4284805	.61815158
GCF_000189555.1_ASM18955v1_genomic	890812	2522992	.35307761
GCF_000189575.1_ASM18957v1_genomic	933255	2655198	.35148226
GCF_000189795.1_ASM18979v2_genomic	554789	1782572	.31122950
GCF_000189815.1_ASM18981v2_genomic	559439	1797373	.31125370
