Identifier	Size1	Size2	Size3	Size4	Size7	Size12	Size14	Level1	Level2	Level3	Level4	Level7	Level12	Level14
10001334	52	63	69	69	97	113	130	20.00000	20.00000	20.00000	20.00000	20.00000	20.00000	20.00000
10003251	55	66	72	72	100	116	133	2.90900	2.90900	2.90900	2.90900	2.90900	2.90900	2.90900
10005178	61	72	77	77	106	122	139	1.55550	1.55550	1.44450	1.44450	1.55550	1.55550	1.55550
10007054	58	71	76	76	103	119	136	1.69250	2.00000	1.84600	1.84600	1.69250	1.69250	1.69250
10009002	68	80	86	86	113	129	146	1.25350	1.31350	1.31350	1.31350	1.25350	1.25350	1.25350
10010706	56	68	73	73	101	117	134	2.11750	2.35300	2.11750	2.11750	2.11750	2.11750	2.11750
10012663	59	70	76	76	104	120	137	1.77800	1.77800	1.77800	1.77800	1.77800	1.77800	1.77800
1001392	63	75	82	82	109	125	142	1.28000	1.36000	1.44000	1.44000	1.36000	1.36000	1.36000
10014622	66	78	84	84	111	127	145	1.31050	1.37950	1.37950	1.37950	1.31050	1.31050	1.37950
10016568	58	69	75	75	103	119	136	1.83350	1.83350	1.83350	1.83350	1.83350	1.83350	1.83350
10018485	69	81	87	87	114	130	147	1.29400	1.35300	1.35300	1.35300	1.29400	1.29400	1.29400
10020443	57	69	74	74	102	118	135	1.90500	2.09500	1.90500	1.90500	1.90500	1.90500	1.90500
10022432	57	67	74	74	102	118	135	2.10550	1.89450	2.10550	2.10550	2.10550	2.10550	2.10550
10024341	67	79	85	85	112	128	146	1.27000	1.33350	1.33350	1.33350	1.27000	1.27000	1.33350
10026253	71	83	89	89	116	132	149	1.23100	1.28200	1.28200	1.28200	1.23100	1.23100	1.23100
10028163	66	78	84	84	111	127	144	1.31050	1.37950	1.37950	1.37950	1.31050	1.31050	1.31050
10030068	69	82	88	88	115	130	148	1.20550	1.31500	1.31500	1.31500	1.26050	1.20550	1.26050
10031979	59	70	77	77	104	120	137	1.71450	1.71450	1.85700	1.85700	1.71450	1.71450	1.71450
10033890	56	68	73	73	101	117	134	2.25000	2.50000	2.25000	2.25000	2.25000	2.25000	2.25000
1003445	71	83	89	89	116	132	150	1.21500	1.26600	1.26600	1.26600	1.21500	1.21500	1.26600
10035801	67	79	86	86	113	129	146	1.23100	1.29250	1.35400	1.35400	1.29250	1.29250	1.29250
10037711	56	66	73	73	101	117	134	2.40000	2.13350	2.40000	2.40000	2.40000	2.40000	2.40000
10039621	65	76	83	82	110	126	143	1.38450	1.38450	1.46150	1.38450	1.38450	1.38450	1.38450
10041524	66	78	84	84	111	127	145	1.28800	1.35600	1.35600	1.35600	1.28800	1.28800	1.35600
10043434	70	83	88	88	115	131	149	1.21050	1.31600	1.26300	1.26300	1.21050	1.21050	1.26300
10045411	68	79	86	86	113	129	146	1.29250	1.29250	1.35400	1.35400	1.29250	1.29250	1.29250
10047121	52	63	70	70	97	113	131	10.00000	10.00000	12.00000	12.00000	10.00000	10.00000	12.00000
10049119	56	68	73	73	101	117	134	2.11750	2.35300	2.11750	2.11750	2.11750	2.11750	2.11750
10051078	58	69	74	74	102	119	135	2.00000	2.00000	1.81800	1.81800	1.81800	2.00000	1.81800
10053041	60	71	78	78	105	121	139	1.57600	1.57600	1.69700	1.69700	1.57600	1.57600	1.69700
1005379	70	82	88	88	115	131	148	1.27800	1.33350	1.33350	1.33350	1.27800	1.27800	1.27800
10055006	56	68	75	75	102	118	135	1.80000	2.00000	2.20000	2.20000	2.00000	2.00000	2.00000
10056539	56	67	74	74	101	117	134	2.11750	2.11750	2.35300	2.35300	2.11750	2.11750	2.11750
10058240	65	76	82	82	110	126	143	1.35850	1.35850	1.35850	1.35850	1.35850	1.35850	1.35850
10060294	70	83	88	88	115	131	148	1.21050	1.31600	1.26300	1.26300	1.21050	1.21050	1.21050
10061998	67	80	85	85	112	128	146	1.27000	1.39700	1.33350	1.33350	1.27000	1.27000	1.33350
10063750	56	68	75	75	101	117	135	1.80000	2.00000	2.20000	2.20000	1.80000	1.80000	2.00000
10065440	69	82	89	89	115	131	149	1.11400	1.21500	1.26600	1.26600	1.16450	1.16450	1.21500
10067143	65	78	85	85	111	127	145	1.14300	1.27000	1.33350	1.33350	1.20650	1.20650	1.27000
10068846	68	81	87	87	113	129	147	1.20000	1.31450	1.31450	1.31450	1.20000	1.20000	1.25700
10070548	52	63	69	69	97	113	130	20.00000	20.00000	20.00000	20.00000	20.00000	20.00000	20.00000
10072249	68	81	87	87	113	129	147	1.18300	1.29600	1.29600	1.29600	1.18300	1.18300	1.23950
1007345	62	75	81	81	107	123	141	1.36350	1.54550	1.54550	1.54550	1.36350	1.36350	1.45450
10073946	57	70	76	76	103	118	136	1.60000	1.92000	1.92000	1.92000	1.76000	1.60000	1.76000
10075699	58	70	77	77	103	119	137	1.62950	1.77800	1.92600	1.92600	1.62950	1.62950	1.77800
10077452	54	65	72	72	99	115	132	3.11100	3.11100	3.55550	3.55550	3.11100	3.11100	3.11100
10079205	68	81	87	87	114	130	147	1.18300	1.29600	1.29600	1.29600	1.23950	1.23950	1.23950
10080951	53	64	71	71	98	114	131	4.80000	4.80000	5.60000	5.60000	4.80000	4.80000	4.80000
10082631	66	79	85	85	112	127	145	1.24600	1.37700	1.37700	1.37700	1.31150	1.24600	1.31150
10084331	61	74	80	80	107	122	140	1.33350	1.52400	1.52400	1.52400	1.42850	1.33350	1.42850
10086041	55	66	72	72	100	116	133	2.66650	2.66650	2.66650	2.66650	2.66650	2.66650	2.66650
10087987	60	72	79	78	105	121	139	1.48550	1.60000	1.71450	1.60000	1.48550	1.48550	1.60000
