Identifier	Size1	Size2	Size3	Size4	Size7	Level1	Level2	Level3	Level4	Level7
100008	4457	4454	4461	4468	4499	.95250	.94950	.94950	.95100	.95150
1000389	9719	9660	9638	9628	9628	.74850	.74300	.74100	.74050	.73800
1001036	86399	86041	85905	85868	85857	.98100	.97700	.97550	.97500	.97450
100241	3063	3075	3081	3083	3110	.89500	.89500	.89500	.89550	.89550
100411	3133	3144	3153	3156	3181	.89500	.89500	.89600	.89700	.89600
1005438	4095	4104	4108	4112	4140	.97700	.97650	.97600	.97700	.97700
1005647	3271	3276	3282	3288	3318	.86900	.86750	.86750	.86900	.86950
1005834	111313	111560	110759	110513	110199	.84800	.85000	.84350	.84200	.83900
100585	4075	4080	4083	4089	4119	.95550	.95400	.95300	.95450	.95500
100797	10088	10036	9945	9971	9927	.73650	.73150	.72450	.72650	.72100
1012395	3984	3987	3992	4002	4029	.93900	.93700	.93650	.93900	.93900
1012606	4137	4146	4154	4168	4196	.96850	.96850	.96850	.97200	.97200
1012819	4100	4104	4110	4111	4141	.97500	.97300	.97300	.97350	.97400
1013028	3403	3401	3402	3411	3438	.87050	.86700	.86600	.86800	.86800
1013222	3417	3416	3418	3425	3452	.87100	.86800	.86700	.86900	.86850
1013417	3411	3409	3410	3418	3446	.87250	.86900	.86750	.87000	.87000
1013611	3402	3396	3397	3407	3432	.87050	.86600	.86450	.86750	.86650
1013805	71738	71540	71236	70855	70220	.77000	.76800	.76450	.76050	.75350
101480	110861	110733	110253	110182	110150	.96450	.96300	.95900	.95800	.95750
1018461	66527	66040	65672	64561	63101	.73050	.72500	.72100	.70850	.69250
1023013	21607	21502	21498	21505	21391	.89950	.89450	.89400	.89450	.88850
1024213	4097	4102	4100	4102	4131	.97750	.97600	.97400	.97450	.97500
1024422	8781	8828	8713	8643	8589	.74450	.74750	.73700	.73100	.72400
1025010	9009	9010	9013	9029	9063	.95250	.95150	.95150	.95300	.95350
1025482	3668	3677	3685	3692	3720	.90850	.90800	.90850	.91050	.91050
1025683	4109	4117	4121	4126	4154	.98100	.98050	.98000	.98100	.98100
1025892	4113	4097	4103	4111	4141	.92800	.92200	.92200	.92350	.92400
1026113	3646	3642	3651	3658	3682	.89300	.88900	.89000	.89150	.89050
1026316	3679	3676	3683	3689	3718	.89050	.88700	.88750	.88900	.88900
1026521	4021	4024	4031	4043	4068	.87800	.87600	.87650	.87900	.87850
1026749	3909	3917	3923	3934	3958	.87750	.87700	.87700	.87950	.87850
1026971	4023	4032	4035	4055	4081	.96550	.96500	.96450	.96950	.96900
1027178	3658	3674	3677	3681	3711	.91350	.91450	.91400	.91500	.91550
1027377	3340	3342	3347	3351	3382	.85000	.84800	.84750	.84850	.84950
1027572	4140	4142	4144	4147	4177	.96950	.96750	.96650	.96700	.96750
1027785	3549	3560	3564	3570	3598	.94150	.94150	.94100	.94250	.94250
1027972	4179	4178	4182	4190	4224	.96650	.96350	.96300	.96500	.96650
