Identifier	Size1	Size2	Size3	Size4	Size7	Level1	Level2	Level3	Level4	Level7
GCF_000005825.2_ASM582v2_genomic.fna	1967392	1946527	1946603	1946161	1946704	0.94655	0.936511	0.936548	0.936335	0.936596
GCF_000005845.2_ASM584v2_genomic.fna	2985081	2948481	2948959	2947681	2948937	0.945453	0.933861	0.934013	0.933608	0.934006
GCF_000006605.1_ASM660v1_genomic.fna	1886414	1865765	1864794	1864706	1864755	0.892934	0.883159	0.8827	0.882658	0.882681
GCF_000006625.1_ASM662v1_genomic.fna	237280	235935	236696	235950	236744	0.917748	0.912546	0.915489	0.912604	0.915675
GCF_000006645.1_ASM664v1_genomic.fna	2600921	2569089	2571271	2568735	2571297	0.924929	0.913609	0.914385	0.913483	0.914394
GCF_000006685.1_ASM668v1_genomic.fna	542814	540657	542377	540749	542482	0.952624	0.948838	0.951857	0.949	0.952041
GCF_000006725.1_ASM672v1_genomic.fna	1820946	1776756	1776533	1776027	1776421	0.929763	0.9072	0.907086	0.906827	0.907029
GCF_000006745.1_ASM674v1_genomic.fna	2314302	2291737	2293366	2291429	2293380	0.947409	0.938172	0.938839	0.938046	0.938844
GCF_000006765.1_ASM676v1_genomic.fna	5190580	5149396	5118256	5142867	5117187	0.880039	0.873056	0.867777	0.871949	0.867595
GCF_000006785.2_ASM678v2_genomic.fna	799229	793700	795240	793711	795336	0.939775	0.933274	0.935085	0.933287	0.935198
GCF_000006825.1_ASM682v1_genomic.fna	1086361	1080486	1082385	1080532	1082516	0.952975	0.947822	0.949488	0.947862	0.949603
GCF_000006845.1_ASM684v1_genomic.fna	1587681	1559904	1559308	1558848	1559277	0.910108	0.894185	0.893844	0.89358	0.893826
GCF_000006865.1_ASM686v1_genomic.fna	1023258	1012433	1013461	1012264	1013535	0.92583	0.916036	0.916966	0.915883	0.917033
GCF_000006885.1_ASM688v1_genomic.fna	1027997	1015005	1015479	1014859	1015464	0.922591	0.910931	0.911356	0.9108	0.911343
GCF_000006905.1_ASM690v1_genomic.fna	3231757	3204587	3193237	3200944	3192996	0.876293	0.868926	0.865848	0.867938	0.865783
