Identifier	DNA_Length	AA_Length
GCF_000427115.1_CBEV_1_genomic	307691	199716
GCF_000427135.1_AHEV_1_genomic	228750	158605
GCF_000427155.1_MySEV_1_genomic	281182	185952
GCF_000427175.1_CREV_1_genomic	282895	183709
GCF_000819615.1_ViralProj14015_genomic	5386	6081
GCF_000820355.1_ViralMultiSegProj14361_genomic	5886	7106
GCF_000820495.2_ViralMultiSegProj14656_genomic	14452	14668
GCF_000836805.1_ViralProj14012_genomic	4529	4414
GCF_000836825.1_ViralProj14017_genomic	4697	5027
GCF_000836845.1_ViralProj14021_genomic	300	357
GCF_000836865.1_ViralProj14025_genomic	8028	10120
GCF_000836885.1_ViralProj14030_genomic	4767	6957
GCF_000836905.1_ViralProj14035_genomic	33593	39285
GCF_000836925.1_ViralProj14039_genomic	8454	9127
GCF_000836945.1_ViralProj14044_genomic	168900	145714
GCF_000836965.1_ViralProj14048_genomic	40751	49712
GCF_000836985.1_ViralProj14054_genomic	39807	36196
GCF_000837005.1_ViralProj14058_genomic	2909	2442
GCF_000837025.1_ViralProj14062_genomic	14927	17060
GCF_000837045.1_ViralProj14067_genomic	1291	1701
GCF_000837065.1_ViralProj14071_genomic	4754	4961
GCF_000837085.1_ViralProj14075_genomic	7868	9643
GCF_000837105.1_ViralMultiSegProj14079_genomic	5145	5038
GCF_000837125.1_ViralProj14084_genomic	131993	197202
GCF_000837145.1_ViralProj14089_genomic	128413	140683
GCF_000837165.1_ViralProj14093_genomic	8784	9236
GCF_000837185.1_ViralProj14097_genomic	232392	151280
GCF_000837205.1_ViralMultiSegProj14101_genomic	5194	4935
GCF_000837225.1_ViralProj14105_genomic	36717	48290
GCF_000837245.1_ViralProj14109_genomic	50550	82218
GCF_000837265.1_ViralProj14113_genomic	15179	11096
GCF_000837285.6_ASM83728v2_genomic	3372	3920
GCF_000837305.1_ViralMultiSegProj14121_genomic	5232	5123
GCF_000837325.1_ViralProj14125_genomic	1821	2347
GCF_000837345.1_ViralProj14129_genomic	8303	6608
GCF_000837365.1_ViralProj14133_genomic	40739	36777
GCF_000837385.1_ViralProj14137_genomic	42942	34689
GCF_000837405.1_ViralProj14141_genomic	43081	36042
GCF_000837425.1_ViralProj14146_genomic	57416	93420
GCF_000837445.1_ViralProj14150_genomic	7767	6813
GCF_000837465.1_ViralProj14154_genomic	52797	91135
GCF_000837485.1_ViralProj14160_genomic	26111	28585
GCF_000837505.5_ASM83750v2_genomic	4315	3732
GCF_000837525.1_ViralProj14168_genomic	155060	173295
GCF_000837545.1_ViralProj14172_genomic	2757	3067
GCF_000837565.1_ViralMultiSegProj14176_genomic	5498	6692
GCF_000837585.1_ViralProj14184_genomic	377	417
GCF_000837605.1_ViralMultiSegProj14188_genomic	5206	5647
GCF_000837625.1_ViralProj14020_genomic	5517	6810
GCF_000837645.1_ViralProj14024_genomic	5243	4845
GCF_000837665.1_ViralProj14029_genomic	22172	18824
GCF_000837685.1_ViralProj14034_genomic	134416	112425
GCF_000837705.1_ViralMultiSegProj14038_genomic	5240	4957
GCF_000837725.1_ViralProj14043_genomic	61670	78460
GCF_000837745.1_ViralProj14047_genomic	36524	36691
GCF_000837765.1_ViralProj14053_genomic	1758	2403
GCF_000837785.1_ViralProj14057_genomic	7565	8372
GCF_000837805.1_ViralProj14061_genomic	5833	6893
GCF_000837825.1_ViralProj14066_genomic	11965	8068
GCF_000837845.1_ViralProj14070_genomic	3311	3780
GCF_000837865.1_ViralProj14074_genomic	5153	4991
GCF_000837885.1_ViralProj14078_genomic	32355	31420
GCF_000837905.1_ViralMultiSegProj14083_genomic	5227	5690
GCF_000837925.1_ViralProj14088_genomic	8651	8806
GCF_000837945.1_ViralProj14092_genomic	178733	187275
GCF_000837965.1_ViralProj14096_genomic	28451	22706
GCF_000837985.1_ViralProj14100_genomic	3080	3285
GCF_000838005.1_ViralProj14104_genomic	100999	104791
GCF_000838025.1_ViralProj14108_genomic	131405	139087
GCF_000838045.1_ViralProj14112_genomic	14957	11875
GCF_000838065.1_ViralProj14116_genomic	37667	33263
GCF_000838085.1_ViralProj14120_genomic	2748	2655
GCF_000838105.1_ViralProj14124_genomic	212482	168736
GCF_000838125.1_ViralProj14128_genomic	108252	147137
GCF_000838145.1_ViralProj14132_genomic	40900	35330
GCF_000838165.1_ViralProj14136_genomic	11660	6929
GCF_000838185.1_ViralMultiSegProj14140_genomic	7610	7308
GCF_000838205.2_ViralProj14145_genomic	43106	38243
GCF_000838225.1_ViralProj14149_genomic	2737	2867
GCF_000838245.1_ViralProj14153_genomic	7559	7852
GCF_000838265.1_ViralProj14158_genomic	137969	188837
GCF_000838285.1_ViralProj14163_genomic	5804	9728
GCF_000838325.1_ViralProj14171_genomic	2766	2900
GCF_000838345.1_ViralMultiSegProj14175_genomic	5195	4945
GCF_000838365.1_ViralMultiSegProj14179_genomic	5560	6368
GCF_000838385.1_ViralMultiSegProj14183_genomic	5213	5192
GCF_000838405.1_ViralMultiSegProj14187_genomic	5096	4860
GCF_000838425.1_ViralProj14191_genomic	2766	2832
GCF_000838445.1_ViralProj14014_genomic	15465	13191
GCF_000838465.1_ViralProj14019_genomic	5149	5010
GCF_000838485.1_ViralProj14023_genomic	133894	145801
GCF_000838505.1_ViralProj14028_genomic	7313	7071
GCF_000838525.1_ViralProj14032_genomic	6825	4099
GCF_000838545.1_ViralMultiSegProj14037_genomic	5191	5298
GCF_000838565.1_ViralProj14042_genomic	236120	156875
GCF_000838585.1_ViralProj14046_genomic	2744	3050
GCF_000838605.1_ViralProj14052_genomic	288539	209200
GCF_000838625.1_ViralProj14056_genomic	8159	6348
GCF_000838645.1_ViralProj14060_genomic	4679	6384
GCF_000838665.1_ViralMultiSegProj14065_genomic	5140	5042
GCF_000838685.1_ViralProj14069_genomic	2701	2855
GCF_000838705.1_ViralProj14073_genomic	8374	9737
GCF_000838725.1_ViralProj14077_genomic	4801	4198
GCF_000838745.1_ViralMultiSegProj14082_genomic	5156	5092
GCF_000838765.1_ViralProj14087_genomic	31754	25104
GCF_000838785.1_ViralProj14091_genomic	5454	5753
GCF_000838805.1_ViralProj14095_genomic	2764	3298
GCF_000838825.1_ViralProj14099_genomic	130608	134851
GCF_000838845.1_ViralProj14103_genomic	164270	221319
GCF_000838865.1_ViralProj14107_genomic	4594	5402
GCF_000838885.1_ViralProj14111_genomic	35538	31150
GCF_000838905.1_ViralProj14115_genomic	38297	45114
GCF_000838925.1_ViralProj14119_genomic	2767	2955
GCF_000838945.1_ViralProj14123_genomic	7687	7760
GCF_000838965.1_ViralProj14127_genomic	118584	125950
GCF_000838985.1_ViralProj14131_genomic	38347	34435
GCF_000839005.1_ViralProj14135_genomic	45636	37810
GCF_000839025.1_ViralProj14139_genomic	14510	12035
GCF_000839045.1_ViralProj14144_genomic	33106	39535
GCF_000839085.1_ViralProj14152_genomic	220	322
GCF_000839105.1_ViralProj14156_genomic	205719	167540
GCF_000839125.1_ViralProj14162_genomic	37074	46917
GCF_000839145.1_ViralProj14166_genomic	33507	24951
GCF_000839165.1_ViralProj14170_genomic	399	631
GCF_000839185.1_ViralProj14174_genomic	224499	181658
GCF_000839205.1_ViralProj14178_genomic	7768	5160
GCF_000839225.1_ViralMultiSegProj14182_genomic	5172	4661
GCF_000839245.1_ViralMultiSegProj14186_genomic	5325	5013
GCF_000839265.1_ViralProj14190_genomic	2749	2730
GCF_000839285.1_ViralProj14194_genomic	366	400
GCF_000839305.1_ViralMultiSegProj14013_genomic	5126	5205
GCF_000839325.1_ViralProj14018_genomic	134226	197951
GCF_000839345.1_ViralProj14022_genomic	7687	9716
GCF_000839365.1_ViralProj14027_genomic	7100	6476
GCF_000839385.1_ViralProj14031_genomic	7206	7100
GCF_000839405.1_ViralProj14036_genomic	5941	5181
GCF_000839425.1_ViralProj14040_genomic	108409	96842
GCF_000839445.1_ViralProj14045_genomic	37370	34308
GCF_000839465.1_ViralProj14051_genomic	35466	31443
GCF_000839485.1_ViralProj14055_genomic	5075	4650
