Identifier	GC	ATGC	Percentage
GCF_000001735.4_TAIR10.1_genomic	345792	1386216	.24945030
GCF_000002425.4_Phypa_V3_genomic	275654	700972	.39324537
GCF_000002595.1_v3.0_genomic	1133375	4018503	.28203910
GCF_000002775.4_Pop_tri_v3_genomic	603217	1533873	.39326397
GCF_000003195.3_Sorghum_bicolor_NCBIv3_genomic	806441	2842489	.28370945
GCF_000003745.3_12X_genomic	1057936	4383041	.24137031
GCF_000004075.3_Cucumber_9930_V3_genomic	0	514226	0
GCF_000004255.2_v.1.0_genomic	2126042	5402300	.39354386
GCF_000004515.6_Glycine_max_v4.0_genomic	525899	1405412	.37419560
GCF_000005505.3_Brachypodium_distachyon_v3.0_genomic	2733060	3435264	.79558950
GCF_000090985.2_ASM9098v2_genomic	902218	2719707	.33173352
GCF_000091205.1_ASM9120v1_genomic	2659875	4569853	.58204826
GCF_000092065.1_ASM9206v1_genomic	595437	3218991	.18497628
GCF_000143415.4_v1.0_genomic	947807	3883110	.24408450
GCF_000143455.1_v1.0_genomic	962593	1760305	.54683307
GCF_000147415.1_v_1.0_genomic	2084635	3339286	.62427566
GCF_000150535.2_Papaya1.0_genomic	2364866	5086148	.46496208
GCF_000151265.2_Micromonas_pusilla_CCMP1545_v2.0_genomic	712224	1890597	.37671909
GCF_000151685.1_JCVI_RCG_1.1_genomic	713195	1388423	.51367270
GCF_000184155.1_FraVesHawaii_1.0_genomic	2594300	17626797	.14717932
GCF_000188115.4_SL3.0_genomic	840311	2274361	.36947124
GCF_000208745.1_Criollo_cocoa_genome_V2_genomic	1291108	2013935	.64108722
GCF_000214015.3_version_140606_genomic	1157912	2886067	.40120759
GCF_000226075.1_SolTub_3.0_genomic	704315	2096424	.33596018
GCF_000231095.2_ObraRS2_genomic	1396907	4030613	.34657433
GCF_000258705.1_Coccomyxa_subellipsoidae_v2.0_genomic	1550378	3659494	.42365911
GCF_000263155.2_Setaria_italica_v2.0_genomic	1111218	6656374	.16694043
GCF_000309985.2_CAAS_Brap_v3.01_genomic	833782	2127699	.39187027
