Identifier	Size1	Size2	Size3	Size4	Size7	Level1	Level2	Level3	Level4	Level7
GCF_000002415.2_ASM241v2_genomic	881472	872538	869026	864991	862526	.97150	.96150	.95750	.95350	.95050
GCF_000002435.2_UU_WB_2.1_genomic	1373164	1388430	1367028	1353079	1344351	.93650	.94700	.93250	.92250	.91700
GCF_000002445.2_ASM244v1_genomic	419418	425326	410692	406451	403506	.80350	.81500	.78700	.77900	.77300
GCF_000002455.1_ASM245v1_genomic	88912	89049	88720	88660	88566	.80450	.80550	.80250	.80200	.80100
GCF_000002725.2_ASM272v2_genomic	349001	347896	346415	345327	345024	.94100	.93800	.93400	.93100	.93000
GCF_000002765.5_GCA_000002765_genomic	224234	224905	221783	220275	218924	.87250	.87500	.86300	.85700	.85150
GCF_000002825.2_ASM282v1_genomic	79124	81725	77431	76195	74746	.51650	.53350	.50550	.49745	.48780
GCF_000002845.2_ASM284v2_genomic	561289	561661	557193	554250	553055	.94350	.94400	.93650	.93200	.92950
GCF_000002875.2_ASM287v2_genomic	304324	303167	302032	301129	300913	.94500	.94100	.93750	.93500	.93400
GCF_000002975.1_ASM297v1_genomic	134447	134616	134247	134116	133954	.79900	.80000	.79800	.79700	.79600
GCF_000003225.4_ASM322v1_genomic	1514219	1520477	1507933	1494725	1480397	.93650	.94050	.93250	.92450	.91550
GCF_000004695.1_dicty_2.7_genomic	245236	244967	240693	238960	237531	.82800	.82700	.81250	.80700	.80200
GCF_000004825.1_PolPal_Dec2009_genomic	495296	492646	488864	485120	482624	.94600	.94100	.93350	.92650	.92150
GCF_000004985.1_V1.0_genomic	349920	348157	347697	347091	346827	.94800	.94350	.94200	.94050	.93950
GCF_000006355.2_GCA_000006355.2_genomic	635179	631618	629109	627293	626364	.97300	.96750	.96350	.96050	.95900
GCF_000006405.1_JCVI_PMG_1.0_genomic	593241	595057	587591	583793	582150	.96000	.96300	.95100	.94450	.94200
GCF_000006425.1_ASM642v1_genomic	685620	684935	683345	681562	680537	.94050	.93950	.93700	.93450	.93350
GCF_000006515.1_JCVI_cmg_v1.0_genomic	184325	183714	183633	183555	183499	.93850	.93550	.93500	.93450	.93400
GCF_000006565.2_TGA4_genomic	974393	972335	969893	967486	966516	.97550	.97350	.97100	.96850	.96750
GCF_000018645.1_ASM1864v1_genomic	128275	128642	128040	127685	127183	.81100	.81350	.80950	.80700	.80400
GCF_000141845.1_ASM14184v1_genomic	223446	223093	222933	222838	222768	.90750	.90600	.90550	.90500	.90450
GCF_000142905.1_TheTra_May2010_genomic	217816	215661	215294	214508	214316	.95650	.94700	.94550	.94200	.94100
GCF_000142945.1_ASM14294v1_genomic	124760	125025	123192	122992	122884	.90100	.90300	.88950	.88850	.88750
GCF_000149405.2_ASM14940v2_genomic	633794	629240	628211	627240	626994	.97950	.97250	.97050	.96900	.96850
GCF_000149755.1_P.sojae_V3.0_genomic	509685	515724	502834	494880	490281	.88100	.89150	.86900	.85550	.84750
GCF_000150955.2_ASM15095v2_genomic	1127336	1125088	1122153	1119307	1117606	.98500	.98300	.98050	.97800	.97650
GCF_000151545.1_ASM15154v2_genomic	241746	239664	238577	237828	237519	.96350	.95500	.95100	.94800	.94650
GCF_000151665.1_ASM15166v1_genomic	2450039	2508026	2432003	2370010	2314031	.85950	.88000	.85350	.83150	.81200
GCF_000165345.1_ASM16534v1_genomic	200579	199858	199809	199688	199648	.94800	.94450	.94400	.94350	.94350
GCF_000165365.1_ASM16536v1_genomic	229210	228728	228337	227974	227910	.96550	.96350	.96150	.96000	.96000
GCF_000165395.1_ASM16539v1_genomic	680726	682161	676625	672855	670428	.95550	.95750	.94950	.94450	.94100
GCF_000165425.1_ASM16542v1_genomic	429686	429105	428807	428497	428245	.94050	.93950	.93850	.93800	.93750
GCF_000186865.1_v_1.0_genomic	437089	431970	429473	424882	422785	.94000	.92900	.92350	.91400	.90950
GCF_000189635.1_JCVI-TTA1-2.2_genomic	416336	420562	413691	408093	402148	.88500	.89400	.87900	.86750	.85450
GCF_000190715.1_v1.0_genomic	634858	634571	626772	620065	613766	.90850	.90800	.89700	.88750	.87850
GCF_000194455.1_ASM19445v1_genomic	121925	121746	121391	121210	121001	.86300	.86200	.85950	.85800	.85650
GCF_000203815.1_DFas_2.0_genomic	183302	182003	180403	179690	179257	.94500	.93800	.93000	.92600	.92350
GCF_000208865.1_ASM20886v2_genomic	996298	996721	991253	987362	985147	.96500	.96550	.96050	.95650	.95450
GCF_000208925.1_JCVI_ESG2_1.0_genomic	212302	222623	209520	202355	196266	.68400	.71750	.67500	.65200	.63250
GCF_000209065.1_ASM20906v1_genomic	265822	268304	259315	255880	253803	.87900	.88700	.85700	.84600	.83900
GCF_000209125.1_JCVI_EDISG_1.0_genomic	111279	114010	110624	109387	107574	.55650	.57000	.55300	.54700	.53750
