Identifier	Size1	Size2	Size3	Size4	Size7	Level1	Level2	Level3	Level4	Level7
10001334	31705	31746	31524	31495	31473	.82650	.82750	.82150	.82050	.81950
10003251	32730	32723	32545	32527	32500	.84900	.84850	.84350	.84300	.84150
10005178	31795	31759	31607	31593	31574	.84700	.84550	.84150	.84100	.84000
10007054	31739	31833	31580	31538	31498	.81400	.81650	.80950	.80850	.80700
10009002	28355	28341	28185	28121	28082	.83100	.83050	.82550	.82400	.82200
10010706	31473	31441	31332	31333	31314	.80350	.80250	.79950	.79950	.79850
10012663	31804	31911	31639	31608	31572	.81100	.81350	.80650	.80600	.80400
1001392	30781	31081	30593	30488	30403	.74900	.75600	.74400	.74150	.73850
10014622	31151	31249	30996	30955	30922	.79950	.80200	.79550	.79400	.79250
10016568	32197	32181	31994	31973	31960	.83950	.83850	.83350	.83300	.83200
10018485	32168	32274	32025	31997	31963	.82050	.82300	.81650	.81600	.81450
10020443	31503	31712	31362	31284	31237	.79150	.79650	.78750	.78550	.78350
10022432	32531	32520	32351	32336	32309	.85150	.85100	.84650	.84600	.84450
10024341	32569	32559	32387	32368	32345	.85100	.85050	.84600	.84550	.84400
10026253	32571	32563	32391	32371	32347	.85200	.85150	.84650	.84600	.84500
10028163	32439	32431	32256	32240	32214	.85100	.85050	.84550	.84500	.84400
10030068	32581	32573	32399	32386	32360	.85150	.85100	.84650	.84600	.84500
10031979	32575	32564	32393	32375	32345	.85200	.85100	.84650	.84600	.84450
10033890	32574	32566	32391	32375	32348	.85200	.85150	.84650	.84600	.84500
1003445	30535	30664	30358	30315	30271	.78850	.79150	.78350	.78250	.78050
10035801	32560	32550	32380	32364	32337	.85150	.85100	.84650	.84600	.84450
10037711	32535	32526	32350	32331	32305	.85150	.85100	.84600	.84550	.84400
10039621	32419	32410	32239	32220	32194	.85100	.85050	.84600	.84550	.84400
10041524	32556	32543	32374	32357	32331	.85150	.85100	.84650	.84600	.84450
10043434	32231	32314	32072	32027	31999	.81450	.81600	.81000	.80900	.80750
10045411	32635	32579	32516	32556	32574	.95350	.95150	.94950	.95050	.95050
10047121	31516	31684	31353	31294	31260	.78850	.79200	.78400	.78250	.78100
10049119	31323	31469	31179	31125	31073	.79900	.80250	.79500	.79350	.79150
10051078	31859	31967	31697	31665	31631	.81100	.81350	.80650	.80550	.80400
10053041	31899	32008	31736	31705	31668	.81100	.81350	.80650	.80600	.80400
1005379	31351	31454	31170	31112	31058	.79650	.79900	.79150	.79000	.78800
10055006	25734	25685	25561	25499	25483	.83900	.83700	.83250	.83050	.82900
10056539	27994	28032	27850	27844	27827	.82250	.82300	.81750	.81750	.81600
10058240	33409	33520	33255	33220	33191	.81250	.81500	.80850	.80750	.80600
10060294	28070	28124	27931	27924	27904	.82300	.82400	.81800	.81800	.81650
10061998	28717	28767	28559	28552	28525	.81900	.82000	.81400	.81350	.81200
10063750	27909	27962	27774	27773	27752	.82500	.82650	.82050	.82050	.81900
