Identifier	Size1	Size2	Size3	Size4	Size7	Level1	Level2	Level3	Level4	Level7
GCF_000006175.1_ASM617v2_genomic.fna	711441	705093	705085	704948	705065	0.900512	0.892477	0.892466	0.892293	0.892441
GCF_000006805.1_ASM680v1_genomic.fna	2005015	1936814	1927011	1934267	1926353	0.831808	0.803514	0.799447	0.802457	0.799174
GCF_000007005.1_ASM700v1_genomic.fna	1102478	1066986	1063994	1066109	1063734	0.870152	0.842139	0.839778	0.841447	0.839572
GCF_000007065.1_ASM706v1_genomic.fna	2286639	2240887	2238866	2239923	2238697	0.939478	0.920681	0.919851	0.920285	0.919781
GCF_000007185.1_ASM718v1_genomic.fna	1282488	1276868	1276223	1276319	1276313	0.907438	0.903462	0.903005	0.903073	0.903069
GCF_000007225.1_ASM722v1_genomic.fna	1303915	1289190	1289354	1288735	1289413	0.9339	0.923354	0.923471	0.923028	0.923514
GCF_000007305.1_ASM730v1_genomic.fna	949751	943361	943912	943211	943995	0.940119	0.933794	0.934339	0.933645	0.934421
GCF_000007345.1_ASM734v1_genomic.fna	3268389	3161061	3149236	3158145	3147994	0.925235	0.894852	0.891504	0.894026	0.891153
GCF_000008265.1_ASM826v1_genomic.fna	753622	749536	750868	749430	750980	0.955524	0.950343	0.952032	0.950209	0.952174
GCF_000008645.1_ASM864v1_genomic.fna	1053764	1045455	1046318	1045183	1046408	0.949609	0.942121	0.942899	0.941876	0.94298
GCF_000008665.1_ASM866v1_genomic.fna	1380449	1368880	1369190	1368400	1369361	0.942651	0.934751	0.934963	0.934423	0.935079
GCF_000009185.1_ASM918v1_genomic.fna	2015403	1989499	1986336	1988512	1986280	0.946765	0.934596	0.93311	0.934132	0.933084
GCF_000009965.1_ASM996v1_genomic.fna	1347727	1340947	1340291	1340393	1340422	0.938498	0.933777	0.93332	0.933391	0.933411
GCF_000011005.1_ASM1100v1_genomic.fna	2041973	2013909	2007038	2011867	2006830	0.9291	0.916331	0.913205	0.915402	0.91311
GCF_000011085.1_ASM1108v1_genomic.fna	3407862	3370429	3359455	3367330	3359075	0.908045	0.898071	0.895147	0.897245	0.895045
GCF_000011105.1_ASM1110v1_genomic.fna	833710	829694	830630	829626	830748	0.945637	0.941082	0.942144	0.941005	0.942278
GCF_000011125.1_ASM1112v1_genomic.fna	1013675	1009096	1009593	1008746	1009713	0.924101	0.919926	0.920379	0.919607	0.920489
GCF_000011185.1_ASM1118v1_genomic.fna	804419	799929	801330	799906	801442	0.955842	0.950507	0.952172	0.95048	0.952305
GCF_000011205.1_ASM1120v1_genomic.fna	982733	970664	970291	970288	970315	0.923839	0.912493	0.912142	0.912139	0.912165
GCF_000011585.1_ASM1158v1_genomic.fna	766983	762108	762561	761950	762645	0.940408	0.934431	0.934986	0.934237	0.935089
GCF_000012285.1_ASM1228v1_genomic.fna	895377	890238	890927	890105	891051	0.946718	0.941285	0.942013	0.941144	0.942144
GCF_000012545.1_ASM1254v1_genomic.fna	662311	653408	652826	653065	652788	0.915326	0.903022	0.902218	0.902548	0.902165
GCF_000013445.1_ASM1344v1_genomic.fna	2112573	2080313	2080902	2079888	2080581	0.940179	0.925822	0.926084	0.925633	0.925941
GCF_000013725.1_ASM1372v1_genomic.fna	1396178	1378235	1378265	1377895	1378250	0.933913	0.921911	0.921931	0.921683	0.921921
GCF_000014945.1_ASM1494v1_genomic.fna	1324498	1310037	1310821	1309698	1310883	0.932524	0.922342	0.922894	0.922103	0.922938
GCF_000015145.1_ASM1514v1_genomic.fna	972412	969192	970118	968992	970263	0.936422	0.933321	0.934212	0.933128	0.934352
GCF_000015205.1_ASM1520v1_genomic.fna	1055037	1039733	1037952	1039083	1037937	0.930672	0.917172	0.915601	0.916599	0.915588
GCF_000015225.1_ASM1522v1_genomic.fna	1208088	1199232	1198194	1198562	1198212	0.914061	0.90736	0.906575	0.906853	0.906588
GCF_000015765.1_ASM1576v1_genomic.fna	1297419	1283689	1284247	1283316	1284304	0.947847	0.937817	0.938224	0.937544	0.938266
GCF_000015805.1_ASM1580v1_genomic.fna	1357965	1348140	1347231	1347421	1347363	0.921983	0.915313	0.914696	0.914825	0.914785
GCF_000015825.1_ASM1582v1_genomic.fna	1982287	1960382	1953664	1958422	1953517	0.898	0.888077	0.885034	0.887189	0.884967
GCF_000015945.1_ASM1594v1_genomic.fna	653807	649964	650953	649900	651036	0.943804	0.938257	0.939684	0.938164	0.939804
GCF_000016125.1_ASM1612v1_genomic.fna	824910	816988	817197	816758	817253	0.940063	0.931035	0.931273	0.930773	0.931337
GCF_000016385.1_ASM1638v1_genomic.fna	1378517	1370077	1369759	1369489	1369910	0.930157	0.924462	0.924247	0.924065	0.924349
GCF_000016525.1_ASM1652v1_genomic.fna	724496	717216	717351	716994	717356	0.932124	0.922758	0.922931	0.922472	0.922938
