Identifier	Size1	Size2	Size3	Size4	Size7	Size12	Size14	Level1	Level2	Level3	Level4	Level7	Level12	Level14
GCF_000002415.2_ASM241v2_genomic	881472	872538	869026	864991	862526	864157	1373164	.97150	.96150	.95750	.95350	.95050	.95250	.93650
GCF_000002435.2_UU_WB_2.1_genomic	1388430	1367028	1353079	1344351	1345856	419418	425326	.94700	.93250	.92250	.91700	.91800	.80350	.81500
GCF_000002445.2_ASM244v1_genomic	410692	406451	403506	404043	88912	89049	88720	.78700	.77900	.77300	.77400	.80450	.80550	.80250
GCF_000002455.1_ASM245v1_genomic	88660	88566	88586	349001	347896	346415	345327	.80200	.80100	.80100	.94100	.93800	.93400	.93100
GCF_000002725.2_ASM272v2_genomic	345024	345328	224234	224905	221783	220275	218924	.93000	.93100	.87250	.87500	.86300	.85700	.85150
GCF_000002765.5_GCA_000002765_genomic	219368	79124	81725	77431	76195	74746	74613	.85350	.51650	.53350	.50550	.49745	.48780	.48680
GCF_000002825.2_ASM282v1_genomic	561289	561661	557193	554250	553055	553454	304324	.94350	.94400	.93650	.93200	.92950	.93050	.94500
GCF_000002845.2_ASM284v2_genomic	303167	302032	301129	300913	301184	134447	134616	.94100	.93750	.93500	.93400	.93500	.79900	.80000
GCF_000002875.2_ASM287v2_genomic	134247	134116	133954	133973	1514219	1520477	1507933	.79800	.79700	.79600	.79600	.93650	.94050	.93250
GCF_000002975.1_ASM297v1_genomic	1494725	1480397	1482826	245236	244967	240693	238960	.92450	.91550	.91700	.82800	.82700	.81250	.80700
GCF_000003225.4_ASM322v1_genomic	237531	237646	495296	492646	488864	485120	482624	.80200	.80250	.94600	.94100	.93350	.92650	.92150
GCF_000004695.1_dicty_2.7_genomic	483331	349920	348157	347697	347091	346827	347079	.92300	.94800	.94350	.94200	.94050	.93950	.94050
GCF_000004825.1_PolPal_Dec2009_genomic	635179	631618	629109	627293	626364	627299	593241	.97300	.96750	.96350	.96050	.95900	.96050	.96000
GCF_000004985.1_V1.0_genomic	595057	587591	583793	582150	583001	685620	684935	.96300	.95100	.94450	.94200	.94350	.94050	.93950
GCF_000006355.2_GCA_000006355.2_genomic	683345	681562	680537	681043	184325	183714	183633	.93700	.93450	.93350	.93400	.93850	.93550	.93500
GCF_000006405.1_JCVI_PMG_1.0_genomic	183555	183499	183593	183518	974393	972335	969893	.93450	.93400	.93450	.93400	.97550	.97350	.97100
GCF_000006425.1_ASM642v1_genomic	967486	966516	966882	128275	128642	128040	127685	.96850	.96750	.96800	.81100	.81350	.80950	.80700
GCF_000006515.1_JCVI_cmg_v1.0_genomic	127183	127099	223446	223093	222933	222838	222768	.80400	.80300	.90750	.90600	.90550	.90500	.90450
GCF_000006565.2_TGA4_genomic	222878	222815	217816	215661	215294	214508	214316	.90500	.90450	.95650	.94700	.94550	.94200	.94100
GCF_000018645.1_ASM1864v1_genomic	214545	124760	125025	123192	122992	122884	122980	.94200	.90100	.90300	.88950	.88850	.88750	.88800
GCF_000141845.1_ASM14184v1_genomic	633794	629240	628211	627240	626994	627300	509685	.97950	.97250	.97050	.96900	.96850	.96900	.88100
