Identifier	GC	ATGC	Percentage
GCF_000427115.1_CBEV_1_genomic	60699	307691	.19727258
GCF_000427135.1_AHEV_1_genomic	48029	228750	.20996284
GCF_000427155.1_MySEV_1_genomic	55358	281182	.19687604
GCF_000427175.1_CREV_1_genomic	55078	282895	.19469414
GCF_000819615.1_ViralProj14015_genomic	2411	5386	.44764203
GCF_000820355.1_ViralMultiSegProj14361_genomic	2966	5886	.50390757
GCF_000820495.2_ViralMultiSegProj14656_genomic	5804	14452	.40160531
GCF_000836805.1_ViralProj14012_genomic	1856	4529	.40980348
GCF_000836825.1_ViralProj14017_genomic	1944	4697	.41388120
GCF_000836845.1_ViralProj14021_genomic	159	300	.53000000
GCF_000836865.1_ViralProj14025_genomic	3857	8028	.48044344
GCF_000836885.1_ViralProj14030_genomic	2738	4767	.57436542
GCF_000836905.1_ViralProj14035_genomic	16853	33593	.50168189
GCF_000836925.1_ViralProj14039_genomic	3695	8454	.43707120
GCF_000836945.1_ViralProj14044_genomic	59619	168900	.35298401
GCF_000836965.1_ViralProj14048_genomic	20165	40751	.49483448
GCF_000836985.1_ViralProj14054_genomic	15348	39807	.38556032
GCF_000837005.1_ViralProj14058_genomic	1115	2909	.38329322
GCF_000837025.1_ViralProj14062_genomic	7180	14927	.48100757
GCF_000837045.1_ViralProj14067_genomic	655	1291	.50735863
GCF_000837065.1_ViralProj14071_genomic	1943	4754	.40870845
GCF_000837085.1_ViralProj14075_genomic	3654	7868	.46441281
GCF_000837105.1_ViralMultiSegProj14079_genomic	2210	5145	.42954324
GCF_000837125.1_ViralProj14084_genomic	72772	131993	.55133226
GCF_000837145.1_ViralProj14089_genomic	51884	128413	.40404008
GCF_000837165.1_ViralProj14093_genomic	3967	8784	.45161657
GCF_000837185.1_ViralProj14097_genomic	41322	232392	.17781162
GCF_000837205.1_ViralMultiSegProj14101_genomic	2147	5194	.41336157
GCF_000837225.1_ViralProj14105_genomic	19113	36717	.52054906
GCF_000837245.1_ViralProj14109_genomic	32175	50550	.63649851
GCF_000837265.1_ViralProj14113_genomic	5015	15179	.33039067
GCF_000837285.6_ASM83728v2_genomic	1669	3372	.49495848
GCF_000837305.1_ViralMultiSegProj14121_genomic	2305	5232	.44055810
GCF_000837325.1_ViralProj14125_genomic	896	1821	.49203734
GCF_000837345.1_ViralProj14129_genomic	2584	8303	.31121281
GCF_000837365.1_ViralProj14133_genomic	15304	40739	.37565968
GCF_000837385.1_ViralProj14137_genomic	14305	42942	.33312374
GCF_000837405.1_ViralProj14141_genomic	15264	43081	.35430932
GCF_000837425.1_ViralProj14146_genomic	35303	57416	.61486345
GCF_000837445.1_ViralProj14150_genomic	2109	7767	.27153341
GCF_000837465.1_ViralProj14154_genomic	35962	52797	.68113718
GCF_000837485.1_ViralProj14160_genomic	12091	26111	.46306154
GCF_000837505.5_ASM83750v2_genomic	1743	4315	.40393974
GCF_000837525.1_ViralProj14168_genomic	64623	155060	.41676125
GCF_000837545.1_ViralProj14172_genomic	1207	2757	.43779470
GCF_000837565.1_ViralMultiSegProj14176_genomic	2605	5498	.47380865
GCF_000837585.1_ViralProj14184_genomic	212	377	.56233421
GCF_000837605.1_ViralMultiSegProj14188_genomic	2274	5206	.43680368
GCF_000837625.1_ViralProj14020_genomic	2691	5517	.48776508
GCF_000837645.1_ViralProj14024_genomic	2139	5243	.40797253
GCF_000837665.1_ViralProj14029_genomic	8050	22172	.36307053
GCF_000837685.1_ViralProj14034_genomic	46555	134416	.34635013
GCF_000837705.1_ViralMultiSegProj14038_genomic	2309	5240	.44064885
GCF_000837725.1_ViralProj14043_genomic	30445	61670	.49367601
GCF_000837745.1_ViralProj14047_genomic	16029	36524	.43886211
GCF_000837765.1_ViralProj14053_genomic	850	1758	.48350398
GCF_000837785.1_ViralProj14057_genomic	3358	7565	.44388631
GCF_000837805.1_ViralProj14061_genomic	2646	5833	.45362592
GCF_000837825.1_ViralProj14066_genomic	3824	11965	.31959882
GCF_000837845.1_ViralProj14070_genomic	1438	3311	.43430987
GCF_000837865.1_ViralProj14074_genomic	2037	5153	.39530370
