Domain,DNA,AA,GC,L_DNA,L_AA
Viral,0.828,0.872919,0.20996284,1.432634e-10,3.07784e-11
Viral,0.81,0.853911,0.19687604,1.761009e-10,3.60853e-11
Viral,0.784,0.81561,0.19469414,1.771737e-10,3.565e-11
Viral,0.9675,0.990251,0.40160531,9.0511e-12,2.8464e-12
Viral,0.9955,1.02825,0.40980348,2.8365e-12,8.566e-13
Viral,0.9835,1.01959,0.4138812,2.9417e-12,9.755e-13
Viral,1.08,1.55548,0.53,1.879e-13,6.93e-14
Viral,0.985,0.978061,0.57436542,2.9855e-12,1.3501e-12
Viral,0.968,0.969592,0.50168189,2.10389e-11,7.6235e-12
Viral,0.991,1.00268,0.4370712,5.2946e-12,1.7712e-12
Viral,0.9525,0.963673,0.35298401,1.0578e-10,2.82768e-11
Viral,0.985,0.973844,0.49483448,2.55219e-11,9.647e-12
Viral,0.967,0.972407,0.38556032,2.49306e-11,7.0241e-12
Viral,0.9735,1.06802,0.38329322,1.8219e-12,4.739e-13
Viral,0.9505,0.974664,0.48100757,9.3486e-12,3.3106e-12
Viral,1.0255,1.10235,0.50735863,8.085e-13,3.301e-13
Viral,0.9905,1.02234,0.40870845,2.9774e-12,9.627e-13
Viral,0.9895,1.02178,0.42954324,3.2223e-12,9.777e-13
Viral,0.9335,0.921073,0.55133226,8.26656e-11,3.82685e-11
Viral,0.995,1.00247,0.45161657,5.5013e-12,1.7923e-12
Viral,0.79,0.839728,0.17781162,1.455443e-10,2.9357e-11
Viral,0.9875,1.0191,0.41336157,3.2529e-12,9.577e-13
Viral,0.965,0.967217,0.52054906,2.29954e-11,9.371e-12
Viral,0.9495,0.910586,0.63649851,3.16589e-11,1.5955e-11
Viral,0.9525,0.9844,0.33039067,9.5064e-12,2.1533e-12
Viral,1.0095,1.03034,0.49495848,2.1118e-12,7.607e-13
Viral,0.9945,1.00374,0.4405581,3.2767e-12,9.942e-13
Viral,0.9315,0.994702,0.31121281,5.2001e-12,1.2823e-12
Viral,0.966,0.973051,0.37565968,2.55143e-11,7.1368e-12
Viral,0.946,0.969775,0.33312374,2.68941e-11,6.7317e-12
Viral,0.9575,0.969732,0.35430932,2.69811e-11,6.9942e-12
Viral,0.8945,0.967761,0.27153341,4.8644e-12,1.3221e-12
Viral,0.9715,0.965046,0.46306154,1.6353e-11,5.5471e-12
Viral,0.988,1.03711,0.40393974,2.7024e-12,7.242e-13
Viral,0.958,0.964313,0.41676125,9.71122e-11,3.36291e-11
Viral,1.0025,1.05376,0.4377947,1.7267e-12,5.952e-13
Viral,1.0025,1.01098,0.47380865,3.4433e-12,1.2986e-12
Viral,1.061,1.46928,0.56233421,2.361e-13,8.09e-14
