Identifier	Size1	Size2	Size3	Size4	Size7	Size12	Size14	Level1	Level2	Level3	Level4	Level7	Level12	Level14
GCF_000001735.4_TAIR10.1_genomic.fna	92195	92164	92137	92177	92249	92230	80558	.97150	.97100	.97050	.97100	.97150	.97100	.94400
GCF_000002425.4_Phypa_V3_genomic.fna	80683	80451	80559	80518	80230	688192	699886	.94500	.94250	.94350	.94300	.93950	.73950	.75200
GCF_000002595.1_v3.0_genomic.fna	686224	680812	670959	665732	98176	98190	98086	.73750	.73150	.72100	.71500	.97000	.97000	.96900
GCF_000002775.4_Pop_tri_v3_genomic.fna	98133	98201	98145	98158	1480946	1493284	1479754	.96950	.97000	.96900	.96900	.92050	.92850	.92000
GCF_000003195.3_Sorghum_bicolor_NCBIv3_genomic.fna	1472587	1466678	1463222	345540	349665	345341	343975	.91550	.91200	.90950	.93400	.94500	.93350	.92950
GCF_000003745.3_12X_genomic.fna	343560	343113	94078	93982	93965	93960	94013	.92850	.92700	.96250	.96150	.96100	.96100	.96150
GCF_000004075.3_Cucumber_9930_V3_genomic.fna	93969	287967	288271	287796	287736	287782	287651	.96050	.96100	.96200	.96050	.96000	.96000	.95950
GCF_000004255.2_v.1.0_genomic.fna	78529	78487	78463	78514	78579	78539	312323	.96400	.96350	.96300	.96350	.96400	.96350	.95650
GCF_000004515.6_Glycine_max_v4.0_genomic.fna	312336	312165	312167	312269	312168	488017	488476	.95650	.95600	.95600	.95650	.95600	.88100	.88200
GCF_000005505.3_Brachypodium_distachyon_v3.0_genomic.fna	487779	487474	487255	487103	302085	302886	301942	.88050	.88000	.87950	.87950	.94850	.95100	.94800
GCF_000090985.2_ASM9098v2_genomic.fna	301702	301681	301393	1245792	1251648	1245427	1239499	.94750	.94700	.94600	.86300	.86700	.86250	.85850
GCF_000091205.1_ASM9120v1_genomic.fna	1230484	1229042	814501	817724	813121	812380	808591	.85250	.85150	.88250	.88600	.88100	.88000	.87600
GCF_000092065.1_ASM9206v1_genomic.fna	804419	217755	217666	217220	217153	217151	216960	.87150	.92850	.92800	.92600	.92600	.92550	.92500
GCF_000143415.4_v1.0_genomic.fna	794626	795049	793466	792600	791810	791296	139773	.88150	.88200	.88000	.87900	.87800	.87750	.94600
GCF_000143455.1_v1.0_genomic.fna	139823	139639	139726	139507	139098	2283691	2282960	.94600	.94500	.94550	.94350	.94100	.83500	.83500
GCF_000147415.1_v_1.0_genomic.fna	2281801	2279285	2276088	2274457	395662	397493	393807	.83450	.83350	.83200	.83150	.60550	.60850	.60300
GCF_000150535.2_Papaya1.0_genomic.fna	392381	384561	376571	928875	929695	928521	927799	.60050	.58850	.57650	.96650	.96700	.96600	.96500
GCF_000151265.2_Micromonas_pusilla_CCMP1545_v2.0_genomic.fna	927409	926967	119367	119347	119314	119343	119392	.96450	.96400	.95900	.95900	.95850	.95900	.95900
