Identifier	Size1	Size2	Size3	Size4	Size7	Size12	Size14	Level1	Level2	Level3	Level4	Level7	Level12	Level14
GCF_000002415.2_ASM241v2_genomic.fna	3477479	3447674	3438245	3444827	3438570	3665702	3509230	0.935597	0.927578	0.925041	0.926812	0.925128	0.902479	0.863956
GCF_000002435.2_UU_WB_2.1_genomic.fna	3495596	3505596	3494388	1500297	1434346	1426490	1432862	0.8606	0.863062	0.860302	0.79682	0.761793	0.757621	0.761005
GCF_000002445.2_ASM244v1_genomic.fna	1425598	129851	129295	130055	129385	130069	1645756	0.757147	0.779814	0.776475	0.78104	0.777016	0.781124	0.865916
GCF_000002455.1_ASM245v1_genomic.fna	1614756	1611832	1613329	1611766	1800063	1752013	1729351	0.849606	0.848067	0.848855	0.848033	0.804629	0.783151	0.773021
GCF_000002725.2_ASM272v2_genomic.fna	1747990	1728539	724359	594041	565678	589963	562595	0.781352	0.772658	0.340483	0.279227	0.265895	0.277311	0.264446
GCF_000002765.5_GCA_000002765_genomic.fna	2443157	2388663	2382138	2386367	2381898	1447361	1423296	0.886228	0.866461	0.864094	0.865628	0.864007	0.875447	0.860891
GCF_000002825.2_ASM282v1_genomic.fna	1421537	1422170	1421513	209312	207504	208378	207600	0.859827	0.86021	0.859813	0.771039	0.764379	0.767599	0.764733
GCF_000002845.2_ASM284v2_genomic.fna	208375	4478851	4396016	4375296	4391701	4374294	1521819	0.767588	0.924062	0.906972	0.902697	0.906082	0.902491	0.788803
GCF_000002875.2_ASM287v2_genomic.fna	1490835	1472903	1487511	1472337	2053538	2024559	2016450	0.772743	0.763449	0.77102	0.763155	0.917783	0.904831	0.901207
GCF_000002975.1_ASM297v1_genomic.fna	2022096	2016357	1116790	1111228	1112468	1111063	1112605	0.903731	0.901166	0.943459	0.938761	0.939808	0.938621	0.939924
GCF_000003225.4_ASM322v1_genomic.fna	2537412	2493664	2475700	2490686	2475245	1800010	1743595	0.900701	0.885172	0.878795	0.884115	0.878633	0.906983	0.878556
GCF_000004695.1_dicty_2.7_genomic.fna	1738236	1742360	1737765	2054582	2040794	2040751	2040158	0.875856	0.877934	0.875619	0.918753	0.912587	0.912568	0.912303
GCF_000004825.1_PolPal_Dec2009_genomic.fna	2040801	552138	550612	551362	550547	551430	3785365	0.91259	0.922366	0.919816	0.921069	0.919708	0.921183	0.925754
GCF_000004985.1_V1.0_genomic.fna	3763664	3760724	3762324	3760954	233844	231015	231892	0.920446	0.919727	0.920119	0.919784	0.845058	0.834834	0.838004
GCF_000006355.2_GCA_000006355.2_genomic.fna	230995	231893	262863	262450	263174	262476	263222	0.834762	0.838007	0.930784	0.929321	0.931885	0.929413	0.932055
GCF_000006405.1_JCVI_PMG_1.0_genomic.fna	1010910	1003112	1000605	1002263	1000657	838645	703676	0.889591	0.882729	0.880523	0.881982	0.880569	0.66733	0.559932
GCF_000006425.1_ASM642v1_genomic.fna	681688	700462	679249	2013972	2004401	2006667	2004248	0.542435	0.557374	0.540495	0.947595	0.943092	0.944158	0.94302
GCF_000006515.1_JCVI_cmg_v1.0_genomic.fna	2006849	1724803	1630587	1619419	1627825	1618390	3431258	0.944244	0.860434	0.813434	0.807862	0.812056	0.807349	0.954586
GCF_000006565.2_TGA4_genomic.fna	3397345	3398861	3396732	3398906	1040275	1026720	1025865	0.945151	0.945573	0.94498	0.945585	0.912464	0.900575	0.899825
GCF_000018645.1_ASM1864v1_genomic.fna	1026022	1025872	8165730	7488205	7382364	7465216	7374155	0.899962	0.899831	0.824426	0.756022	0.745336	0.753701	0.744507
GCF_000141845.1_ASM14184v1_genomic.fna	607665	606231	607252	606214	607333	630153	626978	0.933499	0.931296	0.932864	0.93127	0.932989	0.944898	0.940137
GCF_000142905.1_TheTra_May2010_genomic.fna	627205	626859	627291	1676065	1633422	1626325	1632325	0.940478	0.939959	0.940607	0.902703	0.879736	0.875914	0.879145
GCF_000142945.1_ASM14294v1_genomic.fna	1625758	1510631	1505744	1506972	1505349	1507068	3613531	0.875608	0.928653	0.925649	0.926404	0.925406	0.926463	0.809506
GCF_000149405.2_ASM14940v2_genomic.fna	3566980	3527823	3559482	3524944	2770885	2680043	2642411	0.799078	0.790306	0.797398	0.789661	0.830403	0.803178	0.7919
GCF_000149755.1_P.sojae_V3.0_genomic.fna	2673219	2640493	3354186	3276899	3241044	3269803	3239591	0.801133	0.791326	0.868027	0.848026	0.838747	0.846189	0.838371
GCF_000150955.2_ASM15095v2_genomic.fna	217722	215595	216469	215617	216458	730681	720112	0.879854	0.871258	0.87479	0.871347	0.874746	0.92373	0.910369
GCF_000151545.1_ASM15154v2_genomic.fna	717469	719418	717455	4080233	4037347	4032838	4035276	0.907028	0.909492	0.90701	0.919046	0.909386	0.90837	0.908919
GCF_000151665.1_ASM15166v1_genomic.fna	4032865	1320731	1119095	1060917	1108931	1057669	1738705	0.908376	0.661118	0.560185	0.531063	0.555097	0.529437	0.801346
GCF_000165345.1_ASM16534v1_genomic.fna	1540127	1499865	1533663	1495768	1049785	771449	722776	0.709824	0.691268	0.706845	0.68938	0.193944	0.142522	0.13353
GCF_000165365.1_ASM16536v1_genomic.fna	763164	714236	1236393	1211014	1209408	1210348	1209200	0.140992	0.131952	0.861095	0.843419	0.842301	0.842956	0.842156
GCF_000165395.1_ASM16539v1_genomic.fna	5378070	5353957	5337099	5350134	5336751	865417	852256	0.816482	0.812821	0.810261	0.81224	0.810209	0.931621	0.917454
GCF_000165425.1_ASM16542v1_genomic.fna	851085	851926	851056	9223807	9049644	9014000	9038746	0.916193	0.917098	0.916162	0.900365	0.883364	0.879885	0.882301
GCF_000186865.1_v_1.0_genomic.fna	9013848	3293590	3240512	3234645	3237792	3234672	1333906	0.87987	0.893305	0.878909	0.877317	0.878171	0.877325	0.945677
GCF_000189635.1_JCVI-TTA1-2.2_genomic.fna	1330504	1331546	1330295	1331691	1521414	1499614	1499476	0.943265	0.944003	0.943117	0.944106	0.942481	0.928977	0.928891
GCF_000190715.1_v1.0_genomic.fna	1499207	1499430	1944931	1937871	1936120	1937038	1936253	0.928725	0.928863	0.912881	0.909567	0.908746	0.909176	0.908808
GCF_000194455.1_ASM19445v1_genomic.fna	2183399	2159702	2156750	2158072	2156743	1990612	1965593	0.920336	0.910347	0.909103	0.90966	0.9091	0.903557	0.8922
GCF_000203815.1_DFas_2.0_genomic.fna	1955097	1963062	1955060	4217085	4138096	4121436	4133517	0.887436	0.891051	0.887419	0.909892	0.892849	0.889255	0.891861
GCF_000208865.1_ASM20886v2_genomic.fna	4121244	1653283	1636077	1633384	1635167	1633598	1215204	0.889213	0.943294	0.933477	0.931941	0.932958	0.932063	0.915616
GCF_000208925.1_JCVI_ESG2_1.0_genomic.fna	1183390	1178689	1181710	1178477	1142210	1125302	1123992	0.891645	0.888103	0.890379	0.887943	0.946495	0.932484	0.931398
GCF_000209065.1_ASM20906v1_genomic.fna	1124912	1124010	3490473	3307839	3240771	3295167	3237798	0.932161	0.931413	0.842196	0.798129	0.781947	0.795072	0.78123
GCF_000209125.1_JCVI_EDISG_1.0_genomic.fna	2978140	2874140	2833714	2867448	2832025	10051615	10023963	0.861855	0.831758	0.820059	0.829821	0.81957	0.838783	0.836475
GCF_000210295.1_ASM21029v1_genomic.fna	9906161	10002620	9903357	4335728	4286400	4251842	4279702	0.826645	0.834694	0.826411	0.863359	0.853536	0.846655	0.852202
GCF_000220395.1_JCVI-IMG1-V.1_genomic.fna	4250933	3014504	3012806	2973644	3005800	2973424	1559746	0.846474	0.8092	0.808744	0.798232	0.806863	0.798173	0.797652
GCF_000223845.1_GNI3_genomic.fna	1522537	1490711	1517115	1489606	4275244	4185339	4172214	0.778624	0.762348	0.775851	0.761783	0.942745	0.92292	0.920026
GCF_000227135.1_ASM22713v2_genomic.fna	4181600	4172073	1120276	1105851	1107819	1105665	1107948	0.922096	0.919995	0.940928	0.928812	0.930465	0.928656	0.930574
GCF_000234665.1_ASM23466v4_genomic.fna	2100080	2089614	2090273	2089040	2090545	3713944	3696505	0.950819	0.94608	0.946378	0.94582	0.946502	0.940381	0.935966
GCF_000240725.1_ASM24072v1_genomic.fna	3694571	3694984	3694968	683438	682014	683627	682108	0.935476	0.935581	0.935577	0.953716	0.951729	0.95398	0.95186
