Identifier	Size1	Size2	Size3	Size4	Size7	Level1	Level2	Level3	Level4	Level7
GCF_000001985.1_JCVI-PMFA1-2.0_genomic	704138	705421	700842	698792	697805	.94000	.94200	.93550	.93300	.93150
GCF_000002495.2_MG8_genomic	499027	498074	495628	494626	494331	.98000	.97800	.97300	.97100	.97050
GCF_000002515.2_ASM251v1_genomic	482570	481346	480632	480052	479879	.97500	.97250	.97100	.97000	.96950
GCF_000002525.2_ASM252v1_genomic	347406	347408	345164	344118	343594	.96750	.96750	.96150	.95850	.95700
GCF_000002545.3_ASM254v2_genomic	502883	503006	500399	498838	498048	.95950	.95950	.95450	.95150	.95000
GCF_000002655.1_ASM265v1_genomic	474934	473999	472699	472451	472443	.99050	.98850	.98550	.98500	.98500
GCF_000002715.2_ASM271v1_genomic	707642	705752	705820	705306	705343	.98500	.98250	.98250	.98200	.98200
GCF_000002855.3_ASM285v2_genomic	349722	348985	349037	348983	349029	.99200	.99000	.99000	.99000	.99000
GCF_000002945.1_ASM294v2_genomic	467565	466555	466260	465962	465762	.97250	.97050	.97000	.96950	.96900
GCF_000003125.1_JCVI-TSTA1-3.0_genomic	863919	866156	858184	849995	844706	.97550	.97800	.96900	.96000	.95400
GCF_000003515.1_ASM351v2_genomic	379156	378317	377819	377797	377732	.98850	.98650	.98500	.98500	.98500
GCF_000003835.1_ASM383v1_genomic	227236	226487	226018	225902	225816	.98100	.97800	.97600	.97550	.97500
GCF_000003855.2_BD_SLH14081_V1_genomic	297476	297632	296107	295022	294256	.97000	.97050	.96550	.96200	.95900
GCF_000004155.1_SCY4_genomic	562787	561834	559650	558758	558353	.96750	.96550	.96200	.96050	.95950
GCF_000006335.3_ASM633v3_genomic	223537	222719	221945	221451	221143	.94400	.94050	.93750	.93550	.93400
GCF_000006445.2_ASM644v2_genomic	594625	594703	592000	589703	588066	.96000	.96000	.95600	.95200	.94950
GCF_000026365.1_ASM2636v1_genomic	424718	423219	421699	420780	420394	.97400	.97050	.96700	.96500	.96400
GCF_000026945.1_ASM2694v1_genomic	334537	334107	332603	331527	331037	.94800	.94650	.94250	.93950	.93800
GCF_000027005.1_ASM2700v1_genomic	633677	632091	631793	631479	631420	.98050	.97800	.97750	.97700	.97700
GCF_000091025.4_ASM9102v4_genomic	529041	527027	526481	525416	525219	.98400	.98050	.97950	.97750	.97700
GCF_000091045.1_ASM9104v1_genomic	377088	376560	375682	375182	375071	.98400	.98250	.98000	.97900	.97850
GCF_000091225.1_ASM9122v1_genomic	524604	523906	519598	516945	515719	.91500	.91400	.90650	.90150	.89950
GCF_000142805.1_ASM14280v1_genomic	468619	467916	467722	467467	467411	.99050	.98900	.98850	.98800	.98750
GCF_000143105.1_Sanger-454-IlluminaPA_2.0_genomic	166792	165996	165922	165832	165868	.98000	.97550	.97500	.97450	.97450
GCF_000143185.1_v1.0_genomic	807662	806122	803367	800516	799398	.97700	.97550	.97200	.96850	.96700
GCF_000143365.1_ASM14336v1_genomic	404279	403438	402728	402118	402039	.97750	.97550	.97350	.97200	.97200
GCF_000143535.2_ASM14353v4_genomic	870861	869346	868928	868216	868039	.98400	.98200	.98200	.98100	.98050
GCF_000143565.1_V1.0_genomic	257439	261706	253354	250679	249465	.84200	.85600	.82900	.82000	.81600
GCF_000145635.1_Gae_graminis_V2_genomic	424954	423512	423329	422818	422798	.98100	.97750	.97700	.97600	.97600
GCF_000146045.2_R64_genomic	226545	226030	224837	224604	224400	.96850	.96650	.96100	.96000	.95950
GCF_000146465.1_ASM14646v1_genomic	487519	484076	483675	482783	482548	.96050	.95350	.95250	.95100	.95050
GCF_000146915.1_ASM14691v2_genomic	808391	808356	806167	803914	802521	.97750	.97750	.97500	.97200	.97050
GCF_000146945.2_ASM14694v2_genomic	965927	965491	963697	961986	961162	.97600	.97550	.97400	.97200	.97100
GCF_000149035.1_C_graminicola_M1_001_V1_genomic	858679	855501	855276	853885	853623	.98650	.98250	.98250	.98100	.98050
GCF_000149205.2_ASM14920v2_genomic	468616	467568	467615	467425	467438	.99350	.99100	.99150	.99100	.99100
GCF_000149245.1_CNA3_genomic	245743	245211	244830	244788	244778	.98650	.98450	.98250	.98250	.98250
GCF_000149335.2_ASM14933v2_genomic	365070	364320	362982	362958	362740	.98650	.98450	.98050	.98050	.98000
GCF_000149385.1_ASM14938v1_genomic	661627	660152	659551	658723	658621	.98850	.98650	.98550	.98400	.98400
GCF_000149425.1_ASM14942v1_genomic	432454	430368	429830	429171	428868	.97750	.97250	.97150	.97000	.96900
GCF_000149555.1_ASM14955v1_genomic	342809	341892	341904	341794	341824	.99200	.98950	.98950	.98900	.98900
GCF_000149585.1_ASM14958v1_genomic	375354	375927	372994	371540	370751	.95400	.95550	.94800	.94450	.94200
GCF_000149615.1_ASM14961v1_genomic	579264	578054	577556	577002	576810	.98500	.98300	.98200	.98100	.98050
GCF_000149645.2_ASM14964v3_genomic	1113478	1111865	1110573	1108952	1108368	.98600	.98450	.98350	.98200	.98150
GCF_000149685.1_ASM14968v1_genomic	488874	487551	485810	484604	484092	.94450	.94150	.93850	.93600	.93500
GCF_000149845.2_SJ5_genomic	802182	801213	799448	797713	797045	.97750	.97650	.97450	.97200	.97150
GCF_000149925.1_ASM14992v1_genomic	879977	891359	874186	860577	850200	.93350	.94550	.92700	.91250	.90150
GCF_000149955.1_ASM14995v2_genomic	563863	562140	562227	561868	561883	.99050	.98750	.98750	.98700	.98650
GCF_000149985.1_ASM14998v1_genomic	454800	464391	447343	439259	434636	.80900	.82600	.79600	.78150	.77300
GCF_000150035.1_ASM15003v1_genomic	335060	336273	331970	330181	328968	.89350	.89650	.88500	.88050	.87700
GCF_000150505.1_SO6_genomic	1192868	1192813	1188442	1184578	1182414	.96600	.96550	.96200	.95900	.95750
GCF_000150675.1_ASM15067v2_genomic	616928	614674	614359	613589	613501	.98100	.97750	.97700	.97600	.97550
GCF_000150705.2_Paracocci_br_Pb01_V2_genomic	571645	570947	570234	569464	569102	.98300	.98150	.98050	.97900	.97850
GCF_000150735.1_Paracocci_br_Pb18_V2_genomic	1312405	1311828	1309814	1306898	1304995	.98400	.98350	.98200	.97950	.97850
GCF_000150825.1_ASM15082v1_genomic	376458	375561	373870	373554	373415	.98350	.98100	.97700	.97600	.97550
