Identifier	GC	ATGC	Percentage
GCF_000005825.2_ASM582v2_genomic	1693774	4249248	.39860558
GCF_000005845.2_ASM584v2_genomic	2357528	4641652	.50790709
GCF_000006605.1_ASM660v1_genomic	1519564	2476822	.61351360
GCF_000006625.1_ASM662v1_genomic	191686	751719	.25499688
GCF_000006645.1_ASM664v1_genomic	2242512	4701745	.47695313
GCF_000006685.1_ASM668v1_genomic	435470	1080432	.40305174
GCF_000006725.1_ASM672v1_genomic	1437372	2731748	.52617298
GCF_000006745.1_ASM674v1_genomic	1915376	4033427	.47487558
GCF_000006765.1_ASM676v1_genomic	4169320	6264404	.66555732
GCF_000006785.2_ASM678v2_genomic	713405	1852433	.38511784
GCF_000006825.1_ASM682v1_genomic	912135	2257487	.40404883
GCF_000006845.1_ASM684v1_genomic	1134894	2153922	.52689651
GCF_000006865.1_ASM686v1_genomic	835748	2365589	.35329383
GCF_000006885.1_ASM688v1_genomic	857795	2160842	.39697256
GCF_000006905.1_ASM690v1_genomic	2699950	4016947	.67213981
GCF_000006925.2_ASM692v2_genomic	2446009	4828814	.50654446
GCF_000006945.2_ASM694v2_genomic	2586547	4951383	.52238879
GCF_000006965.1_ASM696v1_genomic	4160497	6691684	.62174140
GCF_000006985.1_ASM698v1_genomic	1218183	2154939	.56529813
GCF_000007025.1_ASM702v1_genomic	411569	1268755	.32438808
GCF_000007045.1_ASM704v1_genomic	809656	2038615	.39715983
GCF_000007085.1_ASM708v1_genomic	1010449	2689445	.37570911
GCF_000007105.1_ASM710v1_genomic	952673	2056363	.46328055
GCF_000007125.1_ASM712v1_genomic	1885435	3294921	.57222464
GCF_000007145.1_ASM714v1_genomic	3302992	5076172	.65068559
GCF_000007165.1_ASM716v1_genomic	3413008	5274173	.64711718
GCF_000007205.1_ASM720v1_genomic	497438	1225935	.40576213
GCF_000007245.1_ASM724v1_genomic	1305386	2521148	.51777444
GCF_000007265.1_ASM726v1_genomic	770062	2160267	.35646612
GCF_000007285.1_ASM728v1_genomic	730465	1895017	.38546619
GCF_000007365.1_ASM736v1_genomic	162484	641454	.25330577
GCF_000007405.1_ASM740v1_genomic	2341332	4599326	.50905980
GCF_000007425.1_ASM742v1_genomic	733462	1900521	.38592680
GCF_000007445.1_ASM744v1_genomic	2640553	5231148	.50477505
GCF_000007465.2_ASM746v2_genomic	748699	2032925	.36828658
GCF_000007485.1_ASM748v1_genomic	429638	927303	.46331997
GCF_000007505.1_ASM750v1_genomic	1897981	3315175	.57251306
GCF_000007525.1_ASM752v1_genomic	1359038	2260266	.60127347
GCF_000007545.1_ASM754v1_genomic	2494291	4791950	.52051690
GCF_000007565.2_ASM756v2_genomic	3803337	6181873	.61524023
GCF_000007585.1_ASM758v1_genomic	1131616	2343476	.48287927
GCF_000007605.1_ASM760v1_genomic	462922	1181356	.39185647
GCF_000007625.1_ASM762v1_genomic	822936	2873333	.28640467
GCF_000007645.1_ASM764v1_genomic	821855	2564615	.32045940
GCF_000007665.1_ASM766v1_genomic	1748856	2584158	.67676047
GCF_000007685.1_ASM768v1_genomic	1621630	4627366	.35044342
GCF_000007705.1_ASM770v1_genomic	3080303	4751080	.64833743
GCF_000007725.1_ASM772v1_genomic	156707	618379	.25341578
GCF_000007745.1_ASM774v1_genomic	984362	2314078	.42537978
GCF_000007765.2_ASM776v2_genomic	865989	2032807	.42600650
GCF_000007785.1_ASM778v1_genomic	1255997	3359974	.37381152
GCF_000007805.1_ASM780v1_genomic	3814368	6538260	.58339191
GCF_000007825.1_ASM782v1_genomic	1915128	5427083	.35288349
GCF_000007845.1_ASM784v1_genomic	1849251	5227293	.35376838
GCF_000007865.1_ASM786v1_genomic	3346971	4829781	.69298607
GCF_000007885.1_ASM788v1_genomic	2289686	4803217	.47669842
GCF_000007905.1_ASM790v1_genomic	646456	1799146	.35931269
GCF_000007925.1_ASM792v1_genomic	638131	1751080	.36442138
GCF_000007945.1_ASM794v1_genomic	649349	1698955	.38220494
GCF_000007985.2_ASM798v2_genomic	2324234	3814128	.60937493
GCF_000008005.1_ASM800v1_genomic	1928276	5432260	.35496754
GCF_000008025.1_ASM802v1_genomic	446701	1267782	.35234843
GCF_000008045.1_ASM804v1_genomic	321438	1111496	.28919402
GCF_000008065.1_ASM806v1_genomic	689690	1992676	.34611246
GCF_000008105.1_ASM810v1_genomic	2577430	4944000	.52132483
GCF_000008125.1_ASM812v1_genomic	1476627	2127482	.69407261
GCF_000008145.1_ASM814v1_genomic	1880482	3286445	.57219335
GCF_000008165.1_ASM816v1_genomic	1849872	5228663	.35379445
GCF_000008185.1_ASM818v1_genomic	1076827	2843201	.37873755
GCF_000008205.1_ASM820v1_genomic	255960	897405	.28522239
GCF_000008225.1_ASM822v1_genomic	262120	920079	.28488858
GCF_000008245.1_ASM824v1_genomic	227812	799476	.28495164
GCF_000008285.1_ASM828v1_genomic	1105169	2905187	.38041234
GCF_000008305.1_ASM830v1_genomic	214333	793224	.27020488
GCF_000008325.1_ASM832v1_genomic	2101191	3304560	.63584592
GCF_000008345.1_ASM834v1_genomic	1536434	2560265	.60010741
GCF_000008365.1_ASM836v1_genomic	193891	777079	.24951259
GCF_000008385.1_ASM838v1_genomic	369163	1080084	.34179100
GCF_000008405.1_ASM840v1_genomic	254982	892758	.28561155
GCF_000008425.1_ASM842v1_genomic	1950640	4222645	.46194742
GCF_000008445.1_ASM844v1_genomic	1939746	5503926	.35242952
GCF_000008465.1_ASM846v1_genomic	1335622	2839318	.47040239
GCF_000008485.1_ASM848v1_genomic	1300304	3397753	.38269526
GCF_000008505.1_ASM850v1_genomic	1879589	5314793	.35365234
GCF_000008525.1_ASM852v1_genomic	648353	1667825	.38874162
GCF_000008545.1_ASM854v1_genomic	860543	1860725	.46247726
