Identifier	DNA_Length	AA_Length
100008	18816	14645
1000389	52388	22690
1001036	356528	355217
100241	13712	8371
100411	14033	8087
1005438	16846	15264
1005647	15101	8421
1005834	531418	588602
100585	17137	14514
100797	55324	74469
1012395	17053	11453
1012606	17165	14653
1012819	16925	14028
1013028	15683	8159
1013222	15735	8398
1013417	15682	8424
1013611	15678	8240
1013805	377076	451429
101480	465490	472518
1018461	368707	529277
1023013	97149	85050
1024213	16843	15238
1024422	47579	28583
1025010	38162	28169
1025482	16206	9409
1025683	16843	15090
1025892	17827	16317
1026113	16395	9761
1026316	16584	10325
1026521	18395	9486
1026749	17885	9216
1026971	16748	14360
1027178	16080	9519
1027377	15761	8001
1027572	17160	16269
1027785	15131	10248
1027972	17384	15001
1028187	15594	9010
1028380	17495	15196
1028597	17659	15682
1028816	15798	9323
1029012	16532	13787
1029217	16033	7242
1029416	304650	303511
1033177	26315	19683
1033502	73068	28784
1034405	74470	32127
1035325	105833	104428
1036632	16998	15382
1036843	18108	15108
1037067	16953	14175
1037277	666844	669400
1039	16829	17247
1045510	11356	6484
1045650	269185	276398
1048974	15632	7651
1049168	16841	15000
1049377	17195	10671
1049590	16835	14602
1049799	17059	15692
1050010	16761	13565
1050218	16913	15580
1050427	16902	15873
1050636	16528	14013
1050840	16735	11065
1051047	16735	11085
1051254	15693	10374
1051448	16725	16144
1051655	15478	8013
1051847	16827	12593
1052055	16999	13877
1052265	16783	15778
1052473	22434	14387
1052751	14167	8226
1052926	16946	7774
1053136	2024663	1901611
10567	482113	498430
107227	13815	9070
107398	560711	627446
1078133	1852272	1697172
1101001	17011	13887
1101211	16009	11144
1101409	46180	26986
1101979	16158	11377
1102179	35684	19915
1102620	106111	100370
1103931	106164	100915
1105242	106013	100521
1106551	105723	100665
1107857	106001	100875
1109166	106041	101176
1110476	15789	8437
1110672	17171	11391
1110885	49228	27593
1111493	44496	22037
1112043	17538	16426
1112260	16794	15528
1112468	16770	14132
1112676	15544	7787
1112869	14953	10449
1113054	18514	12463
1113283	15024	10080
1113469	17057	15343
1113680	17074	15438
1113892	17109	15717
1114104	16982	15877
1114314	17045	15762
1114525	16916	16130
1114735	17119	15697
1114947	17415	15619
1115163	17404	14904
1115379	16796	15608
1115587	16617	8657
1115793	13927	9312
1115965	16339	10505
1116167	16862	15849
1116376	17071	16200
1116587	16859	14783
1116796	16502	9021
1117000	16977	13939
1117210	16091	8683
1117409	17716	15956
1117628	15579	7199
1117821	14961	10501
1118006	15288	10464
1118195	15549	10937
1118388	14697	10793
1118570	16804	15721
1118778	17774	13345
1118998	16307	12275
1119200	16858	16106
1119409	16856	16174
1119618	16859	16034
1119827	16855	15931
1120036	16791	16539
1120244	17548	12199
1120461	16855	15384
1120670	16780	14514
1120878	17342	14343
1121093	14950	8498
1121278	16824	15083
1121486	16831	15312
1121694	17427	16370
1121910	43920	31348
1122453	72100	30327
1123344	65669	27340
1124155	65627	27202
1124966	78433	33128
1125935	69972	32628
1126799	15848	13619
1126995	687196	731050
1135480	105979	100446
1136789	77902	51339
1137751	25361	15639
1138065	25329	15657
1138378	243086	248803
1141380	51864	29200
1142021	25579	16211
1142337	70463	43319
1143208	25328	15447
114321	16461	11987
1143521	25366	15898
1143835	25329	15591
1144148	25313	15839
1144461	25307	14693
1144774	25326	15645
1145087	25325	14902
114525	15371	7555
1145400	104452	97608
1146690	49351	35867
114716	16969	13343
1147300	16181	8788
1147500	17452	15617
1147716	17422	15661
1147932	15900	8781
1148129	15619	7323
1148323	16987	14142
1148533	14036	7264
1148707	13944	7909
1148880	16885	15007
1149089	16867	15492
114926	15983	12747
1149298	16861	15564
1149507	16882	15637
1149716	16826	15552
1149924	16865	14829
1150133	16847	14895
1150342	16846	14548
1150551	16868	14650
1150760	16878	15752
1150969	16871	15880
1151178	17051	13952
115124	17523	15580
1151389	16861	15340
1151598	16885	16260
1151807	16873	15394
1152016	16743	14737
1152223	17036	14120
1152434	16876	15343
1152643	16869	15713
1152852	16878	15805
1153061	16875	14986
1153270	16886	15158
115341	16904	15719
1153479	16885	14987
1153688	16812	15147
1153896	16837	14840
1154104	16890	16058
1154313	16860	14736
1154522	16844	15343
1154731	16843	15737
1154940	16846	15555
1155149	16875	15755
1155358	16841	13580
115550	15716	7227
1155567	16878	15739
1155776	16807	15202
1155984	16867	15260
1156193	16863	15212
1156402	16865	15656
1156611	16858	15978
1156820	16872	15384
1157029	16885	15206
1157238	16924	14529
1157448	16850	16626
115745	16899	9072
1157657	16891	15279
1157866	16891	15379
1158075	16884	15808
1158284	16972	15356
1158494	16995	15911
1158704	16985	15670
1158914	16990	15159
1159124	16874	15180
1159333	16999	15695
1159544	16878	14729
115954	17049	17096
1159753	16931	15452
1159963	16929	15265
1160173	16881	16195
1160382	16891	15400
1160591	16973	15186
1160801	16837	14844
1161010	16803	14831
1161218	16842	15967
1161427	16861	14571
1161636	16850	15405
116165	17096	12709
1161845	16863	15047
1162054	16821	14442
1162262	16841	15004
1162470	16871	15718
1162679	16845	15444
1162888	16859	15401
1163097	16880	15591
1163306	16864	15364
1163515	16868	15306
1163724	16846	14244
116377	19213	14432
1163933	16853	14723
1164142	16871	15590
1164351	16850	13773
1164560	16872	15377
1164769	16895	14260
1164978	16836	14716
1165186	16866	16053
1165395	16889	15463
1165604	16871	15674
1165813	16845	15020
1166022	16868	15530
116615	17065	14725
1166231	16873	15972
1166440	16875	15991
1166649	16874	14752
1166858	16877	15630
1167067	16983	16443
1167277	16878	15498
1167486	16855	15545
1167695	16869	14998
1167904	16878	13230
1168113	17124	15211
116826	17566	15381
1168325	16869	15659
1168534	17297	15082
1168748	16890	14892
1168957	16870	15656
1169166	16841	14187
1169375	16954	14151
1169585	16858	15233
1169794	16841	15935
1170003	16869	14903
1170212	16866	15725
1170421	16886	15540
117044	16835	13125
1170630	17296	13611
1170844	16870	14924
1171053	16845	15464
1171262	16862	14975
1171471	16852	13768
1171680	17255	14582
1171894	16867	15597
1172103	17268	15055
1172317	16832	13621
1172525	16781	16313
117253	17026	15249
1172733	16902	15112
1172942	16857	15439
1173151	16852	14793
1173360	16856	15247
1173568	16849	15835
1173777	16849	15724
1173986	16814	15529
1174194	16845	14719
1174403	16798	15802
1174611	51151	32976
117464	16778	14258
1175243	60370	38330
1175988	25744	14005
1176306	25716	14098
1176624	13995	8948
117672	15376	11213
1176797	20738	22439
1177054	16517	11346
1177259	16868	15880
1177468	16922	15719
1177677	16891	15653
1177886	16542	12433
1178091	17003	12714
1178302	19403	14763
1178542	16998	13245
117863	15523	12239
1178753	16954	16400
1178963	15922	8691
1179160	17006	12921
1179371	17122	16011
1179583	15901	9902
1179780	16348	8636
1179983	16364	9858
1180186	16223	9340
1180387	16887	15892
118055	16008	13528
1180596	17232	16427
1180809	15718	7992
1181004	16701	12969
1181211	17070	16200
1181422	16856	11867
1181631	17766	10863
1181851	17467	12039
1182067	16580	10938
1182272	19861	13867
1182518	17431	12736
118253	14603	10792
1182734	17408	16015
1182950	17368	14696
1183165	17355	16487
1183380	17354	16554
1183595	17479	16121
1183812	17368	15683
1184027	17311	15492
1184241	15238	8855
118434	16042	6973
1184430	16772	14254
1184638	17355	17387
1184853	62728	42138
1185628	22239	12672
1185903	38365	27658
118633	24737	17734
1186377	50184	29572
1186997	49756	29588
1187612	85759	50608
1188671	89927	54126
118939	14672	9507
1189782	17614	15000
1190000	38305	23003
1190474	36173	27940
1190921	28518	16235
119121	19931	13159
1191274	15578	8946
1191467	15876	8921
1191664	15079	12868
1191851	16785	14990
1192059	14246	9028
1192236	16775	15334
1192444	16799	16226
1192652	17319	10276
1192866	15447	8311
1193057	15351	8818
1193247	15439	8500
1193438	15428	8501
1193629	18116	17084
119368	15174	7687
1193853	18266	17387
1194079	16814	12054
1194287	16236	8582
1194488	16965	12136
1194698	13643	7524
1194867	20688	8708
1195123	18833	7893
1195356	14047	9506
1195530	17094	14898
119556	16880	15424
1195742	16352	11022
1195945	15731	8471
1196140	16027	8893
1196339	14396	9284
1196517	16822	14706
1196725	16865	15369
1196934	16508	14027
1197139	17459	15842
1197355	17636	15689
1197573	17175	15459
119765	16548	12079
1197786	15987	8972
1197984	15383	7693
1198175	16897	15478
1198384	16888	15597
1198593	16886	15212
1198802	16881	16020
1199011	16880	15053
1199220	16876	15115
1199429	14145	7995
1199604	16850	13170
119970	16853	14689
1199813	16198	9409
1200014	14086	8241
1200189	16732	14230
1200396	16658	12493
1200602	15893	8197
1200799	17078	16726
1201010	15803	10810
1201206	19363	16395
1201446	19985	16252
1201693	16026	13801
120179	19258	14131
1201891	15028	9202
1202077	15710	11128
1202272	17734	14658
1202492	13321	7317
1202657	15851	7197
1202853	16846	14477
1203062	16868	15223
1203271	16332	7205
1203473	17778	14856
1203693	16739	16519
1203900	18365	13915
1204127	17134	16811
120417	20567	14972
1204339	16732	15054
1204546	14445	9346
1204725	15262	10789
1204914	35250	28659
1205350	35246	28713
1205786	35261	28017
1206222	73621	42356
120672	16809	14624
1207132	26457	13409
1207459	501759	486782
120880	16578	13196
121085	15159	7889
121273	15213	8012
1213654	40141	26291
1214150	154086	120839
121461	16752	15878
1216053	109141	113629
121669	16972	13279
1217401	15549	7106
1217594	23251	18293
1217882	15651	7586
1218076	16519	9491
1218281	16841	14301
1218490	15992	7934
1218688	16833	15395
121879	16224	8222
1218897	16974	15763
1219107	15888	8187
1219304	16825	15075
1219512	16827	15373
1219720	17234	15793
1219933	19149	18873
1220170	17022	16134
1220381	15892	8951
1220578	16308	7217
1220780	16995	13332
122080	16245	8151
1220991	15624	9097
1221185	16139	8291
1221385	16879	14656
1221594	15918	7529
1221791	16844	14086
1222000	16559	12662
1222205	14618	9120
1222386	16022	10263
1222584	16861	13313
